#
# Transition date estimate for imcrkridge0
#
# Site: imcrkridge0
# Veg Type: TN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:34:12
# Spline RMSE gcc_mean: 0.00283
# Spline RMSE gcc_50: 0.00311
# Spline RMSE gcc_75: 0.00275
# Spline RMSE gcc_90: 0.00273
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
imcrkridge0,TN,1000,rising,gcc_90,2013-06-22,2013-06-25,2013-07-01,2013-06-21,2013-06-24,2013-06-30,2013-06-24,2013-06-26,2013-07-02,0.35381,0.3596,0.36952,0.35126,0.38686
imcrkridge0,TN,1000,rising,gcc_90,2015-05-23,2015-06-11,2015-06-19,2015-05-18,2015-06-10,2015-06-17,2015-06-08,2015-06-14,2015-06-20,0.35342,0.35793,0.36865,0.35014,0.38472
imcrkridge0,TN,1000,rising,gcc_90,2016-06-22,2016-06-23,2016-06-27,2016-06-09,2016-06-09,2016-06-09,2016-07-12,2016-07-12,2016-07-12,0.34763,0.35056,0.36882,0.34376,0.38534
imcrkridge0,TN,1000,rising,gcc_90,2017-06-11,2017-06-18,2017-06-26,2017-06-06,2017-06-16,2017-06-24,2017-06-15,2017-06-20,2017-06-27,0.35297,0.35876,0.37032,0.34894,0.39018
imcrkridge0,TN,1000,rising,gcc_90,2018-06-13,2018-06-18,2018-06-26,2018-05-02,2018-05-02,2018-05-02,2018-08-12,2018-08-12,2018-08-12,0.35348,0.35771,0.3685,0.35009,0.38426
imcrkridge0,TN,1000,rising,gcc_75,2013-06-23,2013-06-26,2013-07-02,2013-06-22,2013-06-25,2013-07-01,2013-06-25,2013-06-28,2013-07-04,0.35173,0.35776,0.3661,0.35033,0.3817
imcrkridge0,TN,1000,rising,gcc_75,2015-05-22,2015-06-11,2015-06-19,2015-05-15,2015-06-09,2015-06-17,2015-06-08,2015-06-14,2015-06-20,0.35062,0.35492,0.36438,0.34755,0.37897
imcrkridge0,TN,1000,rising,gcc_75,2016-06-24,2016-06-26,2016-07-01,2016-06-09,2016-06-09,2016-06-09,2016-07-12,2016-07-12,2016-07-12,0.35222,0.35814,0.36807,0.35033,0.38479
imcrkridge0,TN,1000,rising,gcc_75,2018-06-12,2018-06-18,2018-06-26,2018-05-02,2018-05-02,2018-05-02,2018-08-12,2018-08-12,2018-08-12,0.35028,0.35443,0.36439,0.3474,0.37977
imcrkridge0,TN,1000,rising,gcc_50,2013-06-25,2013-06-27,2013-07-03,2013-06-24,2013-06-26,2013-07-02,2013-06-27,2013-06-30,2013-07-04,0.35024,0.35418,0.36144,0.34922,0.37179
