#
# Transition date estimate for jasperridge
#
# Site: jasperridge
# Veg Type: GR
# ROI ID Number: 2000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:37:58
# Spline RMSE gcc_mean: 0.00145
# Spline RMSE gcc_50: 0.00144
# Spline RMSE gcc_75: 0.00134
# Spline RMSE gcc_90: 0.0014
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jasperridge,GR,2000,rising,gcc_90,2018-01-04,2018-01-11,2018-03-10,2018-01-03,2018-01-09,2018-03-09,2018-01-05,2018-01-15,2018-03-11,0.34896,0.35857,0.3768,0.34252,0.40772
jasperridge,GR,2000,rising,gcc_75,2018-01-03,2018-01-10,2018-03-10,2018-01-02,2018-01-08,2018-03-09,2018-01-05,2018-01-13,2018-03-11,0.347,0.35747,0.37486,0.34193,0.40532
jasperridge,GR,2000,rising,gcc_50,2018-01-04,2018-01-08,2018-03-10,2018-01-03,2018-01-07,2018-03-08,2018-01-05,2018-01-11,2018-03-11,0.34726,0.35443,0.37307,0.34166,0.39804
jasperridge,GR,2000,rising,gcc_mean,2018-01-04,2018-01-11,2018-03-10,2018-01-03,2018-01-08,2018-03-09,2018-01-06,2018-01-15,2018-03-11,0.3465,0.35587,0.37267,0.3416,0.39907
jasperridge,GR,2000,falling,gcc_90,2018-05-18,2018-05-09,2018-05-04,2018-05-19,2018-05-10,2018-05-05,2018-05-14,2018-05-08,2018-05-03,0.34282,0.35555,0.38023,0.33477,0.41948
jasperridge,GR,2000,falling,gcc_90,2017-07-07,2017-06-15,2017-05-11,2017-07-08,2017-06-16,2017-05-12,2017-07-04,2017-06-13,2017-05-10,0.33728,0.34708,0.36406,0.3315,0.39588
jasperridge,GR,2000,falling,gcc_75,2018-05-17,2018-05-09,2018-05-04,2018-05-19,2018-05-10,2018-05-05,2018-05-14,2018-05-08,2018-05-03,0.34259,0.35505,0.37791,0.33444,0.41748
jasperridge,GR,2000,falling,gcc_75,2017-07-07,2017-06-15,2017-05-11,2017-07-09,2017-06-17,2017-05-13,2017-07-02,2017-06-12,2017-05-10,0.33671,0.34632,0.36354,0.33092,0.39397
jasperridge,GR,2000,falling,gcc_50,2018-05-15,2018-05-09,2018-05-04,2018-05-18,2018-05-10,2018-05-05,2018-05-13,2018-05-08,2018-05-03,0.34171,0.35399,0.3755,0.33388,0.41536
jasperridge,GR,2000,falling,gcc_50,2017-07-08,2017-06-16,2017-05-12,2017-07-11,2017-06-18,2017-05-15,2017-07-05,2017-06-13,2017-05-11,0.33549,0.3446,0.36068,0.32973,0.39009
jasperridge,GR,2000,falling,gcc_mean,2018-05-15,2018-05-10,2018-05-04,2018-05-18,2018-05-11,2018-05-05,2018-05-13,2018-05-08,2018-05-03,0.3419,0.35014,0.37574,0.33386,0.41434
jasperridge,GR,2000,falling,gcc_mean,2017-07-08,2017-06-17,2017-05-12,2017-07-10,2017-06-19,2017-05-15,2017-07-05,2017-06-14,2017-05-11,0.33494,0.34415,0.36048,0.32944,0.38945
