#
# Transition date estimate for jerbajada
#
# Site: jerbajada
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2014
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:38:45
# Spline RMSE gcc_mean: 0.00105
# Spline RMSE gcc_50: 0.00116
# Spline RMSE gcc_75: 0.00112
# Spline RMSE gcc_90: 0.00116
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jerbajada,SH,1000,rising,gcc_90,2014-08-01,2014-08-06,2014-08-20,2014-07-31,2014-08-04,2014-08-19,2014-08-03,2014-08-09,2014-09-07,0.32299,0.32662,0.33268,0.32127,0.34352
jerbajada,SH,1000,rising,gcc_90,2015-03-15,2015-03-29,2015-04-11,2015-03-13,2015-03-26,2015-04-08,2015-03-28,2015-04-07,2015-04-19,0.32394,0.32555,0.32846,0.32299,0.33369
jerbajada,SH,1000,rising,gcc_90,2016-04-13,2016-04-18,2016-05-13,2016-04-06,2016-04-16,2016-05-10,2016-04-18,2016-04-25,2016-05-14,0.32197,0.32343,0.32719,0.32095,0.3324
jerbajada,SH,1000,rising,gcc_90,2017-03-16,2017-07-02,2017-07-23,2017-03-14,2017-03-27,2017-07-21,2017-03-19,2017-07-03,2017-07-24,0.32316,0.32687,0.33347,0.32107,0.34502
jerbajada,SH,1000,rising,gcc_90,2018-06-15,2018-06-17,2018-07-11,2018-06-12,2018-06-15,2018-07-02,2018-06-16,2018-06-20,2018-07-13,0.32568,0.32723,0.32931,0.3252,0.33334
jerbajada,SH,1000,rising,gcc_75,2014-07-31,2014-08-06,2014-08-20,2014-07-30,2014-08-04,2014-08-19,2014-08-02,2014-08-09,2014-09-07,0.32173,0.32549,0.33143,0.31983,0.34288
jerbajada,SH,1000,rising,gcc_75,2015-03-14,2015-03-29,2015-04-11,2015-03-13,2015-03-25,2015-04-08,2015-03-18,2015-04-07,2015-04-20,0.3227,0.32469,0.32754,0.32208,0.33251
jerbajada,SH,1000,rising,gcc_75,2016-04-13,2016-04-23,2016-05-13,2016-04-06,2016-04-17,2016-05-10,2016-04-19,2016-04-26,2016-05-15,0.32108,0.3226,0.32564,0.32001,0.33091
jerbajada,SH,1000,rising,gcc_75,2017-03-16,2017-07-04,2017-07-23,2017-03-13,2017-03-24,2017-07-21,2017-03-19,2017-07-05,2017-07-24,0.32211,0.32554,0.3323,0.31992,0.34275
jerbajada,SH,1000,rising,gcc_75,2018-06-16,2018-06-17,2018-07-12,2018-06-14,2018-06-15,2018-07-04,2018-06-17,2018-06-19,2018-07-13,0.32507,0.32614,0.32908,0.32424,0.33279
jerbajada,SH,1000,rising,gcc_50,2014-07-31,2014-08-05,2014-08-21,2014-07-30,2014-08-03,2014-08-20,2014-08-02,2014-08-08,2014-09-07,0.32036,0.32422,0.33043,0.31846,0.34215
jerbajada,SH,1000,rising,gcc_50,2015-03-14,2015-03-29,2015-04-10,2015-03-13,2015-03-16,2015-04-08,2015-03-17,2015-04-06,2015-04-21,0.32169,0.32354,0.32631,0.32109,0.33131
jerbajada,SH,1000,rising,gcc_50,2016-04-14,2016-04-24,2016-05-13,2016-04-07,2016-04-18,2016-05-10,2016-04-15,2016-04-30,2016-05-25,0.32005,0.32167,0.32441,0.31908,0.32949
jerbajada,SH,1000,rising,gcc_50,2017-03-16,2017-07-10,2017-07-23,2017-03-13,2017-07-06,2017-07-21,2017-03-19,2017-07-11,2017-07-24,0.32094,0.32427,0.33067,0.31902,0.34116
jerbajada,SH,1000,rising,gcc_50,2018-06-16,2018-06-17,2018-07-11,2018-06-14,2018-06-16,2018-07-04,2018-06-17,2018-06-20,2018-07-13,0.32336,0.32453,0.32723,0.3229,0.3313
jerbajada,SH,1000,rising,gcc_mean,2014-07-31,2014-08-05,2014-08-20,2014-07-30,2014-08-03,2014-08-19,2014-08-02,2014-08-09,2014-09-07,0.32025,0.32435,0.33064,0.31865,0.34208
jerbajada,SH,1000,rising,gcc_mean,2015-03-14,2015-03-29,2015-04-10,2015-03-13,2015-03-25,2015-04-08,2015-03-17,2015-04-06,2015-04-20,0.3218,0.3238,0.32649,0.3212,0.33165
jerbajada,SH,1000,rising,gcc_mean,2016-04-15,2016-04-24,2016-05-13,2016-04-07,2016-04-18,2016-05-11,2016-04-19,2016-04-29,2016-05-25,0.32008,0.32174,0.32462,0.31911,0.3301
jerbajada,SH,1000,rising,gcc_mean,2017-03-16,2017-07-10,2017-07-23,2017-03-14,2017-07-03,2017-07-21,2017-03-19,2017-07-11,2017-07-24,0.32094,0.32459,0.33088,0.319,0.34176
jerbajada,SH,1000,rising,gcc_mean,2018-06-16,2018-06-17,2018-07-12,2018-06-14,2018-06-16,2018-07-11,2018-06-17,2018-06-19,2018-07-13,0.32387,0.32504,0.32769,0.32324,0.33169
jerbajada,SH,1000,falling,gcc_90,2017-12-01,2017-11-07,2017-10-04,2017-12-03,2017-11-10,2017-10-07,2017-11-28,2017-10-26,2017-10-02,0.32369,0.32776,0.33508,0.32133,0.34809
jerbajada,SH,1000,falling,gcc_90,2016-12-03,2016-11-24,2016-11-13,2016-12-27,2016-11-25,2016-11-14,2016-12-02,2016-11-16,2016-11-11,0.32294,0.32416,0.32665,0.32222,0.33027
jerbajada,SH,1000,falling,gcc_90,2015-12-17,2015-12-01,2015-11-10,2016-01-01,2015-12-02,2015-11-18,2015-12-16,2015-11-30,2015-11-01,0.32279,0.3243,0.32799,0.32152,0.33444
jerbajada,SH,1000,falling,gcc_90,2014-12-01,2014-11-16,2014-10-28,2014-12-04,2014-11-20,2014-11-03,2014-11-28,2014-11-13,2014-10-24,0.32589,0.32869,0.33356,0.32431,0.34278
jerbajada,SH,1000,falling,gcc_75,2017-11-27,2017-10-22,2017-10-01,2017-12-01,2017-10-24,2017-10-03,2017-11-18,2017-10-19,2017-09-29,0.32398,0.328,0.33515,0.3213,0.34872
jerbajada,SH,1000,falling,gcc_75,2016-12-01,2016-11-15,2016-11-08,2016-12-26,2016-11-16,2016-11-09,2016-11-24,2016-11-12,2016-11-06,0.32193,0.32311,0.32532,0.3213,0.32896
jerbajada,SH,1000,falling,gcc_75,2015-12-02,2015-11-30,2015-11-01,2015-12-15,2015-12-01,2015-11-09,2015-12-01,2015-11-29,2015-10-20,0.3217,0.32311,0.32718,0.32078,0.33329
jerbajada,SH,1000,falling,gcc_75,2014-12-02,2014-11-14,2014-10-24,2014-12-05,2014-11-17,2014-10-29,2014-11-27,2014-11-09,2014-10-22,0.32493,0.32799,0.33292,0.3234,0.34196
jerbajada,SH,1000,falling,gcc_50,2017-11-21,2017-10-20,2017-09-30,2017-12-02,2017-10-22,2017-10-03,2017-11-10,2017-10-17,2017-09-29,0.32305,0.3267,0.33428,0.32037,0.34721
jerbajada,SH,1000,falling,gcc_50,2016-12-01,2016-11-13,2016-11-06,2016-12-24,2016-11-14,2016-11-07,2016-11-26,2016-11-08,2016-11-05,0.3208,0.32198,0.32444,0.32039,0.32756
jerbajada,SH,1000,falling,gcc_50,2015-12-02,2015-11-30,2015-11-01,2015-12-03,2015-12-01,2015-11-05,2015-12-01,2015-11-29,2015-10-09,0.32037,0.32197,0.32595,0.31961,0.33169
jerbajada,SH,1000,falling,gcc_50,2014-12-02,2014-11-13,2014-10-24,2014-12-06,2014-11-17,2014-10-28,2014-11-25,2014-11-08,2014-10-22,0.32378,0.32678,0.33172,0.32203,0.34105
jerbajada,SH,1000,falling,gcc_mean,2018-12-10,2018-12-06,2018-11-13,2018-12-13,2018-12-08,2018-11-21,2018-12-07,2018-11-25,2018-11-12,0.32268,0.32414,0.32731,0.32177,0.33213
jerbajada,SH,1000,falling,gcc_mean,2017-11-23,2017-10-20,2017-09-30,2017-11-30,2017-10-23,2017-10-03,2017-11-10,2017-10-17,2017-09-28,0.32324,0.3273,0.33441,0.32062,0.34744
jerbajada,SH,1000,falling,gcc_mean,2016-11-30,2016-11-14,2016-11-06,2016-12-25,2016-11-15,2016-11-07,2016-11-26,2016-11-09,2016-11-04,0.32128,0.32214,0.32462,0.32057,0.32782
jerbajada,SH,1000,falling,gcc_mean,2015-12-02,2015-11-30,2015-11-01,2015-12-03,2015-12-01,2015-11-02,2015-12-01,2015-11-29,2015-10-09,0.32075,0.32234,0.32626,0.31992,0.33211
jerbajada,SH,1000,falling,gcc_mean,2014-12-01,2014-11-14,2014-10-24,2014-12-05,2014-11-17,2014-10-28,2014-11-26,2014-11-09,2014-10-22,0.32419,0.32691,0.33209,0.32229,0.34135
