#
# Transition date estimate for joycekilmer
#
# Site: joycekilmer
# Veg Type: DB
# ROI ID Number: 2000
# Aggregation period: 1day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:40:29
# Spline RMSE gcc_mean: 0.00402
# Spline RMSE gcc_50: 0.00504
# Spline RMSE gcc_75: 0.00503
# Spline RMSE gcc_90: 0.00497
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
joycekilmer,DB,2000,rising,gcc_90,2015-05-07,2015-05-10,2015-05-19,2015-05-04,2015-05-09,2015-05-16,2015-05-09,2015-05-12,2015-05-20,0.32671,0.33485,0.35617,0.3213,0.37988
joycekilmer,DB,2000,rising,gcc_90,2016-04-29,2016-05-10,2016-05-21,2016-04-23,2016-05-08,2016-05-19,2016-05-02,2016-05-12,2016-05-22,0.3268,0.33653,0.35701,0.3202,0.3895
joycekilmer,DB,2000,rising,gcc_90,2017-04-29,2017-05-13,2017-05-25,2017-04-24,2017-05-12,2017-05-23,2017-05-10,2017-05-16,2017-05-26,0.32711,0.33624,0.35743,0.32046,0.39164
joycekilmer,DB,2000,rising,gcc_90,2018-05-11,2018-05-21,2018-05-24,2018-05-09,2018-05-17,2018-05-17,2018-05-13,2018-08-09,2018-08-09,0.32823,0.33768,0.36036,0.3221,0.38665
joycekilmer,DB,2000,rising,gcc_75,2015-05-06,2015-05-09,2015-05-18,2015-05-03,2015-05-08,2015-05-13,2015-05-09,2015-05-12,2015-05-19,0.32379,0.3304,0.34782,0.31918,0.37475
joycekilmer,DB,2000,rising,gcc_75,2016-04-28,2016-05-09,2016-05-21,2016-04-23,2016-05-06,2016-05-19,2016-05-01,2016-05-12,2016-05-22,0.32362,0.33337,0.35458,0.31764,0.38535
joycekilmer,DB,2000,rising,gcc_75,2017-04-28,2017-05-12,2017-05-25,2017-04-17,2017-05-10,2017-05-22,2017-05-09,2017-05-15,2017-05-26,0.32457,0.3337,0.35374,0.31845,0.38484
joycekilmer,DB,2000,rising,gcc_75,2018-05-10,2018-05-20,2018-05-24,2018-05-07,2018-05-17,2018-05-17,2018-05-13,2018-08-09,2018-08-09,0.32526,0.33063,0.3581,0.3201,0.38078
joycekilmer,DB,2000,rising,gcc_50,2015-05-05,2015-05-09,2015-05-17,2015-05-01,2015-05-07,2015-05-12,2015-05-08,2015-05-11,2015-05-19,0.32116,0.32908,0.34327,0.3168,0.36831
joycekilmer,DB,2000,rising,gcc_50,2016-04-27,2016-05-08,2016-05-21,2016-04-24,2016-05-05,2016-05-19,2016-04-30,2016-05-11,2016-05-22,0.32086,0.33071,0.34833,0.31486,0.3788
joycekilmer,DB,2000,rising,gcc_50,2017-04-26,2017-05-12,2017-05-19,2017-04-18,2017-05-09,2017-05-16,2017-05-05,2017-05-14,2017-05-26,0.32205,0.33114,0.34801,0.31592,0.37791
joycekilmer,DB,2000,rising,gcc_50,2018-05-09,2018-05-20,2018-05-23,2018-05-06,2018-05-17,2018-05-17,2018-05-12,2018-08-09,2018-08-09,0.32249,0.32726,0.34559,0.31808,0.37286
joycekilmer,DB,2000,rising,gcc_mean,2015-05-05,2015-05-08,2015-05-14,2015-05-01,2015-05-07,2015-05-11,2015-05-07,2015-05-11,2015-05-19,0.32157,0.32669,0.33968,0.31716,0.36128
joycekilmer,DB,2000,rising,gcc_mean,2016-04-26,2016-05-07,2016-05-20,2016-04-22,2016-05-03,2016-05-15,2016-04-30,2016-05-11,2016-05-21,0.32057,0.32883,0.34455,0.31578,0.37288
joycekilmer,DB,2000,rising,gcc_mean,2017-04-26,2017-05-11,2017-05-19,2017-04-16,2017-05-09,2017-05-17,2017-05-03,2017-05-14,2017-05-25,0.32166,0.32926,0.34591,0.31613,0.37375
joycekilmer,DB,2000,rising,gcc_mean,2018-05-09,2018-05-20,2018-05-23,2018-05-06,2018-05-17,2018-05-17,2018-05-12,2018-08-09,2018-08-09,0.32245,0.32829,0.34412,0.31824,0.36986
joycekilmer,DB,2000,falling,gcc_90,2018-10-26,2018-10-21,2018-09-22,2018-10-31,2018-10-23,2018-09-23,2018-10-23,2018-10-11,2018-09-02,0.32593,0.33514,0.35205,0.32114,0.3796
joycekilmer,DB,2000,falling,gcc_90,2017-10-26,2017-10-22,2017-10-05,2017-10-30,2017-10-23,2017-10-07,2017-10-23,2017-10-19,2017-10-02,0.3264,0.33413,0.35003,0.32192,0.37594
joycekilmer,DB,2000,falling,gcc_90,2016-10-18,2016-10-16,2016-10-11,2016-10-20,2016-10-17,2016-10-13,2016-10-16,2016-10-14,2016-10-09,0.32694,0.3331,0.34977,0.32144,0.3774
joycekilmer,DB,2000,falling,gcc_90,2015-09-30,2015-09-24,2015-09-17,2015-10-09,2015-09-28,2015-09-18,2015-09-25,2015-09-21,2015-09-16,0.33542,0.34155,0.35284,0.3325,0.37003
joycekilmer,DB,2000,falling,gcc_75,2018-10-27,2018-10-22,2018-09-25,2018-11-02,2018-10-24,2018-09-26,2018-10-23,2018-10-19,2018-09-03,0.32417,0.33151,0.34607,0.31905,0.37138
joycekilmer,DB,2000,falling,gcc_75,2017-10-25,2017-10-22,2017-10-06,2017-10-30,2017-10-24,2017-10-08,2017-10-22,2017-10-19,2017-10-05,0.32649,0.33197,0.3457,0.32232,0.36622
joycekilmer,DB,2000,falling,gcc_75,2016-10-19,2016-10-16,2016-10-12,2016-10-21,2016-10-17,2016-10-14,2016-10-16,2016-10-14,2016-10-10,0.32267,0.33073,0.34565,0.31874,0.37142
joycekilmer,DB,2000,falling,gcc_75,2015-10-02,2015-09-25,2015-09-18,2015-10-16,2015-09-29,2015-09-19,2015-09-26,2015-09-21,2015-09-15,0.33326,0.33891,0.34937,0.32972,0.3683
joycekilmer,DB,2000,falling,gcc_50,2018-10-30,2018-10-25,2018-10-09,2018-11-02,2018-10-27,2018-10-21,2018-10-25,2018-10-22,2018-09-22,0.32002,0.32579,0.3373,0.31705,0.35655
joycekilmer,DB,2000,falling,gcc_50,2017-10-26,2017-10-22,2017-10-06,2017-10-30,2017-10-23,2017-10-07,2017-10-22,2017-10-10,2017-10-04,0.32348,0.33042,0.34442,0.31982,0.36892
