#
# Transition date estimate for juncabalejo
#
# Site: juncabalejo
# Veg Type: WL
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:40:39
# Spline RMSE gcc_mean: 0.00093
# Spline RMSE gcc_50: 0.00093
# Spline RMSE gcc_75: 0.00086
# Spline RMSE gcc_90: 0.00084
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
juncabalejo,WL,1000,rising,gcc_90,2017-03-24,2017-03-27,2017-04-02,2017-03-09,2017-03-09,2017-03-09,2017-06-28,2017-06-28,2017-06-28,0.35121,0.36037,0.38291,0.34505,0.42071
juncabalejo,WL,1000,rising,gcc_90,2018-03-20,2018-03-26,2018-04-02,2018-03-19,2018-03-25,2018-04-01,2018-03-22,2018-03-27,2018-04-03,0.34522,0.35849,0.38261,0.33824,0.42066
juncabalejo,WL,1000,rising,gcc_75,2017-03-24,2017-03-28,2017-04-03,2017-03-09,2017-03-09,2017-03-09,2017-06-28,2017-06-28,2017-06-28,0.34988,0.36253,0.38444,0.344,0.41889
juncabalejo,WL,1000,rising,gcc_75,2018-03-21,2018-03-26,2018-04-02,2018-03-20,2018-03-25,2018-04-01,2018-03-22,2018-03-27,2018-04-03,0.34522,0.35698,0.3808,0.33774,0.41884
juncabalejo,WL,1000,rising,gcc_50,2017-03-24,2017-03-28,2017-04-03,2017-03-09,2017-03-09,2017-03-09,2017-06-28,2017-06-28,2017-06-28,0.34747,0.35902,0.38002,0.34228,0.4153
juncabalejo,WL,1000,rising,gcc_50,2018-03-21,2018-03-26,2018-04-02,2018-03-20,2018-03-25,2018-04-01,2018-03-23,2018-03-28,2018-04-03,0.3435,0.35394,0.37648,0.33692,0.41508
juncabalejo,WL,1000,rising,gcc_mean,2017-03-24,2017-03-28,2017-04-03,2017-03-09,2017-03-09,2017-03-09,2017-06-28,2017-06-28,2017-06-28,0.34747,0.35916,0.37995,0.3426,0.41304
juncabalejo,WL,1000,rising,gcc_mean,2018-03-21,2018-03-26,2018-04-02,2018-03-20,2018-03-25,2018-04-01,2018-03-22,2018-03-27,2018-04-03,0.34347,0.35408,0.37649,0.33578,0.41286
juncabalejo,WL,1000,falling,gcc_90,2018-07-26,2018-07-14,2018-06-29,2018-07-27,2018-07-15,2018-07-01,2018-07-24,2018-07-12,2018-06-28,0.34782,0.35926,0.38082,0.34001,0.4202
juncabalejo,WL,1000,falling,gcc_90,2017-08-03,2017-07-20,2017-07-03,2017-08-04,2017-07-21,2017-07-05,2017-08-01,2017-07-18,2017-07-02,0.34211,0.35484,0.37774,0.33419,0.41982
juncabalejo,WL,1000,falling,gcc_75,2018-07-26,2018-07-14,2018-06-29,2018-07-27,2018-07-15,2018-06-30,2018-07-24,2018-07-12,2018-06-28,0.3461,0.35734,0.37861,0.33841,0.41846
juncabalejo,WL,1000,falling,gcc_75,2017-08-03,2017-07-20,2017-07-03,2017-08-04,2017-07-21,2017-07-04,2017-08-01,2017-07-18,2017-07-02,0.34095,0.35369,0.37588,0.33284,0.41808
juncabalejo,WL,1000,falling,gcc_50,2018-07-26,2018-07-14,2018-06-29,2018-07-27,2018-07-15,2018-06-30,2018-07-24,2018-07-12,2018-06-28,0.34447,0.35574,0.37626,0.3371,0.41485
juncabalejo,WL,1000,falling,gcc_50,2017-08-03,2017-07-20,2017-07-03,2017-08-04,2017-07-21,2017-07-04,2017-08-01,2017-07-18,2017-07-02,0.33985,0.35248,0.37366,0.3321,0.41469
juncabalejo,WL,1000,falling,gcc_mean,2018-07-26,2018-07-14,2018-06-29,2018-07-28,2018-07-15,2018-07-01,2018-07-24,2018-07-13,2018-06-28,0.34487,0.35611,0.37648,0.33748,0.41283
juncabalejo,WL,1000,falling,gcc_mean,2017-08-03,2017-07-21,2017-07-04,2017-08-04,2017-07-22,2017-07-05,2017-08-01,2017-07-19,2017-07-03,0.34014,0.35173,0.3725,0.33209,0.4126
