#
# Transition date estimate for kamuela
#
# Site: kamuela
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2010
# Year max: 2017
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:41:17
# Spline RMSE gcc_mean: 0.00168
# Spline RMSE gcc_50: 0.00153
# Spline RMSE gcc_75: 0.00179
# Spline RMSE gcc_90: 0.00242
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kamuela,GR,1000,rising,gcc_90,2010-11-12,2010-11-20,2010-11-23,2010-05-11,2010-05-11,2010-05-11,2010-12-04,2010-12-04,2010-12-04,0.37428,0.38158,0.40125,0.36832,0.43073
kamuela,GR,1000,rising,gcc_90,2011-06-08,2011-06-12,2011-06-17,2011-06-06,2011-06-10,2011-06-15,2011-06-10,2011-06-14,2011-06-19,0.35836,0.36496,0.37636,0.35412,0.39847
kamuela,GR,1000,rising,gcc_90,2011-11-10,2011-11-13,2011-11-20,2011-11-09,2011-11-12,2011-11-18,2011-11-12,2011-11-15,2011-11-22,0.34383,0.35175,0.37057,0.33913,0.40111
kamuela,GR,1000,rising,gcc_90,2013-01-31,2013-02-03,2013-02-10,2013-01-30,2013-02-02,2013-02-07,2013-02-01,2013-02-05,2013-02-12,0.35076,0.35782,0.37137,0.34732,0.39309
kamuela,GR,1000,rising,gcc_90,2013-12-29,2013-12-31,2014-01-05,2013-12-28,2013-12-30,2014-01-03,2013-12-30,2014-01-01,2014-01-06,0.37249,0.38017,0.39513,0.36799,0.41922
kamuela,GR,1000,rising,gcc_90,2015-07-28,2015-08-01,2015-08-09,2015-07-27,2015-07-31,2015-08-06,2015-07-31,2015-08-03,2015-08-10,0.35982,0.36939,0.38904,0.35495,0.41984
kamuela,GR,1000,rising,gcc_90,2016-12-08,2016-12-10,2016-12-14,2016-12-07,2016-12-09,2016-12-12,2016-12-09,2016-12-11,2016-12-16,0.38327,0.38931,0.39812,0.38138,0.41381
kamuela,GR,1000,rising,gcc_90,2017-09-15,2017-10-17,2017-10-31,2017-09-12,2017-10-11,2017-10-11,2017-09-17,2017-11-04,2017-11-04,0.35644,0.36457,0.38271,0.3503,0.41172
kamuela,GR,1000,rising,gcc_75,2010-11-11,2010-11-20,2010-11-23,2010-05-11,2010-05-11,2010-05-11,2010-12-04,2010-12-04,2010-12-04,0.37109,0.37809,0.39596,0.3653,0.4253
kamuela,GR,1000,rising,gcc_75,2011-11-11,2011-11-14,2011-11-21,2011-11-10,2011-11-13,2011-11-19,2011-11-12,2011-11-16,2011-11-22,0.34348,0.35161,0.36834,0.33792,0.3979
