#
# Transition date estimate for kansas
#
# Site: kansas
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2013
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:41:13
# Spline RMSE gcc_mean: 0.00401
# Spline RMSE gcc_50: 0.00387
# Spline RMSE gcc_75: 0.0039
# Spline RMSE gcc_90: 0.00426
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kansas,GR,1000,rising,gcc_90,2013-04-06,2013-04-17,2013-05-01,2013-04-03,2013-04-15,2013-04-28,2013-04-10,2013-04-20,2013-05-02,0.33148,0.34822,0.37884,0.32124,0.4327
kansas,GR,1000,rising,gcc_90,2014-04-10,2014-04-18,2014-04-29,2014-04-07,2014-04-16,2014-04-27,2014-04-13,2014-04-20,2014-04-30,0.32892,0.3431,0.37035,0.31933,0.41726
kansas,GR,1000,rising,gcc_90,2015-03-31,2015-04-07,2015-04-21,2015-03-28,2015-04-06,2015-04-18,2015-04-03,2015-04-10,2015-04-24,0.32887,0.34331,0.37083,0.31958,0.4205
kansas,GR,1000,rising,gcc_90,2016-03-17,2016-04-10,2016-04-21,2016-03-07,2016-04-08,2016-04-18,2016-03-27,2016-04-13,2016-04-22,0.32761,0.34079,0.36924,0.31815,0.41543
kansas,GR,1000,rising,gcc_90,2017-03-31,2017-04-10,2017-04-19,2017-03-24,2017-04-08,2017-04-17,2017-04-04,2017-04-13,2017-04-20,0.32812,0.34084,0.36679,0.3194,0.40974
kansas,GR,1000,rising,gcc_90,2018-04-19,2018-04-27,2018-05-06,2018-04-01,2018-04-25,2018-05-04,2018-04-23,2018-04-30,2018-05-07,0.32698,0.33821,0.36191,0.31886,0.40111
kansas,GR,1000,rising,gcc_75,2013-04-05,2013-04-16,2013-04-30,2013-04-03,2013-04-14,2013-04-28,2013-04-09,2013-04-19,2013-05-02,0.32895,0.3452,0.37317,0.31948,0.4261
kansas,GR,1000,rising,gcc_75,2014-04-10,2014-04-19,2014-04-30,2014-04-06,2014-04-17,2014-04-28,2014-04-13,2014-04-21,2014-05-01,0.32707,0.34103,0.36734,0.31788,0.41167
kansas,GR,1000,rising,gcc_75,2015-03-31,2015-04-07,2015-04-21,2015-03-29,2015-04-05,2015-04-17,2015-04-03,2015-04-09,2015-04-25,0.3274,0.34211,0.36708,0.31861,0.4148
kansas,GR,1000,rising,gcc_75,2016-03-17,2016-04-10,2016-04-21,2016-03-07,2016-04-08,2016-04-19,2016-03-25,2016-04-13,2016-04-23,0.32672,0.33988,0.36466,0.31736,0.41118
kansas,GR,1000,rising,gcc_75,2017-03-30,2017-04-10,2017-04-18,2017-03-24,2017-04-08,2017-04-16,2017-04-04,2017-04-12,2017-04-20,0.32649,0.33936,0.36166,0.31853,0.40445
kansas,GR,1000,rising,gcc_75,2018-04-18,2018-04-27,2018-05-06,2018-04-01,2018-04-26,2018-05-04,2018-04-23,2018-04-30,2018-05-07,0.32567,0.33665,0.35927,0.31801,0.3987
kansas,GR,1000,rising,gcc_50,2013-04-07,2013-04-17,2013-05-01,2013-04-04,2013-04-15,2013-04-29,2013-04-10,2013-04-19,2013-05-03,0.32852,0.34411,0.36973,0.31912,0.41992
kansas,GR,1000,rising,gcc_50,2014-04-09,2014-04-19,2014-04-30,2014-04-05,2014-04-17,2014-04-28,2014-04-13,2014-04-21,2014-05-01,0.32414,0.33734,0.36072,0.31608,0.40238
kansas,GR,1000,rising,gcc_50,2015-03-31,2015-04-07,2015-04-22,2015-03-28,2015-04-05,2015-04-17,2015-04-02,2015-04-10,2015-04-25,0.32527,0.33886,0.363,0.31636,0.40789
kansas,GR,1000,rising,gcc_50,2016-03-15,2016-04-09,2016-04-21,2016-03-07,2016-04-06,2016-04-18,2016-03-22,2016-04-12,2016-04-22,0.32401,0.33741,0.36202,0.31541,0.40598
kansas,GR,1000,rising,gcc_50,2017-03-29,2017-04-09,2017-04-18,2017-03-23,2017-04-07,2017-04-16,2017-04-03,2017-04-12,2017-04-19,0.32455,0.3361,0.3586,0.31673,0.3991
kansas,GR,1000,rising,gcc_50,2018-04-14,2018-04-27,2018-05-06,2018-03-27,2018-04-25,2018-05-04,2018-04-21,2018-04-30,2018-05-07,0.32354,0.33463,0.35553,0.31595,0.3931
kansas,GR,1000,rising,gcc_mean,2013-04-07,2013-04-16,2013-05-01,2013-04-04,2013-04-14,2013-04-28,2013-04-10,2013-04-19,2013-05-02,0.32818,0.3418,0.36849,0.31866,0.41502
kansas,GR,1000,rising,gcc_mean,2014-04-08,2014-04-17,2014-04-29,2014-04-04,2014-04-15,2014-04-26,2014-04-12,2014-04-20,2014-04-30,0.32302,0.33483,0.35877,0.31563,0.3985
kansas,GR,1000,rising,gcc_mean,2015-03-30,2015-04-06,2015-04-20,2015-03-28,2015-04-05,2015-04-16,2015-04-02,2015-04-09,2015-04-23,0.32354,0.3368,0.36077,0.31592,0.40453
kansas,GR,1000,rising,gcc_mean,2016-03-15,2016-04-08,2016-04-20,2016-03-06,2016-04-05,2016-04-17,2016-03-22,2016-04-12,2016-04-22,0.32361,0.33579,0.35933,0.31522,0.40164
kansas,GR,1000,rising,gcc_mean,2017-03-28,2017-04-09,2017-04-18,2017-03-21,2017-04-06,2017-04-16,2017-04-03,2017-04-12,2017-04-19,0.3238,0.33568,0.35757,0.31605,0.39553
kansas,GR,1000,rising,gcc_mean,2018-04-11,2018-04-26,2018-05-05,2018-03-25,2018-04-24,2018-05-03,2018-04-21,2018-04-29,2018-05-07,0.32239,0.33314,0.3528,0.31513,0.38947
kansas,GR,1000,falling,gcc_90,2018-10-22,2018-10-11,2018-09-14,2018-11-16,2018-10-15,2018-09-18,2018-10-18,2018-10-04,2018-09-10,0.33731,0.34738,0.36582,0.33027,0.40097
kansas,GR,1000,falling,gcc_90,2017-10-28,2017-10-15,2017-09-25,2017-11-07,2017-10-18,2017-09-29,2017-10-22,2017-10-11,2017-09-21,0.33354,0.34575,0.36698,0.32575,0.40791
kansas,GR,1000,falling,gcc_90,2016-10-23,2016-10-07,2016-09-17,2016-11-03,2016-10-12,2016-09-21,2016-10-15,2016-10-02,2016-09-14,0.33304,0.3466,0.37051,0.32443,0.41535
kansas,GR,1000,falling,gcc_90,2015-10-15,2015-10-08,2015-09-27,2015-10-17,2015-10-09,2015-09-29,2015-10-12,2015-10-05,2015-09-26,0.33178,0.34555,0.37325,0.32349,0.41976
kansas,GR,1000,falling,gcc_90,2014-10-16,2014-10-03,2014-09-08,2014-10-20,2014-10-07,2014-09-14,2014-10-11,2014-09-27,2014-08-24,0.33314,0.34671,0.36914,0.32506,0.41279
kansas,GR,1000,falling,gcc_90,2013-10-14,2013-10-03,2013-09-02,2013-10-16,2013-10-06,2013-09-08,2013-10-11,2013-09-29,2013-08-29,0.33225,0.3474,0.37453,0.32222,0.42566
kansas,GR,1000,falling,gcc_75,2018-10-22,2018-10-10,2018-09-15,2018-11-16,2018-10-15,2018-09-19,2018-10-17,2018-10-04,2018-09-12,0.33539,0.34596,0.36357,0.3293,0.39674
kansas,GR,1000,falling,gcc_75,2017-10-27,2017-10-15,2017-09-26,2017-11-05,2017-10-18,2017-09-30,2017-10-21,2017-10-11,2017-09-22,0.33181,0.34376,0.36427,0.32423,0.40427
kansas,GR,1000,falling,gcc_75,2016-10-22,2016-10-07,2016-09-16,2016-11-02,2016-10-12,2016-09-21,2016-10-15,2016-10-02,2016-09-13,0.33227,0.3449,0.3669,0.32403,0.40822
kansas,GR,1000,falling,gcc_75,2015-10-15,2015-10-08,2015-09-27,2015-10-17,2015-10-09,2015-09-29,2015-10-12,2015-10-05,2015-09-25,0.33078,0.34366,0.36866,0.32232,0.41462
kansas,GR,1000,falling,gcc_75,2014-10-22,2014-10-06,2014-09-10,2014-11-13,2014-10-09,2014-09-16,2014-10-15,2014-09-30,2014-08-25,0.32767,0.34056,0.36425,0.31903,0.40861
kansas,GR,1000,falling,gcc_75,2013-10-11,2013-09-29,2013-08-31,2013-10-14,2013-10-02,2013-09-05,2013-10-08,2013-09-25,2013-08-27,0.33292,0.34711,0.37181,0.32326,0.42004
kansas,GR,1000,falling,gcc_50,2018-10-21,2018-10-10,2018-09-15,2018-11-17,2018-10-15,2018-09-20,2018-10-17,2018-10-04,2018-09-12,0.33406,0.3441,0.36099,0.32823,0.39203
kansas,GR,1000,falling,gcc_50,2017-10-26,2017-10-14,2017-09-26,2017-11-04,2017-10-17,2017-09-30,2017-10-20,2017-10-10,2017-09-23,0.32959,0.34094,0.36194,0.32227,0.40029
kansas,GR,1000,falling,gcc_50,2016-10-18,2016-10-05,2016-09-16,2016-11-05,2016-10-09,2016-09-20,2016-10-11,2016-10-01,2016-09-12,0.3301,0.34249,0.36325,0.32243,0.40404
kansas,GR,1000,falling,gcc_50,2015-10-16,2015-10-08,2015-09-26,2015-10-18,2015-10-10,2015-09-29,2015-10-13,2015-10-05,2015-09-25,0.3275,0.34077,0.36533,0.31988,0.40816
kansas,GR,1000,falling,gcc_50,2014-10-10,2014-09-28,2014-08-24,2014-10-13,2014-10-02,2014-09-11,2014-10-07,2014-09-23,2014-08-20,0.33232,0.34328,0.36331,0.3248,0.40082
kansas,GR,1000,falling,gcc_50,2013-10-12,2013-09-28,2013-08-31,2013-10-14,2013-10-01,2013-09-06,2013-10-08,2013-09-24,2013-08-27,0.32737,0.34223,0.36605,0.31898,0.41249
kansas,GR,1000,falling,gcc_mean,2018-10-22,2018-10-12,2018-09-16,2018-11-18,2018-10-16,2018-09-21,2018-10-18,2018-10-07,2018-09-12,0.33304,0.34264,0.35826,0.32757,0.38852
kansas,GR,1000,falling,gcc_mean,2017-10-27,2017-10-15,2017-09-27,2017-11-06,2017-10-18,2017-10-01,2017-10-21,2017-10-11,2017-09-23,0.32913,0.34029,0.3595,0.32216,0.39565
kansas,GR,1000,falling,gcc_mean,2016-10-21,2016-10-07,2016-09-18,2016-11-07,2016-10-11,2016-09-23,2016-10-13,2016-10-03,2016-09-14,0.32937,0.34099,0.361,0.3219,0.39918
kansas,GR,1000,falling,gcc_mean,2015-10-16,2015-10-08,2015-09-27,2015-10-18,2015-10-10,2015-09-30,2015-10-13,2015-10-06,2015-09-26,0.32751,0.34106,0.36364,0.32005,0.40444
kansas,GR,1000,falling,gcc_mean,2014-10-11,2014-09-29,2014-09-07,2014-10-15,2014-10-04,2014-09-14,2014-10-08,2014-09-24,2014-08-19,0.33135,0.34234,0.36113,0.32428,0.39747
kansas,GR,1000,falling,gcc_mean,2013-10-13,2013-09-30,2013-09-02,2013-10-15,2013-10-04,2013-09-09,2013-10-09,2013-09-26,2013-08-28,0.32723,0.34146,0.36373,0.31958,0.40735
