#
# Transition date estimate for kelloggcorn2
#
# Site: kelloggcorn2
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:43:16
# Spline RMSE gcc_mean: 0.00441
# Spline RMSE gcc_50: 0.00476
# Spline RMSE gcc_75: 0.00426
# Spline RMSE gcc_90: 0.00484
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kelloggcorn2,AG,1000,rising,gcc_90,2016-06-03,2016-06-09,2016-06-16,2016-06-01,2016-06-08,2016-06-15,2016-06-04,2016-06-11,2016-06-17,0.35513,0.37181,0.40531,0.34276,0.46696
kelloggcorn2,AG,1000,rising,gcc_90,2017-06-02,2017-06-06,2017-06-13,2017-06-01,2017-06-05,2017-06-12,2017-06-04,2017-06-07,2017-06-14,0.3563,0.37412,0.40731,0.34655,0.46441
kelloggcorn2,AG,1000,rising,gcc_90,2018-06-09,2018-06-10,2018-06-12,2018-05-10,2018-05-10,2018-05-10,2018-06-16,2018-06-16,2018-06-16,0.36689,0.36946,0.46339,0.3507,0.51866
kelloggcorn2,AG,1000,rising,gcc_75,2016-06-03,2016-06-09,2016-06-16,2016-06-01,2016-06-08,2016-06-15,2016-06-04,2016-06-11,2016-06-17,0.35365,0.36986,0.40323,0.34236,0.46112
kelloggcorn2,AG,1000,rising,gcc_75,2017-06-03,2017-06-07,2017-06-13,2017-06-02,2017-06-06,2017-06-12,2017-06-05,2017-06-08,2017-06-14,0.35627,0.37153,0.40328,0.34564,0.45612
kelloggcorn2,AG,1000,rising,gcc_75,2018-06-09,2018-06-10,2018-06-12,2018-05-10,2018-05-10,2018-05-10,2018-06-16,2018-06-16,2018-06-16,0.36342,0.36646,0.45591,0.34752,0.50705
kelloggcorn2,AG,1000,rising,gcc_50,2016-06-03,2016-06-09,2016-06-16,2016-06-02,2016-06-08,2016-06-15,2016-06-04,2016-06-11,2016-06-17,0.35201,0.36729,0.39929,0.34218,0.4523
kelloggcorn2,AG,1000,rising,gcc_50,2017-06-03,2017-06-07,2017-06-13,2017-06-02,2017-06-06,2017-06-12,2017-06-05,2017-06-09,2017-06-14,0.35387,0.36754,0.39899,0.34449,0.44725
kelloggcorn2,AG,1000,rising,gcc_50,2018-06-06,2018-06-10,2018-06-12,2018-05-10,2018-05-10,2018-05-10,2018-06-16,2018-06-16,2018-06-16,0.35981,0.36345,0.44615,0.34454,0.50205
kelloggcorn2,AG,1000,rising,gcc_mean,2016-06-03,2016-06-09,2016-06-16,2016-06-01,2016-06-08,2016-06-14,2016-06-04,2016-06-11,2016-06-17,0.35217,0.36758,0.39997,0.34207,0.45021
kelloggcorn2,AG,1000,rising,gcc_mean,2017-06-03,2017-06-07,2017-06-13,2017-06-02,2017-06-06,2017-06-11,2017-06-04,2017-06-08,2017-06-14,0.35456,0.36915,0.40002,0.34444,0.44871
kelloggcorn2,AG,1000,rising,gcc_mean,2018-06-05,2018-06-10,2018-06-12,2018-05-10,2018-05-10,2018-05-10,2018-06-16,2018-06-16,2018-06-16,0.35772,0.36494,0.44066,0.34437,0.50348
kelloggcorn2,AG,1000,falling,gcc_90,2018-09-24,2018-09-19,2018-09-10,2018-09-26,2018-09-20,2018-09-12,2018-09-22,2018-09-17,2018-09-09,0.37247,0.39155,0.42837,0.35878,0.49567
kelloggcorn2,AG,1000,falling,gcc_90,2017-09-17,2017-09-14,2017-09-08,2017-09-18,2017-09-15,2017-09-09,2017-09-16,2017-09-12,2017-09-07,0.35519,0.37061,0.40308,0.34356,0.46194
kelloggcorn2,AG,1000,falling,gcc_90,2016-09-30,2016-09-27,2016-09-21,2016-10-02,2016-09-28,2016-09-22,2016-09-28,2016-09-25,2016-09-20,0.35852,0.3711,0.40233,0.34804,0.45658
kelloggcorn2,AG,1000,falling,gcc_90,2015-09-26,2015-09-18,2015-09-14,2015-09-28,2015-09-19,2015-09-15,2015-09-23,2015-09-16,2015-09-13,0.35331,0.36912,0.40403,0.34288,0.46468
kelloggcorn2,AG,1000,falling,gcc_75,2018-09-23,2018-09-19,2018-09-09,2018-09-24,2018-09-20,2018-09-11,2018-09-21,2018-09-17,2018-09-08,0.37061,0.38834,0.42518,0.35863,0.49138
kelloggcorn2,AG,1000,falling,gcc_75,2017-09-18,2017-09-14,2017-09-07,2017-09-19,2017-09-15,2017-09-09,2017-09-16,2017-09-12,2017-09-06,0.35146,0.36733,0.40127,0.34252,0.45497
kelloggcorn2,AG,1000,falling,gcc_75,2016-09-30,2016-09-26,2016-09-21,2016-10-02,2016-09-27,2016-09-22,2016-09-28,2016-09-25,2016-09-20,0.35704,0.37191,0.39942,0.34712,0.4516
kelloggcorn2,AG,1000,falling,gcc_75,2015-09-26,2015-09-18,2015-09-14,2015-09-27,2015-09-19,2015-09-15,2015-09-24,2015-09-17,2015-09-13,0.35226,0.36773,0.40285,0.34222,0.45825
kelloggcorn2,AG,1000,falling,gcc_50,2018-09-23,2018-09-18,2018-09-09,2018-09-24,2018-09-19,2018-09-10,2018-09-21,2018-09-17,2018-09-08,0.36703,0.38533,0.41896,0.35592,0.48191
kelloggcorn2,AG,1000,falling,gcc_50,2017-09-17,2017-09-14,2017-09-07,2017-09-18,2017-09-15,2017-09-09,2017-09-16,2017-09-12,2017-09-06,0.35227,0.36484,0.39548,0.34206,0.4466
kelloggcorn2,AG,1000,falling,gcc_50,2016-09-30,2016-09-27,2016-09-21,2016-10-01,2016-09-28,2016-09-22,2016-09-29,2016-09-25,2016-09-20,0.35503,0.36593,0.39599,0.34573,0.44285
kelloggcorn2,AG,1000,falling,gcc_50,2015-09-26,2015-09-18,2015-09-14,2015-09-27,2015-09-19,2015-09-15,2015-09-24,2015-09-17,2015-09-13,0.35071,0.36664,0.40032,0.34109,0.45151
kelloggcorn2,AG,1000,falling,gcc_mean,2018-09-23,2018-09-18,2018-09-08,2018-09-24,2018-09-19,2018-09-10,2018-09-21,2018-09-16,2018-09-07,0.36673,0.3842,0.42277,0.35636,0.48321
