#
# Transition date estimate for kelloggcornsoy
#
# Site: kelloggcornsoy
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:44:43
# Spline RMSE gcc_mean: 0.00746
# Spline RMSE gcc_50: 0.00756
# Spline RMSE gcc_75: 0.00802
# Spline RMSE gcc_90: 0.00902
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kelloggcornsoy,AG,1000,rising,gcc_90,2016-03-07,2016-03-10,2016-04-17,2016-03-06,2016-03-09,2016-04-15,2016-03-09,2016-03-14,2016-04-18,0.35521,0.37665,0.4119,0.35171,0.45611
kelloggcornsoy,AG,1000,rising,gcc_90,2016-06-06,2016-06-09,2016-06-13,2016-06-05,2016-06-07,2016-06-12,2016-06-08,2016-06-11,2016-06-14,0.39246,0.40761,0.43277,0.38496,0.47744
kelloggcornsoy,AG,1000,rising,gcc_90,2016-10-25,2016-10-27,2016-11-03,2016-10-23,2016-10-26,2016-10-30,2016-10-26,2016-10-28,2016-11-05,0.38383,0.39306,0.41646,0.37984,0.44412
kelloggcornsoy,AG,1000,rising,gcc_90,2017-04-17,2017-04-18,2017-04-23,2017-03-21,2017-03-21,2017-03-21,2017-05-22,2017-05-22,2017-05-22,0.3754,0.38625,0.42748,0.37285,0.47926
kelloggcornsoy,AG,1000,rising,gcc_90,2017-07-01,2017-07-05,2017-07-09,2017-06-29,2017-07-03,2017-07-07,2017-07-04,2017-07-07,2017-07-10,0.38267,0.39402,0.42055,0.37792,0.44686
kelloggcornsoy,AG,1000,rising,gcc_90,2018-04-22,2018-05-03,2018-05-07,2018-04-20,2018-04-24,2018-05-06,2018-04-25,2018-05-06,2018-05-08,0.362,0.37426,0.40869,0.35348,0.46216
kelloggcornsoy,AG,1000,rising,gcc_90,2018-08-31,2018-09-01,2018-09-05,2018-08-30,2018-08-31,2018-09-03,2018-09-02,2018-09-03,2018-09-06,0.38575,0.39896,0.43596,0.38575,0.48188
kelloggcornsoy,AG,1000,rising,gcc_75,2016-03-07,2016-03-09,2016-04-05,2016-03-06,2016-03-08,2016-04-04,2016-03-09,2016-03-11,2016-04-17,0.35367,0.36796,0.39591,0.34852,0.44312
kelloggcornsoy,AG,1000,rising,gcc_75,2016-06-06,2016-06-09,2016-06-14,2016-06-05,2016-06-08,2016-06-12,2016-06-08,2016-06-11,2016-06-15,0.38595,0.40083,0.43285,0.37947,0.47679
kelloggcornsoy,AG,1000,rising,gcc_75,2016-10-25,2016-10-27,2016-11-03,2016-10-23,2016-10-26,2016-10-30,2016-10-26,2016-10-30,2016-11-05,0.38173,0.39012,0.41401,0.37733,0.43948
kelloggcornsoy,AG,1000,rising,gcc_75,2017-04-17,2017-04-18,2017-04-27,2017-03-21,2017-03-21,2017-03-21,2017-05-22,2017-05-22,2017-05-22,0.37242,0.38228,0.42212,0.37072,0.47028
kelloggcornsoy,AG,1000,rising,gcc_75,2017-07-01,2017-07-05,2017-07-09,2017-06-28,2017-07-03,2017-07-08,2017-07-04,2017-07-07,2017-07-10,0.38007,0.39001,0.41132,0.37362,0.44416
kelloggcornsoy,AG,1000,rising,gcc_75,2018-04-22,2018-05-03,2018-05-07,2018-04-20,2018-04-25,2018-05-06,2018-04-24,2018-05-06,2018-05-08,0.3594,0.37371,0.40478,0.35061,0.4571
kelloggcornsoy,AG,1000,rising,gcc_75,2018-08-31,2018-09-02,2018-09-05,2018-08-30,2018-09-01,2018-09-03,2018-09-02,2018-09-03,2018-09-06,0.37655,0.39856,0.4303,0.37655,0.47362
kelloggcornsoy,AG,1000,rising,gcc_50,2016-03-07,2016-03-09,2016-04-07,2016-03-06,2016-03-08,2016-04-06,2016-03-08,2016-03-11,2016-04-16,0.35173,0.36519,0.39037,0.34486,0.43561
