#
# Transition date estimate for lacclair
#
# Site: lacclair
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:46:30
# Spline RMSE gcc_mean: 0.00292
# Spline RMSE gcc_50: 0.00333
# Spline RMSE gcc_75: 0.00316
# Spline RMSE gcc_90: 0.0033
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
lacclair,DB,1000,rising,gcc_90,2015-05-09,2015-05-13,2015-05-18,2015-05-07,2015-05-12,2015-05-17,2015-05-11,2015-05-15,2015-05-19,0.32193,0.33705,0.37066,0.3112,0.42829
lacclair,DB,1000,rising,gcc_90,2016-05-16,2016-05-19,2016-05-23,2016-05-15,2016-05-18,2016-05-21,2016-05-18,2016-05-20,2016-05-24,0.32428,0.34068,0.37795,0.31392,0.43241
lacclair,DB,1000,rising,gcc_90,2017-05-13,2017-05-17,2017-05-23,2017-05-12,2017-05-16,2017-05-21,2017-05-15,2017-05-19,2017-05-24,0.32235,0.33619,0.37179,0.31213,0.42603
lacclair,DB,1000,rising,gcc_90,2018-05-16,2018-05-19,2018-05-23,2018-05-15,2018-05-18,2018-05-22,2018-05-18,2018-05-20,2018-05-24,0.32327,0.3393,0.37463,0.31381,0.43273
lacclair,DB,1000,rising,gcc_75,2015-05-09,2015-05-13,2015-05-19,2015-05-06,2015-05-12,2015-05-17,2015-05-11,2015-05-15,2015-05-20,0.32022,0.334,0.37188,0.31,0.42079
lacclair,DB,1000,rising,gcc_75,2016-05-16,2016-05-19,2016-05-23,2016-05-15,2016-05-18,2016-05-22,2016-05-18,2016-05-21,2016-05-24,0.32126,0.33522,0.37078,0.3129,0.42603
lacclair,DB,1000,rising,gcc_75,2017-05-13,2017-05-18,2017-05-23,2017-05-12,2017-05-17,2017-05-22,2017-05-15,2017-05-19,2017-05-24,0.32052,0.3385,0.36849,0.31113,0.42184
lacclair,DB,1000,rising,gcc_75,2018-05-17,2018-05-19,2018-05-24,2018-05-15,2018-05-18,2018-05-22,2018-05-18,2018-05-21,2018-05-25,0.32408,0.33525,0.37683,0.31279,0.42738
lacclair,DB,1000,rising,gcc_50,2015-05-09,2015-05-13,2015-05-19,2015-05-04,2015-05-12,2015-05-18,2015-05-12,2015-05-15,2015-05-20,0.31846,0.33067,0.36361,0.30806,0.41473
lacclair,DB,1000,rising,gcc_50,2016-05-16,2016-05-19,2016-05-23,2016-05-15,2016-05-18,2016-05-22,2016-05-18,2016-05-21,2016-05-24,0.31914,0.3319,0.36543,0.31114,0.41926
lacclair,DB,1000,rising,gcc_50,2017-05-14,2017-05-18,2017-05-23,2017-05-12,2017-05-17,2017-05-22,2017-05-16,2017-05-19,2017-05-24,0.32014,0.33449,0.36387,0.30993,0.41461
lacclair,DB,1000,rising,gcc_50,2018-05-16,2018-05-19,2018-05-24,2018-05-15,2018-05-18,2018-05-22,2018-05-18,2018-05-21,2018-05-25,0.31944,0.33246,0.36915,0.31192,0.41495
lacclair,DB,1000,rising,gcc_mean,2015-05-08,2015-05-13,2015-05-19,2015-05-04,2015-05-12,2015-05-17,2015-05-11,2015-05-15,2015-05-20,0.31766,0.331,0.36375,0.30784,0.41248
lacclair,DB,1000,rising,gcc_mean,2016-05-16,2016-05-19,2016-05-23,2016-05-15,2016-05-18,2016-05-22,2016-05-18,2016-05-21,2016-05-24,0.31869,0.33163,0.36496,0.31076,0.41707
lacclair,DB,1000,rising,gcc_mean,2017-05-13,2017-05-17,2017-05-23,2017-05-12,2017-05-16,2017-05-21,2017-05-15,2017-05-19,2017-05-24,0.31749,0.33071,0.36463,0.30942,0.41268
lacclair,DB,1000,rising,gcc_mean,2018-05-16,2018-05-19,2018-05-24,2018-05-15,2018-05-18,2018-05-22,2018-05-18,2018-05-21,2018-05-25,0.31935,0.33258,0.37044,0.31149,0.41735
lacclair,DB,1000,falling,gcc_90,2018-10-05,2018-10-02,2018-09-26,2018-10-06,2018-10-03,2018-09-28,2018-10-03,2018-10-01,2018-09-25,0.32291,0.34027,0.36877,0.31499,0.42
lacclair,DB,1000,falling,gcc_90,2017-10-06,2017-10-01,2017-09-11,2017-10-07,2017-10-03,2017-09-14,2017-10-04,2017-09-23,2017-09-09,0.32246,0.34029,0.36796,0.31683,0.41512
lacclair,DB,1000,falling,gcc_90,2016-10-02,2016-09-29,2016-09-20,2016-10-03,2016-09-30,2016-09-23,2016-09-30,2016-09-27,2016-09-18,0.32513,0.34167,0.36755,0.31999,0.41278
lacclair,DB,1000,falling,gcc_90,2015-10-09,2015-10-04,2015-09-25,2015-10-10,2015-10-06,2015-09-28,2015-10-07,2015-10-02,2015-09-23,0.32152,0.34021,0.36714,0.31492,0.41701
lacclair,DB,1000,falling,gcc_90,2014-09-28,2014-09-25,2014-09-20,2014-09-29,2014-09-26,2014-09-21,2014-09-27,2014-09-23,2014-09-18,0.32531,0.33803,0.36664,0.31512,0.41798
lacclair,DB,1000,falling,gcc_75,2018-10-04,2018-10-01,2018-09-24,2018-10-05,2018-10-02,2018-09-26,2018-10-02,2018-09-30,2018-09-23,0.32361,0.3409,0.36824,0.31721,0.41508
lacclair,DB,1000,falling,gcc_75,2017-10-05,2017-10-01,2017-09-12,2017-10-06,2017-10-03,2017-09-14,2017-10-04,2017-09-23,2017-09-10,0.32501,0.33852,0.36286,0.31583,0.40962
lacclair,DB,1000,falling,gcc_75,2016-10-02,2016-09-29,2016-09-21,2016-10-03,2016-09-30,2016-09-24,2016-09-30,2016-09-28,2016-09-19,0.32245,0.33963,0.36347,0.31709,0.4081
lacclair,DB,1000,falling,gcc_75,2015-10-06,2015-10-02,2015-09-20,2015-10-07,2015-10-03,2015-09-23,2015-10-04,2015-09-29,2015-09-18,0.33213,0.34504,0.37016,0.3258,0.41229
lacclair,DB,1000,falling,gcc_75,2014-09-28,2014-09-25,2014-09-20,2014-09-29,2014-09-26,2014-09-21,2014-09-26,2014-09-23,2014-09-19,0.32291,0.33549,0.36402,0.31355,0.41357
lacclair,DB,1000,falling,gcc_50,2018-10-04,2018-10-02,2018-09-25,2018-10-05,2018-10-03,2018-09-27,2018-10-02,2018-09-30,2018-09-24,0.31791,0.32983,0.36057,0.31144,0.40644
lacclair,DB,1000,falling,gcc_50,2017-09-22,2017-09-15,2017-09-06,2017-09-27,2017-09-17,2017-09-09,2017-09-18,2017-09-13,2017-09-03,0.34296,0.35281,0.37096,0.33683,0.40227
lacclair,DB,1000,falling,gcc_50,2016-10-02,2016-09-30,2016-09-21,2016-10-03,2016-10-01,2016-09-24,2016-09-30,2016-09-28,2016-09-19,0.31863,0.33063,0.35993,0.31317,0.4033
lacclair,DB,1000,falling,gcc_50,2015-10-07,2015-10-04,2015-09-23,2015-10-08,2015-10-05,2015-09-26,2015-10-05,2015-10-02,2015-09-20,0.32531,0.33701,0.36103,0.31817,0.40382
lacclair,DB,1000,falling,gcc_50,2014-09-28,2014-09-25,2014-09-19,2014-09-29,2014-09-26,2014-09-21,2014-09-25,2014-09-23,2014-09-18,0.3179,0.32954,0.36221,0.31168,0.40578
lacclair,DB,1000,falling,gcc_mean,2018-10-04,2018-10-02,2018-09-25,2018-10-05,2018-10-03,2018-09-27,2018-10-02,2018-09-30,2018-09-24,0.31868,0.33032,0.36115,0.31229,0.40713
lacclair,DB,1000,falling,gcc_mean,2017-09-21,2017-09-14,2017-08-31,2017-09-25,2017-09-16,2017-09-06,2017-09-17,2017-09-12,2017-08-25,0.34388,0.35489,0.37461,0.33688,0.41206
lacclair,DB,1000,falling,gcc_mean,2016-10-02,2016-09-30,2016-09-21,2016-10-03,2016-10-01,2016-09-24,2016-09-30,2016-09-28,2016-09-19,0.31809,0.33032,0.3589,0.31253,0.40296
lacclair,DB,1000,falling,gcc_mean,2015-10-07,2015-10-03,2015-09-23,2015-10-08,2015-10-05,2015-09-26,2015-10-05,2015-10-01,2015-09-21,0.32477,0.33938,0.36151,0.31802,0.40353
lacclair,DB,1000,falling,gcc_mean,2014-09-28,2014-09-25,2014-09-20,2014-09-29,2014-09-26,2014-09-21,2014-09-26,2014-09-23,2014-09-19,0.31769,0.32943,0.35888,0.31158,0.40532
