#
# Transition date estimate for laclaflamme
#
# Site: laclaflamme
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:47:14
# Spline RMSE gcc_mean: 0.00496
# Spline RMSE gcc_50: 0.00673
# Spline RMSE gcc_75: 0.00468
# Spline RMSE gcc_90: 0.00404
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
laclaflamme,EN,1000,rising,gcc_90,2015-03-21,2015-04-29,2015-05-08,2015-03-13,2015-04-27,2015-05-06,2015-04-26,2015-05-02,2015-05-11,0.34552,0.35372,0.37082,0.3394,0.40183
laclaflamme,EN,1000,rising,gcc_90,2016-04-14,2016-04-27,2016-05-16,2016-04-09,2016-04-20,2016-05-12,2016-04-19,2016-05-07,2016-05-18,0.34261,0.35023,0.36478,0.33755,0.38973
laclaflamme,EN,1000,rising,gcc_90,2017-03-19,2017-04-22,2017-05-10,2017-03-15,2017-04-14,2017-05-06,2017-03-24,2017-04-30,2017-05-13,0.33612,0.34497,0.35984,0.33131,0.38656
laclaflamme,EN,1000,rising,gcc_90,2018-04-18,2018-04-27,2018-05-10,2018-04-14,2018-04-23,2018-05-05,2018-04-23,2018-05-01,2018-05-13,0.33866,0.34601,0.35947,0.33388,0.38334
laclaflamme,EN,1000,rising,gcc_75,2015-03-20,2015-04-28,2015-05-08,2015-03-13,2015-04-26,2015-05-05,2015-04-02,2015-05-01,2015-05-10,0.34058,0.34868,0.36734,0.33474,0.39723
laclaflamme,EN,1000,rising,gcc_75,2016-04-11,2016-04-20,2016-05-15,2016-04-08,2016-04-16,2016-05-10,2016-04-16,2016-04-29,2016-05-17,0.33705,0.34577,0.36029,0.33286,0.38522
laclaflamme,EN,1000,rising,gcc_75,2017-03-19,2017-04-26,2017-05-11,2017-03-14,2017-04-18,2017-05-07,2017-03-24,2017-05-02,2017-05-13,0.33381,0.34151,0.35597,0.32847,0.38218
laclaflamme,EN,1000,rising,gcc_75,2018-04-17,2018-04-27,2018-05-09,2018-04-13,2018-04-23,2018-05-05,2018-04-18,2018-05-01,2018-05-12,0.33481,0.34277,0.35553,0.33067,0.37948
laclaflamme,EN,1000,rising,gcc_50,2015-03-24,2015-04-25,2015-05-09,2015-03-15,2015-04-20,2015-05-05,2015-04-05,2015-04-29,2015-05-12,0.33308,0.34277,0.3591,0.32726,0.38946
laclaflamme,EN,1000,rising,gcc_50,2016-04-09,2016-04-20,2016-05-13,2016-04-03,2016-04-15,2016-05-08,2016-04-16,2016-04-29,2016-05-17,0.33271,0.34031,0.35332,0.32856,0.37748
laclaflamme,EN,1000,rising,gcc_50,2017-03-27,2017-04-28,2017-05-10,2017-03-16,2017-04-21,2017-05-06,2017-04-21,2017-05-02,2017-05-13,0.32969,0.33709,0.34993,0.32479,0.37449
laclaflamme,EN,1000,rising,gcc_50,2018-04-19,2018-04-27,2018-05-08,2018-03-10,2018-04-23,2018-05-04,2018-04-24,2018-05-01,2018-05-12,0.33076,0.3374,0.349,0.32637,0.37138
laclaflamme,EN,1000,rising,gcc_mean,2015-03-23,2015-04-27,2015-05-07,2015-03-15,2015-04-21,2015-05-04,2015-04-02,2015-04-30,2015-05-10,0.33245,0.34146,0.35705,0.32678,0.38572
laclaflamme,EN,1000,rising,gcc_mean,2016-04-10,2016-04-18,2016-05-13,2016-04-07,2016-04-14,2016-05-09,2016-04-15,2016-04-26,2016-05-16,0.33204,0.33915,0.35146,0.32809,0.37436
laclaflamme,EN,1000,rising,gcc_mean,2017-03-22,2017-04-26,2017-05-09,2017-03-16,2017-04-16,2017-05-06,2017-04-16,2017-05-02,2017-05-12,0.32815,0.33545,0.34752,0.324,0.37044
laclaflamme,EN,1000,rising,gcc_mean,2018-04-17,2018-04-27,2018-05-09,2018-04-13,2018-04-22,2018-05-05,2018-04-23,2018-05-01,2018-05-12,0.33015,0.3369,0.34826,0.32662,0.3687
laclaflamme,EN,1000,falling,gcc_90,2018-10-31,2018-10-26,2018-10-17,2018-11-03,2018-10-28,2018-10-21,2018-10-27,2018-10-23,2018-10-14,0.33855,0.34512,0.35903,0.33433,0.38285
laclaflamme,EN,1000,falling,gcc_90,2017-11-21,2017-11-16,2017-11-06,2017-11-24,2017-11-18,2017-11-10,2017-11-18,2017-11-13,2017-10-29,0.3347,0.34227,0.35732,0.32938,0.38483
laclaflamme,EN,1000,falling,gcc_90,2016-10-25,2016-10-20,2016-10-09,2016-10-27,2016-10-22,2016-10-14,2016-10-21,2016-10-17,2016-09-30,0.34672,0.35338,0.366,0.34336,0.38823
laclaflamme,EN,1000,falling,gcc_90,2015-12-03,2015-11-27,2015-11-15,2015-12-06,2015-11-29,2015-11-19,2015-11-30,2015-11-24,2015-11-09,0.33912,0.34986,0.36998,0.33175,0.40763
laclaflamme,EN,1000,falling,gcc_90,2014-11-14,2014-11-08,2014-10-29,2014-11-19,2014-11-10,2014-11-01,2014-11-10,2014-11-05,2014-10-24,0.34202,0.35068,0.36494,0.33705,0.39242
laclaflamme,EN,1000,falling,gcc_75,2018-10-31,2018-10-26,2018-10-16,2018-11-04,2018-10-28,2018-10-20,2018-10-27,2018-10-23,2018-10-13,0.33563,0.34186,0.35556,0.33109,0.37842
laclaflamme,EN,1000,falling,gcc_75,2017-11-21,2017-11-15,2017-10-29,2017-11-25,2017-11-17,2017-11-05,2017-11-17,2017-11-11,2017-10-23,0.33198,0.33971,0.35398,0.32714,0.3806
laclaflamme,EN,1000,falling,gcc_75,2016-10-25,2016-10-20,2016-10-10,2016-10-28,2016-10-22,2016-10-14,2016-10-21,2016-10-17,2016-10-02,0.34447,0.3507,0.36252,0.34093,0.384
laclaflamme,EN,1000,falling,gcc_75,2015-12-03,2015-11-27,2015-11-15,2015-12-06,2015-11-29,2015-11-19,2015-11-30,2015-11-24,2015-11-07,0.33721,0.348,0.36681,0.33043,0.40274
laclaflamme,EN,1000,falling,gcc_75,2014-11-16,2014-11-10,2014-10-31,2014-11-26,2014-11-12,2014-11-03,2014-11-12,2014-11-07,2014-10-28,0.33695,0.34411,0.35964,0.33191,0.38499
laclaflamme,EN,1000,falling,gcc_50,2018-11-03,2018-10-27,2018-10-15,2018-11-10,2018-10-30,2018-10-20,2018-10-29,2018-10-23,2018-10-12,0.32988,0.33638,0.34956,0.32583,0.37147
laclaflamme,EN,1000,falling,gcc_50,2017-11-19,2017-11-10,2017-10-28,2017-11-24,2017-11-13,2017-11-02,2017-11-13,2017-11-05,2017-10-24,0.32974,0.33687,0.35041,0.32545,0.3742
laclaflamme,EN,1000,falling,gcc_50,2016-10-29,2016-10-21,2016-10-11,2016-11-14,2016-10-24,2016-10-14,2016-10-23,2016-10-17,2016-10-08,0.33964,0.34489,0.35661,0.33551,0.37735
laclaflamme,EN,1000,falling,gcc_50,2015-12-06,2015-11-28,2015-11-14,2015-12-09,2015-11-30,2015-11-18,2015-12-01,2015-11-24,2015-11-09,0.33342,0.34315,0.36205,0.3272,0.39606
laclaflamme,EN,1000,falling,gcc_50,2014-11-14,2014-11-09,2014-10-30,2014-11-20,2014-11-11,2014-11-02,2014-11-10,2014-11-05,2014-10-25,0.33465,0.34121,0.35504,0.3296,0.38028
laclaflamme,EN,1000,falling,gcc_mean,2018-11-01,2018-10-26,2018-10-16,2018-11-06,2018-10-29,2018-10-20,2018-10-28,2018-10-23,2018-10-13,0.33114,0.33688,0.34872,0.32722,0.36828
