#
# Transition date estimate for lethbridge
#
# Site: lethbridge
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:50:25
# Spline RMSE gcc_mean: 0.00236
# Spline RMSE gcc_50: 0.00237
# Spline RMSE gcc_75: 0.00225
# Spline RMSE gcc_90: 0.00236
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
lethbridge,GR,1000,rising,gcc_90,2012-05-02,2012-05-21,2012-06-07,2012-04-30,2012-05-18,2012-06-05,2012-05-05,2012-05-26,2012-06-09,0.31824,0.32721,0.34319,0.31213,0.37357
lethbridge,GR,1000,rising,gcc_90,2013-05-12,2013-05-21,2013-06-01,2013-05-10,2013-05-19,2013-05-30,2013-05-14,2013-05-23,2013-06-02,0.3237,0.33371,0.35146,0.31771,0.38212
lethbridge,GR,1000,rising,gcc_90,2014-05-07,2014-05-19,2014-05-28,2014-05-03,2014-05-18,2014-05-26,2014-05-12,2014-05-20,2014-05-29,0.32342,0.33331,0.35243,0.31661,0.38573
lethbridge,GR,1000,rising,gcc_90,2015-04-30,2015-05-18,2015-05-30,2015-04-26,2015-05-16,2015-05-28,2015-05-04,2015-05-21,2015-05-31,0.32323,0.32995,0.34375,0.3185,0.36618
lethbridge,GR,1000,rising,gcc_90,2016-04-12,2016-04-29,2016-05-19,2016-04-07,2016-04-26,2016-05-16,2016-04-13,2016-05-03,2016-05-20,0.32032,0.32642,0.3382,0.3162,0.35846
lethbridge,GR,1000,rising,gcc_90,2017-04-27,2017-05-05,2017-05-16,2017-04-24,2017-05-04,2017-05-14,2017-04-29,2017-05-07,2017-05-17,0.32267,0.33152,0.34746,0.31665,0.3771
lethbridge,GR,1000,rising,gcc_90,2018-05-05,2018-05-11,2018-05-20,2018-05-03,2018-05-10,2018-05-18,2018-05-07,2018-05-13,2018-05-21,0.32609,0.33494,0.352,0.32032,0.38216
lethbridge,GR,1000,rising,gcc_75,2012-05-02,2012-05-20,2012-06-07,2012-04-30,2012-05-18,2012-06-05,2012-05-05,2012-05-25,2012-06-09,0.31673,0.32561,0.3413,0.31088,0.37144
lethbridge,GR,1000,rising,gcc_75,2013-05-12,2013-05-21,2013-06-02,2013-05-10,2013-05-20,2013-05-31,2013-05-14,2013-05-23,2013-06-03,0.32313,0.33266,0.34996,0.31697,0.38133
lethbridge,GR,1000,rising,gcc_75,2014-05-06,2014-05-18,2014-05-28,2014-05-02,2014-05-17,2014-05-26,2014-05-11,2014-05-20,2014-05-29,0.32207,0.33087,0.34955,0.31562,0.38238
