#
# Transition date estimate for luckyhills
#
# Site: luckyhills
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2013
# Year max: 2014
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:50:00
# Spline RMSE gcc_mean: 0.00102
# Spline RMSE gcc_50: 0.00134
# Spline RMSE gcc_75: 0.00117
# Spline RMSE gcc_90: 0.00108
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
luckyhills,SH,1000,rising,gcc_90,2013-07-08,2013-07-10,2013-07-14,2013-07-07,2013-07-09,2013-07-11,2013-07-10,2013-07-12,2013-07-15,0.3175,0.321,0.32975,0.31633,0.34019
luckyhills,SH,1000,rising,gcc_90,2014-07-10,2014-07-12,2014-07-29,2014-07-09,2014-07-11,2014-07-27,2014-07-12,2014-07-14,2014-07-30,0.31812,0.32147,0.33,0.31682,0.34139
luckyhills,SH,1000,rising,gcc_75,2013-07-08,2013-07-10,2013-07-13,2013-07-07,2013-07-09,2013-07-11,2013-07-10,2013-07-11,2013-07-14,0.3162,0.31982,0.32757,0.31449,0.33787
luckyhills,SH,1000,rising,gcc_75,2014-07-10,2014-07-12,2014-07-29,2014-07-09,2014-07-11,2014-07-27,2014-07-12,2014-07-14,2014-07-30,0.31686,0.32049,0.32859,0.31583,0.33976
luckyhills,SH,1000,rising,gcc_50,2013-07-07,2013-07-10,2013-07-13,2013-07-06,2013-07-09,2013-07-12,2013-07-09,2013-07-11,2013-07-14,0.31398,0.31761,0.32353,0.31217,0.33445
luckyhills,SH,1000,rising,gcc_50,2014-07-12,2014-07-15,2014-07-31,2014-07-11,2014-07-14,2014-07-29,2014-07-14,2014-07-17,2014-08-01,0.31932,0.32255,0.32819,0.3182,0.33746
luckyhills,SH,1000,rising,gcc_mean,2013-07-08,2013-07-09,2013-07-12,2013-07-07,2013-07-08,2013-07-11,2013-07-09,2013-07-11,2013-07-13,0.31469,0.31629,0.32508,0.31296,0.33521
luckyhills,SH,1000,rising,gcc_mean,2014-07-14,2014-07-26,2014-08-01,2014-07-13,2014-07-25,2014-07-30,2014-07-15,2014-07-28,2014-08-10,0.32209,0.32437,0.32972,0.32077,0.33795
luckyhills,SH,1000,falling,gcc_90,2013-10-27,2013-10-17,2013-09-30,2013-11-06,2013-10-20,2013-10-02,2013-10-24,2013-10-14,2013-09-28,0.3199,0.32289,0.32829,0.31794,0.33837
luckyhills,SH,1000,falling,gcc_75,2013-10-26,2013-10-15,2013-09-29,2013-11-07,2013-10-17,2013-10-01,2013-10-21,2013-10-11,2013-09-27,0.31907,0.32156,0.32652,0.31731,0.33533
luckyhills,SH,1000,falling,gcc_50,2013-10-24,2013-10-14,2013-09-28,2013-11-05,2013-10-17,2013-10-01,2013-10-19,2013-10-09,2013-09-26,0.31819,0.32055,0.3251,0.31658,0.33324
luckyhills,SH,1000,falling,gcc_mean,2013-10-25,2013-10-15,2013-09-30,2013-11-04,2013-10-17,2013-10-02,2013-10-21,2013-10-12,2013-09-28,0.31842,0.32085,0.32514,0.31681,0.33346
