#
# Transition date estimate for macleish
#
# Site: macleish
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:50:34
# Spline RMSE gcc_mean: 0.00291
# Spline RMSE gcc_50: 0.00297
# Spline RMSE gcc_75: 0.0026
# Spline RMSE gcc_90: 0.00223
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
macleish,DB,1000,rising,gcc_90,2017-04-20,2017-04-25,2017-05-04,2017-04-19,2017-04-24,2017-05-02,2017-04-22,2017-04-26,2017-05-05,0.3435,0.36024,0.38985,0.3335,0.44269
macleish,DB,1000,rising,gcc_90,2018-05-01,2018-05-04,2018-05-09,2018-04-30,2018-05-03,2018-05-08,2018-05-02,2018-05-06,2018-05-10,0.34654,0.36118,0.39615,0.33726,0.44482
macleish,DB,1000,rising,gcc_75,2017-04-22,2017-04-26,2017-05-06,2017-04-21,2017-04-25,2017-05-04,2017-04-24,2017-04-28,2017-05-07,0.34972,0.36221,0.39113,0.34122,0.43765
macleish,DB,1000,rising,gcc_75,2018-05-01,2018-05-04,2018-05-09,2018-04-30,2018-05-03,2018-05-08,2018-05-02,2018-05-05,2018-05-10,0.34762,0.3617,0.39055,0.33794,0.44139
macleish,DB,1000,rising,gcc_50,2017-04-22,2017-04-26,2017-05-06,2017-04-21,2017-04-25,2017-05-04,2017-04-24,2017-04-28,2017-05-07,0.34724,0.35917,0.38761,0.33814,0.43391
macleish,DB,1000,rising,gcc_50,2018-05-01,2018-05-05,2018-05-10,2018-04-30,2018-05-04,2018-05-08,2018-05-03,2018-05-06,2018-05-11,0.34308,0.35873,0.38714,0.33517,0.43201
macleish,DB,1000,rising,gcc_mean,2017-04-22,2017-04-26,2017-05-05,2017-04-21,2017-04-25,2017-05-03,2017-04-24,2017-04-28,2017-05-06,0.34739,0.35894,0.38424,0.33835,0.42966
macleish,DB,1000,rising,gcc_mean,2018-05-01,2018-05-04,2018-05-09,2018-04-30,2018-05-03,2018-05-08,2018-05-02,2018-05-06,2018-05-10,0.34389,0.35638,0.38326,0.33541,0.42917
macleish,DB,1000,falling,gcc_90,2018-10-30,2018-10-13,2018-10-03,2018-11-01,2018-10-14,2018-10-05,2018-10-27,2018-10-10,2018-10-02,0.34452,0.35871,0.38815,0.33556,0.43344
macleish,DB,1000,falling,gcc_90,2017-10-22,2017-10-13,2017-09-11,2017-10-25,2017-10-15,2017-09-15,2017-10-19,2017-10-10,2017-09-08,0.34521,0.35951,0.38424,0.33594,0.4323
macleish,DB,1000,falling,gcc_75,2018-10-30,2018-10-13,2018-10-03,2018-11-01,2018-10-15,2018-10-05,2018-10-27,2018-10-11,2018-10-02,0.34384,0.35824,0.38347,0.33463,0.42971
macleish,DB,1000,falling,gcc_75,2017-10-24,2017-10-12,2017-09-13,2017-10-27,2017-10-14,2017-09-17,2017-10-20,2017-10-09,2017-09-10,0.34353,0.35794,0.38164,0.33493,0.42814
macleish,DB,1000,falling,gcc_50,2018-10-30,2018-10-13,2018-10-02,2018-11-02,2018-10-15,2018-10-04,2018-10-26,2018-10-10,2018-10-01,0.34249,0.35549,0.38109,0.33368,0.42331
macleish,DB,1000,falling,gcc_50,2017-10-22,2017-10-11,2017-09-14,2017-10-28,2017-10-13,2017-09-19,2017-10-18,2017-10-07,2017-09-10,0.34256,0.35487,0.37786,0.33389,0.4215
macleish,DB,1000,falling,gcc_mean,2018-10-31,2018-10-14,2018-10-03,2018-11-02,2018-10-17,2018-10-05,2018-10-27,2018-10-11,2018-10-02,0.34145,0.35413,0.3782,0.3336,0.41854
macleish,DB,1000,falling,gcc_mean,2017-10-24,2017-10-12,2017-09-15,2017-10-30,2017-10-14,2017-09-20,2017-10-19,2017-10-09,2017-09-11,0.34187,0.35444,0.37642,0.33377,0.41825
