#
# Transition date estimate for mammothcave
#
# Site: mammothcave
# Veg Type: DB
# ROI ID Number: 4000
# Aggregation period: 1day
# Year min: 2010
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:53:02
# Spline RMSE gcc_mean: 0.00499
# Spline RMSE gcc_50: 0.00475
# Spline RMSE gcc_75: 0.00409
# Spline RMSE gcc_90: 0.00424
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
mammothcave,DB,4000,rising,gcc_90,2011-04-01,2011-04-06,2011-04-13,2011-03-31,2011-04-05,2011-04-11,2011-04-03,2011-04-08,2011-04-14,0.33903,0.35262,0.38674,0.32976,0.43783
mammothcave,DB,4000,rising,gcc_90,2012-03-17,2012-03-22,2012-03-29,2012-03-16,2012-03-21,2012-03-28,2012-03-19,2012-03-24,2012-03-30,0.34013,0.35341,0.38203,0.33159,0.43146
mammothcave,DB,4000,rising,gcc_90,2013-04-09,2013-04-13,2013-04-19,2013-04-08,2013-04-12,2013-04-17,2013-04-11,2013-04-14,2013-04-20,0.33871,0.35566,0.38652,0.32953,0.43559
mammothcave,DB,4000,rising,gcc_90,2014-04-09,2014-04-16,2014-04-24,2014-04-08,2014-04-15,2014-04-23,2014-04-11,2014-04-17,2014-04-25,0.33875,0.35486,0.38144,0.32979,0.4329
mammothcave,DB,4000,rising,gcc_90,2015-04-04,2015-04-08,2015-04-13,2015-04-03,2015-04-07,2015-04-12,2015-04-05,2015-04-09,2015-04-14,0.34019,0.35625,0.38261,0.33048,0.43465
mammothcave,DB,4000,rising,gcc_90,2016-03-29,2016-04-11,2016-04-18,2016-03-28,2016-04-10,2016-04-17,2016-04-01,2016-04-12,2016-04-19,0.34096,0.3568,0.38348,0.33144,0.43418
mammothcave,DB,4000,rising,gcc_90,2017-03-30,2017-04-06,2017-04-13,2017-03-29,2017-04-05,2017-04-12,2017-04-01,2017-04-07,2017-04-14,0.33956,0.35398,0.38045,0.33088,0.42557
mammothcave,DB,4000,rising,gcc_90,2018-04-11,2018-04-18,2018-04-27,2018-04-09,2018-04-17,2018-04-25,2018-04-13,2018-04-19,2018-04-28,0.33766,0.35198,0.37772,0.32887,0.42162
mammothcave,DB,4000,rising,gcc_75,2011-04-01,2011-04-06,2011-04-13,2011-03-31,2011-04-05,2011-04-11,2011-04-03,2011-04-08,2011-04-14,0.33806,0.35113,0.38432,0.32825,0.43559
mammothcave,DB,4000,rising,gcc_75,2012-03-17,2012-03-23,2012-03-30,2012-03-16,2012-03-22,2012-03-28,2012-03-19,2012-03-24,2012-03-31,0.33883,0.35434,0.38323,0.33024,0.42896
mammothcave,DB,4000,rising,gcc_75,2013-04-09,2013-04-13,2013-04-19,2013-04-08,2013-04-12,2013-04-18,2013-04-11,2013-04-14,2013-04-20,0.33762,0.35379,0.38368,0.32862,0.43338
mammothcave,DB,4000,rising,gcc_75,2014-04-10,2014-04-16,2014-04-25,2014-04-09,2014-04-15,2014-04-23,2014-04-12,2014-04-18,2014-04-26,0.33878,0.35282,0.38259,0.32905,0.43115
mammothcave,DB,4000,rising,gcc_75,2015-04-04,2015-04-08,2015-04-14,2015-04-03,2015-04-07,2015-04-13,2015-04-06,2015-04-10,2015-04-15,0.33836,0.35305,0.38411,0.32976,0.43231
mammothcave,DB,4000,rising,gcc_75,2016-04-01,2016-04-12,2016-04-19,2016-03-30,2016-04-11,2016-04-17,2016-04-03,2016-04-13,2016-04-20,0.34304,0.3575,0.38614,0.33336,0.43232
mammothcave,DB,4000,rising,gcc_75,2017-03-31,2017-04-06,2017-04-13,2017-03-30,2017-04-05,2017-04-12,2017-04-02,2017-04-08,2017-04-14,0.33884,0.35176,0.37763,0.32988,0.42326
mammothcave,DB,4000,rising,gcc_75,2018-04-11,2018-04-17,2018-04-27,2018-04-09,2018-04-16,2018-04-25,2018-04-13,2018-04-19,2018-04-28,0.33675,0.34832,0.37626,0.32756,0.41956
mammothcave,DB,4000,rising,gcc_50,2011-04-01,2011-04-06,2011-04-13,2011-03-30,2011-04-05,2011-04-11,2011-04-03,2011-04-08,2011-04-14,0.33718,0.3492,0.38048,0.32721,0.42942
mammothcave,DB,4000,rising,gcc_50,2012-03-18,2012-03-23,2012-03-30,2012-03-16,2012-03-22,2012-03-29,2012-03-19,2012-03-25,2012-03-31,0.33876,0.35125,0.37969,0.32903,0.42687
mammothcave,DB,4000,rising,gcc_50,2013-04-09,2013-04-13,2013-04-19,2013-04-08,2013-04-12,2013-04-18,2013-04-11,2013-04-14,2013-04-20,0.33639,0.35204,0.38087,0.3274,0.43049
mammothcave,DB,4000,rising,gcc_50,2014-04-10,2014-04-17,2014-04-25,2014-04-09,2014-04-16,2014-04-24,2014-04-12,2014-04-18,2014-04-26,0.33731,0.35343,0.37928,0.32851,0.42824
mammothcave,DB,4000,rising,gcc_50,2015-04-04,2015-04-08,2015-04-14,2015-04-03,2015-04-07,2015-04-13,2015-04-06,2015-04-10,2015-04-15,0.33661,0.35022,0.37969,0.32868,0.42953
mammothcave,DB,4000,rising,gcc_50,2016-04-01,2016-04-12,2016-04-19,2016-03-29,2016-04-11,2016-04-18,2016-04-04,2016-04-14,2016-04-20,0.34223,0.35518,0.38339,0.33261,0.42932
mammothcave,DB,4000,rising,gcc_50,2017-03-31,2017-04-06,2017-04-13,2017-03-30,2017-04-05,2017-04-12,2017-04-02,2017-04-08,2017-04-14,0.33705,0.34946,0.37552,0.32868,0.42153
mammothcave,DB,4000,rising,gcc_50,2018-04-11,2018-04-18,2018-04-27,2018-04-09,2018-04-17,2018-04-25,2018-04-13,2018-04-19,2018-04-28,0.3356,0.34893,0.37338,0.32693,0.41687
mammothcave,DB,4000,rising,gcc_mean,2011-03-31,2011-04-06,2011-04-13,2011-03-29,2011-04-05,2011-04-11,2011-04-03,2011-04-08,2011-04-14,0.33596,0.3493,0.3804,0.32712,0.426
mammothcave,DB,4000,rising,gcc_mean,2012-03-17,2012-03-23,2012-03-30,2012-03-16,2012-03-22,2012-03-28,2012-03-19,2012-03-24,2012-03-31,0.33702,0.35161,0.37897,0.32882,0.42305
mammothcave,DB,4000,rising,gcc_mean,2013-04-09,2013-04-12,2013-04-19,2013-04-08,2013-04-11,2013-04-17,2013-04-10,2013-04-14,2013-04-20,0.33633,0.34732,0.38052,0.32646,0.42764
mammothcave,DB,4000,rising,gcc_mean,2014-04-10,2014-04-16,2014-04-25,2014-04-08,2014-04-15,2014-04-24,2014-04-12,2014-04-18,2014-04-26,0.33756,0.35096,0.37843,0.32838,0.42676
mammothcave,DB,4000,rising,gcc_mean,2015-04-04,2015-04-08,2015-04-14,2015-04-03,2015-04-07,2015-04-13,2015-04-06,2015-04-10,2015-04-15,0.337,0.35097,0.37961,0.32837,0.42659
mammothcave,DB,4000,rising,gcc_mean,2016-03-31,2016-04-12,2016-04-19,2016-03-29,2016-04-11,2016-04-17,2016-04-04,2016-04-13,2016-04-20,0.34092,0.35562,0.38284,0.3325,0.42579
mammothcave,DB,4000,rising,gcc_mean,2017-03-30,2017-04-06,2017-04-13,2017-03-29,2017-04-05,2017-04-11,2017-04-02,2017-04-08,2017-04-14,0.33628,0.3502,0.37567,0.3286,0.41701
