#
# Transition date estimate for manilacotton
#
# Site: manilacotton
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:52:53
# Spline RMSE gcc_mean: 0.00238
# Spline RMSE gcc_50: 0.00266
# Spline RMSE gcc_75: 0.00284
# Spline RMSE gcc_90: 0.00291
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
manilacotton,AG,1000,rising,gcc_90,2017-04-05,2017-04-13,2017-04-23,2017-04-01,2017-04-12,2017-04-22,2017-04-09,2017-04-15,2017-04-24,0.34663,0.35899,0.38269,0.33927,0.42124
manilacotton,AG,1000,rising,gcc_90,2018-05-12,2018-06-07,2018-06-16,2018-05-09,2018-06-05,2018-06-14,2018-05-15,2018-06-10,2018-06-17,0.34891,0.35876,0.37882,0.3422,0.41434
manilacotton,AG,1000,rising,gcc_75,2017-04-05,2017-04-13,2017-04-22,2017-03-31,2017-04-12,2017-04-21,2017-04-09,2017-04-15,2017-04-24,0.34559,0.35794,0.37819,0.33812,0.41767
manilacotton,AG,1000,rising,gcc_75,2018-05-12,2018-06-07,2018-06-16,2018-05-10,2018-06-05,2018-06-14,2018-05-15,2018-06-10,2018-06-17,0.34744,0.35792,0.37702,0.34121,0.41203
manilacotton,AG,1000,rising,gcc_50,2017-04-04,2017-04-12,2017-04-22,2017-03-29,2017-04-11,2017-04-21,2017-04-08,2017-04-14,2017-04-23,0.3438,0.35484,0.3761,0.33641,0.41321
manilacotton,AG,1000,rising,gcc_50,2018-05-11,2018-06-07,2018-06-16,2018-05-09,2018-06-05,2018-06-14,2018-05-14,2018-06-09,2018-06-17,0.34526,0.3563,0.37437,0.33946,0.40856
manilacotton,AG,1000,rising,gcc_mean,2017-04-04,2017-04-12,2017-04-22,2017-03-29,2017-04-11,2017-04-21,2017-04-08,2017-04-14,2017-04-23,0.34395,0.35468,0.37586,0.33629,0.41307
manilacotton,AG,1000,rising,gcc_mean,2018-05-11,2018-06-06,2018-06-16,2018-05-08,2018-06-04,2018-06-14,2018-05-14,2018-06-09,2018-06-17,0.34529,0.3551,0.37483,0.33876,0.40842
manilacotton,AG,1000,falling,gcc_90,2018-09-20,2018-09-14,2018-08-29,2018-09-23,2018-09-16,2018-08-30,2018-09-17,2018-09-11,2018-08-12,0.35093,0.36123,0.37932,0.34507,0.41265
manilacotton,AG,1000,falling,gcc_90,2017-10-12,2017-10-06,2017-09-26,2017-10-14,2017-10-07,2017-09-28,2017-10-09,2017-10-03,2017-09-23,0.34724,0.35804,0.3784,0.34138,0.41539
manilacotton,AG,1000,falling,gcc_90,2016-09-28,2016-09-24,2016-09-19,2016-10-01,2016-09-25,2016-09-20,2016-09-27,2016-09-22,2016-09-18,0.34646,0.35846,0.37907,0.33859,0.41927
manilacotton,AG,1000,falling,gcc_75,2018-09-20,2018-09-14,2018-08-26,2018-09-22,2018-09-16,2018-08-30,2018-09-17,2018-09-12,2018-08-12,0.34935,0.35984,0.3772,0.34391,0.40998
manilacotton,AG,1000,falling,gcc_75,2017-10-12,2017-10-06,2017-09-26,2017-10-14,2017-10-07,2017-09-29,2017-10-09,2017-10-03,2017-09-24,0.34638,0.35665,0.37719,0.34026,0.41261
manilacotton,AG,1000,falling,gcc_75,2016-09-29,2016-09-24,2016-09-18,2016-10-01,2016-09-25,2016-09-20,2016-09-28,2016-09-22,2016-09-17,0.34346,0.3564,0.37941,0.337,0.41643
manilacotton,AG,1000,falling,gcc_50,2018-09-20,2018-09-14,2018-08-28,2018-09-23,2018-09-16,2018-08-30,2018-09-17,2018-09-12,2018-08-12,0.34786,0.35791,0.37476,0.34184,0.40728
manilacotton,AG,1000,falling,gcc_50,2017-10-11,2017-10-05,2017-09-26,2017-10-14,2017-10-07,2017-09-29,2017-10-09,2017-10-03,2017-09-24,0.3456,0.35585,0.37561,0.33863,0.4096
manilacotton,AG,1000,falling,gcc_50,2016-09-29,2016-09-24,2016-09-17,2016-10-02,2016-09-25,2016-09-19,2016-09-28,2016-09-22,2016-09-16,0.34216,0.35238,0.37592,0.33446,0.41205
manilacotton,AG,1000,falling,gcc_mean,2018-09-20,2018-09-14,2018-08-29,2018-09-24,2018-09-16,2018-08-30,2018-09-18,2018-09-12,2018-08-12,0.34794,0.35753,0.37485,0.3417,0.40685
manilacotton,AG,1000,falling,gcc_mean,2017-10-12,2017-10-05,2017-09-26,2017-10-14,2017-10-07,2017-09-29,2017-10-09,2017-10-03,2017-09-25,0.34408,0.35573,0.37535,0.3382,0.40947
manilacotton,AG,1000,falling,gcc_mean,2016-09-30,2016-09-24,2016-09-18,2016-10-02,2016-09-25,2016-09-19,2016-09-29,2016-09-22,2016-09-17,0.34142,0.3532,0.37398,0.33432,0.41274
