#
# Transition date estimate for marcell
#
# Site: marcell
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:53:15
# Spline RMSE gcc_mean: 0.0022
# Spline RMSE gcc_50: 0.00238
# Spline RMSE gcc_75: 0.0021
# Spline RMSE gcc_90: 0.0021
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
marcell,DB,1000,rising,gcc_90,2015-05-06,2015-05-16,2015-05-22,2015-05-02,2015-05-15,2015-05-21,2015-05-11,2015-05-18,2015-05-23,0.33634,0.34476,0.36355,0.33031,0.39391
marcell,DB,1000,rising,gcc_90,2016-05-06,2016-05-13,2016-05-19,2016-05-03,2016-05-12,2016-05-18,2016-05-10,2016-05-15,2016-05-20,0.33507,0.34401,0.36271,0.32914,0.3942
marcell,DB,1000,rising,gcc_90,2017-05-11,2017-05-18,2017-05-25,2017-05-09,2017-05-17,2017-05-23,2017-05-14,2017-05-19,2017-05-26,0.33493,0.34524,0.36564,0.32877,0.39633
marcell,DB,1000,rising,gcc_90,2018-05-09,2018-05-14,2018-05-20,2018-05-07,2018-05-13,2018-05-18,2018-05-12,2018-05-15,2018-05-21,0.33283,0.34301,0.36401,0.32706,0.39371
marcell,DB,1000,rising,gcc_75,2015-05-06,2015-05-16,2015-05-22,2015-05-02,2015-05-15,2015-05-21,2015-05-12,2015-05-18,2015-05-23,0.33586,0.34377,0.36201,0.33004,0.39258
marcell,DB,1000,rising,gcc_75,2016-05-06,2016-05-13,2016-05-19,2016-05-03,2016-05-12,2016-05-18,2016-05-10,2016-05-15,2016-05-20,0.33481,0.34317,0.36134,0.3288,0.39254
marcell,DB,1000,rising,gcc_75,2017-05-11,2017-05-18,2017-05-24,2017-05-09,2017-05-17,2017-05-23,2017-05-14,2017-05-20,2017-05-25,0.33445,0.34456,0.36148,0.32856,0.39439
marcell,DB,1000,rising,gcc_75,2018-05-09,2018-05-14,2018-05-20,2018-05-07,2018-05-13,2018-05-18,2018-05-12,2018-05-15,2018-05-21,0.33234,0.3424,0.36313,0.32649,0.39253
marcell,DB,1000,rising,gcc_50,2015-05-06,2015-05-17,2015-05-23,2015-05-02,2015-05-16,2015-05-21,2015-05-13,2015-05-19,2015-05-24,0.33506,0.34384,0.36242,0.32945,0.39033
marcell,DB,1000,rising,gcc_50,2016-05-05,2016-05-13,2016-05-19,2016-05-02,2016-05-12,2016-05-18,2016-05-10,2016-05-16,2016-05-20,0.33357,0.34178,0.35904,0.32808,0.38965
marcell,DB,1000,rising,gcc_50,2017-05-11,2017-05-18,2017-05-24,2017-05-08,2017-05-17,2017-05-23,2017-05-15,2017-05-20,2017-05-25,0.33363,0.34342,0.36014,0.32805,0.39119
marcell,DB,1000,rising,gcc_50,2018-05-09,2018-05-14,2018-05-20,2018-05-06,2018-05-13,2018-05-18,2018-05-12,2018-05-15,2018-05-21,0.33152,0.34139,0.36165,0.32557,0.39057
marcell,DB,1000,rising,gcc_mean,2015-05-06,2015-05-17,2015-05-23,2015-05-02,2015-05-16,2015-05-21,2015-05-12,2015-05-19,2015-05-24,0.33523,0.34437,0.36284,0.32944,0.39136
marcell,DB,1000,rising,gcc_mean,2016-05-06,2016-05-13,2016-05-19,2016-05-03,2016-05-12,2016-05-18,2016-05-10,2016-05-15,2016-05-20,0.33408,0.3422,0.35954,0.32805,0.38954
marcell,DB,1000,rising,gcc_mean,2017-05-11,2017-05-18,2017-05-25,2017-05-08,2017-05-17,2017-05-23,2017-05-14,2017-05-20,2017-05-26,0.33377,0.34319,0.36248,0.32762,0.39163
marcell,DB,1000,rising,gcc_mean,2018-05-09,2018-05-14,2018-05-20,2018-05-06,2018-05-13,2018-05-18,2018-05-12,2018-05-16,2018-05-21,0.33139,0.34094,0.36067,0.32568,0.38958
marcell,DB,1000,falling,gcc_90,2018-10-12,2018-10-05,2018-09-27,2018-10-14,2018-10-06,2018-09-29,2018-10-09,2018-10-03,2018-09-26,0.33326,0.34231,0.35811,0.32801,0.38798
marcell,DB,1000,falling,gcc_90,2017-10-10,2017-10-03,2017-09-20,2017-10-13,2017-10-04,2017-09-23,2017-10-06,2017-09-30,2017-09-19,0.33386,0.34197,0.35926,0.32835,0.38829
marcell,DB,1000,falling,gcc_90,2016-10-08,2016-10-03,2016-09-27,2016-10-09,2016-10-04,2016-09-29,2016-10-05,2016-10-01,2016-09-26,0.3333,0.34254,0.36042,0.32832,0.39041
marcell,DB,1000,falling,gcc_90,2015-10-08,2015-10-04,2015-09-27,2015-10-09,2015-10-05,2015-09-29,2015-10-06,2015-10-03,2015-09-26,0.33282,0.34356,0.36138,0.32834,0.39077
marcell,DB,1000,falling,gcc_90,2014-10-16,2014-10-07,2014-09-21,2014-10-19,2014-10-10,2014-09-23,2014-10-13,2014-09-28,2014-09-20,0.33435,0.3442,0.36162,0.32818,0.39256
marcell,DB,1000,falling,gcc_75,2018-10-12,2018-10-05,2018-09-27,2018-10-15,2018-10-07,2018-09-29,2018-10-09,2018-10-03,2018-09-26,0.33275,0.34186,0.35755,0.32709,0.38687
marcell,DB,1000,falling,gcc_75,2017-10-09,2017-10-02,2017-09-20,2017-10-13,2017-10-04,2017-09-23,2017-10-06,2017-09-30,2017-09-19,0.33391,0.3425,0.35839,0.32822,0.38672
marcell,DB,1000,falling,gcc_75,2016-10-08,2016-10-03,2016-09-27,2016-10-10,2016-10-04,2016-09-29,2016-10-06,2016-10-02,2016-09-26,0.33268,0.34189,0.3598,0.32711,0.38911
marcell,DB,1000,falling,gcc_75,2015-10-07,2015-10-04,2015-09-27,2015-10-09,2015-10-05,2015-09-29,2015-10-06,2015-10-02,2015-09-26,0.33375,0.34236,0.36051,0.32759,0.38995
marcell,DB,1000,falling,gcc_75,2014-10-16,2014-10-04,2014-09-21,2014-10-19,2014-10-10,2014-09-23,2014-10-13,2014-09-28,2014-09-20,0.3338,0.34374,0.36063,0.32788,0.39176
marcell,DB,1000,falling,gcc_50,2018-10-13,2018-10-06,2018-09-27,2018-10-17,2018-10-07,2018-09-30,2018-10-10,2018-10-03,2018-09-26,0.33103,0.33958,0.35661,0.32575,0.38502
marcell,DB,1000,falling,gcc_50,2017-10-08,2017-10-02,2017-09-20,2017-10-12,2017-10-03,2017-09-23,2017-10-05,2017-09-29,2017-09-18,0.33345,0.34085,0.35695,0.32819,0.38431
marcell,DB,1000,falling,gcc_50,2016-10-08,2016-10-03,2016-09-28,2016-10-10,2016-10-04,2016-09-29,2016-10-06,2016-10-02,2016-09-26,0.33164,0.3408,0.3567,0.32609,0.38718
marcell,DB,1000,falling,gcc_50,2015-10-07,2015-10-04,2015-09-27,2015-10-09,2015-10-05,2015-09-29,2015-10-05,2015-10-02,2015-09-26,0.33195,0.34035,0.35907,0.3263,0.38857
marcell,DB,1000,falling,gcc_50,2014-10-16,2014-10-03,2014-09-21,2014-10-20,2014-10-10,2014-09-22,2014-10-12,2014-09-27,2014-09-20,0.33288,0.34291,0.35899,0.3273,0.39047
marcell,DB,1000,falling,gcc_mean,2018-10-13,2018-10-06,2018-09-27,2018-10-16,2018-10-07,2018-09-29,2018-10-10,2018-10-03,2018-09-26,0.33117,0.33946,0.3567,0.32591,0.38571
marcell,DB,1000,falling,gcc_mean,2017-10-10,2017-10-02,2017-09-21,2017-10-20,2017-10-04,2017-09-24,2017-10-06,2017-09-30,2017-09-19,0.33259,0.3412,0.35604,0.32723,0.38349
marcell,DB,1000,falling,gcc_mean,2016-10-07,2016-10-03,2016-09-27,2016-10-09,2016-10-04,2016-09-29,2016-10-05,2016-10-01,2016-09-26,0.33218,0.33971,0.35817,0.32625,0.38686
marcell,DB,1000,falling,gcc_mean,2015-10-07,2015-10-04,2015-09-27,2015-10-08,2015-10-05,2015-09-29,2015-10-05,2015-10-02,2015-09-26,0.33174,0.34037,0.35933,0.32634,0.38795
marcell,DB,1000,falling,gcc_mean,2014-10-16,2014-10-07,2014-09-21,2014-10-22,2014-10-10,2014-09-23,2014-10-13,2014-09-28,2014-09-20,0.3332,0.34272,0.35963,0.32699,0.39077
