#
# Transition date estimate for marena
#
# Site: marena
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:54:09
# Spline RMSE gcc_mean: 0.00284
# Spline RMSE gcc_50: 0.00286
# Spline RMSE gcc_75: 0.00295
# Spline RMSE gcc_90: 0.00326
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
marena,GR,1000,rising,gcc_90,2013-04-03,2013-04-17,2013-04-30,2013-03-30,2013-04-12,2013-04-28,2013-04-06,2013-04-20,2013-05-01,0.31564,0.32978,0.3547,0.30699,0.39844
marena,GR,1000,rising,gcc_90,2014-04-11,2014-04-27,2014-06-03,2014-04-07,2014-04-24,2014-06-01,2014-04-17,2014-05-02,2014-06-04,0.31075,0.32313,0.34697,0.30247,0.38594
marena,GR,1000,rising,gcc_90,2015-03-24,2015-03-30,2015-04-09,2015-03-22,2015-03-29,2015-04-07,2015-03-26,2015-04-01,2015-04-10,0.31166,0.32542,0.35201,0.30182,0.4006
marena,GR,1000,rising,gcc_90,2016-03-12,2016-04-01,2016-04-16,2016-03-09,2016-03-30,2016-04-14,2016-03-16,2016-04-03,2016-04-17,0.31057,0.32519,0.35251,0.3009,0.39835
marena,GR,1000,rising,gcc_90,2017-03-23,2017-04-04,2017-04-14,2017-03-20,2017-04-02,2017-04-13,2017-03-27,2017-04-07,2017-04-15,0.30787,0.3206,0.34391,0.29992,0.3845
marena,GR,1000,rising,gcc_90,2018-04-14,2018-04-21,2018-04-30,2018-04-13,2018-04-20,2018-04-28,2018-04-16,2018-04-23,2018-05-01,0.31325,0.32714,0.35502,0.30454,0.39811
marena,GR,1000,rising,gcc_75,2013-04-04,2013-04-18,2013-05-01,2013-04-02,2013-04-14,2013-04-29,2013-04-07,2013-04-21,2013-05-02,0.3162,0.33001,0.35451,0.30816,0.39744
marena,GR,1000,rising,gcc_75,2014-04-10,2014-04-26,2014-06-03,2014-04-06,2014-04-24,2014-06-01,2014-04-15,2014-04-30,2014-06-04,0.30971,0.32172,0.34507,0.30148,0.38422
marena,GR,1000,rising,gcc_75,2015-03-23,2015-03-30,2015-04-10,2015-03-22,2015-03-29,2015-04-08,2015-03-25,2015-04-01,2015-04-11,0.30885,0.3244,0.35271,0.30063,0.40008
marena,GR,1000,rising,gcc_75,2016-03-12,2016-03-31,2016-04-16,2016-03-09,2016-03-30,2016-04-14,2016-03-15,2016-04-03,2016-04-17,0.30951,0.32318,0.35112,0.29979,0.39733
marena,GR,1000,rising,gcc_75,2017-03-23,2017-04-04,2017-04-14,2017-03-21,2017-04-02,2017-04-13,2017-03-27,2017-04-06,2017-04-15,0.30715,0.32003,0.34263,0.2994,0.38364
marena,GR,1000,rising,gcc_75,2018-04-14,2018-04-21,2018-04-30,2018-04-13,2018-04-20,2018-04-28,2018-04-16,2018-04-23,2018-05-01,0.31243,0.32583,0.35199,0.3036,0.3954
