#
# Transition date estimate for mayberry
#
# Site: mayberry
# Veg Type: WL
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2011
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:55:16
# Spline RMSE gcc_mean: 0.00238
# Spline RMSE gcc_50: 0.00259
# Spline RMSE gcc_75: 0.00238
# Spline RMSE gcc_90: 0.00242
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
mayberry,WL,1000,rising,gcc_90,2011-07-07,2011-07-16,2011-07-30,2011-07-05,2011-07-15,2011-07-29,2011-07-09,2011-07-18,2011-07-31,0.34339,0.35534,0.37856,0.33502,0.42106
mayberry,WL,1000,rising,gcc_90,2012-03-16,2012-03-25,2012-04-05,2012-03-14,2012-03-24,2012-04-03,2012-03-19,2012-03-27,2012-04-06,0.35802,0.3684,0.38627,0.35154,0.41984
mayberry,WL,1000,rising,gcc_90,2013-04-16,2013-04-22,2013-05-09,2013-04-14,2013-04-19,2013-05-02,2013-04-19,2013-04-28,2013-05-13,0.34511,0.34889,0.35456,0.34346,0.3654
mayberry,WL,1000,rising,gcc_90,2014-03-19,2014-03-26,2014-04-08,2014-03-17,2014-03-24,2014-04-05,2014-03-22,2014-03-29,2014-04-10,0.34013,0.3454,0.35445,0.33689,0.37146
mayberry,WL,1000,rising,gcc_90,2015-04-02,2015-04-14,2015-05-23,2015-03-30,2015-04-10,2015-05-10,2015-04-05,2015-04-18,2015-06-01,0.33986,0.34551,0.35478,0.33649,0.37302
mayberry,WL,1000,rising,gcc_90,2016-03-14,2016-03-22,2016-04-06,2016-03-09,2016-03-20,2016-04-04,2016-03-17,2016-03-26,2016-04-07,0.33676,0.34152,0.35137,0.33335,0.36799
mayberry,WL,1000,rising,gcc_90,2017-03-13,2017-03-18,2017-03-27,2017-03-12,2017-03-17,2017-03-25,2017-03-15,2017-03-20,2017-03-28,0.34023,0.35184,0.37541,0.3339,0.41432
mayberry,WL,1000,rising,gcc_90,2017-08-01,2017-08-04,2017-08-14,2017-07-31,2017-08-03,2017-08-11,2017-08-03,2017-08-07,2017-08-16,0.36622,0.37314,0.38683,0.3622,0.41111
mayberry,WL,1000,rising,gcc_90,2018-03-28,2018-04-07,2018-04-24,2018-03-25,2018-04-06,2018-04-21,2018-03-31,2018-04-10,2018-04-25,0.34182,0.34953,0.36533,0.33656,0.39242
mayberry,WL,1000,rising,gcc_75,2011-07-08,2011-07-18,2011-07-31,2011-07-07,2011-07-17,2011-07-29,2011-07-11,2011-07-20,2011-08-01,0.34211,0.35437,0.37573,0.335,0.41468
mayberry,WL,1000,rising,gcc_75,2012-03-17,2012-03-25,2012-04-06,2012-03-15,2012-03-24,2012-04-04,2012-03-19,2012-03-27,2012-04-07,0.35786,0.3673,0.38612,0.35125,0.41962
mayberry,WL,1000,rising,gcc_75,2013-04-16,2013-04-22,2013-05-08,2013-04-14,2013-04-19,2013-05-02,2013-04-19,2013-04-29,2013-05-12,0.34428,0.34775,0.3537,0.34242,0.36447
mayberry,WL,1000,rising,gcc_75,2014-03-19,2014-03-25,2014-04-06,2014-03-16,2014-03-24,2014-04-03,2014-03-22,2014-03-28,2014-04-07,0.33936,0.34367,0.35217,0.33635,0.3669
mayberry,WL,1000,rising,gcc_75,2015-04-02,2015-04-14,2015-05-18,2015-03-30,2015-04-11,2015-05-09,2015-04-05,2015-04-18,2015-06-05,0.33914,0.34423,0.35353,0.33557,0.37131
mayberry,WL,1000,rising,gcc_75,2016-03-14,2016-03-23,2016-04-06,2016-03-11,2016-03-21,2016-04-04,2016-03-18,2016-03-27,2016-04-07,0.33574,0.34074,0.34965,0.33268,0.36549
