#
# Transition date estimate for mead1
#
# Site: mead1
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:55:30
# Spline RMSE gcc_mean: 0.00336
# Spline RMSE gcc_50: 0.00351
# Spline RMSE gcc_75: 0.00388
# Spline RMSE gcc_90: 0.00427
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
mead1,AG,1000,rising,gcc_90,2017-05-14,2017-05-26,2017-06-01,2017-05-13,2017-05-25,2017-05-30,2017-05-17,2017-05-28,2017-06-02,0.34772,0.3636,0.39235,0.34008,0.43621
mead1,AG,1000,rising,gcc_90,2018-05-20,2018-05-25,2018-05-31,2018-05-19,2018-05-24,2018-05-29,2018-05-23,2018-05-26,2018-06-01,0.34937,0.36321,0.39186,0.34173,0.43596
mead1,AG,1000,rising,gcc_75,2017-05-16,2017-05-26,2017-06-01,2017-05-14,2017-05-25,2017-05-31,2017-05-19,2017-05-28,2017-06-02,0.34871,0.36125,0.38697,0.33952,0.43259
mead1,AG,1000,rising,gcc_75,2018-05-21,2018-05-25,2018-05-31,2018-05-19,2018-05-24,2018-05-29,2018-05-23,2018-05-27,2018-06-01,0.35,0.36069,0.38753,0.34117,0.4296
mead1,AG,1000,rising,gcc_50,2017-05-15,2017-05-26,2017-06-02,2017-05-14,2017-05-25,2017-05-31,2017-05-19,2017-05-28,2017-06-03,0.3464,0.35868,0.38621,0.33892,0.42655
mead1,AG,1000,rising,gcc_50,2018-05-21,2018-05-25,2018-06-01,2018-05-19,2018-05-24,2018-05-30,2018-05-24,2018-05-27,2018-06-02,0.3489,0.35776,0.38747,0.34066,0.42679
mead1,AG,1000,rising,gcc_mean,2017-05-15,2017-05-26,2017-06-01,2017-05-14,2017-05-25,2017-05-31,2017-05-18,2017-05-28,2017-06-02,0.34696,0.35882,0.38321,0.33882,0.4274
mead1,AG,1000,rising,gcc_mean,2018-05-20,2018-05-25,2018-05-31,2018-05-19,2018-05-24,2018-05-30,2018-05-23,2018-05-27,2018-06-01,0.34767,0.35836,0.38465,0.34052,0.42571
mead1,AG,1000,falling,gcc_90,2018-09-14,2018-09-11,2018-09-06,2018-09-16,2018-09-12,2018-09-08,2018-09-12,2018-09-09,2018-09-05,0.35259,0.36326,0.38921,0.34482,0.42907
mead1,AG,1000,falling,gcc_90,2017-09-21,2017-09-17,2017-09-03,2017-09-22,2017-09-18,2017-09-07,2017-09-19,2017-09-15,2017-08-31,0.34948,0.3604,0.38159,0.34196,0.42025
mead1,AG,1000,falling,gcc_90,2016-09-21,2016-09-19,2016-09-14,2016-09-22,2016-09-20,2016-09-16,2016-09-20,2016-09-18,2016-09-13,0.35027,0.36276,0.38913,0.34361,0.43264
mead1,AG,1000,falling,gcc_75,2018-09-14,2018-09-11,2018-09-06,2018-09-16,2018-09-12,2018-09-08,2018-09-12,2018-09-10,2018-09-05,0.35127,0.36208,0.38791,0.34312,0.42493
mead1,AG,1000,falling,gcc_75,2017-09-21,2017-09-17,2017-09-06,2017-09-22,2017-09-18,2017-09-08,2017-09-19,2017-09-15,2017-09-04,0.3477,0.35802,0.37711,0.3414,0.41133
mead1,AG,1000,falling,gcc_75,2016-09-21,2016-09-19,2016-09-14,2016-09-22,2016-09-20,2016-09-16,2016-09-20,2016-09-18,2016-09-13,0.34956,0.36199,0.38713,0.34275,0.42776
mead1,AG,1000,falling,gcc_50,2018-09-15,2018-09-12,2018-09-07,2018-09-16,2018-09-13,2018-09-08,2018-09-13,2018-09-10,2018-09-06,0.34717,0.3566,0.38153,0.34128,0.41965
mead1,AG,1000,falling,gcc_50,2017-09-19,2017-09-13,2017-08-07,2017-09-20,2017-09-14,2017-08-11,2017-09-17,2017-09-10,2017-08-04,0.35156,0.36422,0.38651,0.3451,0.42674
mead1,AG,1000,falling,gcc_50,2016-09-21,2016-09-19,2016-09-14,2016-09-22,2016-09-20,2016-09-16,2016-09-20,2016-09-18,2016-09-13,0.34842,0.36051,0.38339,0.34155,0.42246
mead1,AG,1000,falling,gcc_mean,2018-09-14,2018-09-11,2018-09-07,2018-09-15,2018-09-12,2018-09-08,2018-09-13,2018-09-10,2018-09-06,0.34986,0.361,0.38122,0.34235,0.41938
mead1,AG,1000,falling,gcc_mean,2017-09-20,2017-09-16,2017-09-04,2017-09-21,2017-09-17,2017-09-07,2017-09-18,2017-09-13,2017-09-01,0.34953,0.35933,0.37709,0.34546,0.4072
mead1,AG,1000,falling,gcc_mean,2016-09-21,2016-09-19,2016-09-14,2016-09-22,2016-09-20,2016-09-16,2016-09-20,2016-09-18,2016-09-13,0.34795,0.36007,0.38396,0.34127,0.42194
