#
# ROI color statistics timeseries for mirage
#
# Site: mirage
# Veg Type: EN
# ROI ID Number: 1000
# Lat: 53.798
# Lon: -72.867
# Elev: 384
# UTC Offset: -5
# Resize Flag: False
# Version: 1
# Creation Date: 2018-08-09
# Creation Time: 17:51:57
# Update Date: 2019-01-14
# Update Time: 04:39:09
#
date,local_std_time,doy,filename,solar_elev,exposure,mask_index,gcc,rcc,r_mean,r_std,r_5_qtl,r_10_qtl,r_25_qtl,r_50_qtl,r_75_qtl,r_90_qtl,r_95_qtl,g_mean,g_std,g_5_qtl,g_10_qtl,g_25_qtl,g_50_qtl,g_75_qtl,g_90_qtl,g_95_qtl,b_mean,b_std,b_5_qtl,b_10_qtl,b_25_qtl,b_50_qtl,b_75_qtl,b_90_qtl,b_95_qtl,r_g_correl,g_b_correl,b_r_correl
2016-06-05,12:05:01,157,mirage_2016_06_05_120501.jpg,58.72278,NA,1,0.38985,0.37960,61.65344,24.88809,17,27,45,64,80,92,98,63.31820,25.65164,18,28,46,65,82,95,101,37.44436,19.76118,4,11,23,38,51,62,68,0.99055,0.94144,0.92684
2016-06-05,12:35:01,157,mirage_2016_06_05_123501.jpg,57.71517,NA,1,0.39097,0.37938,59.97946,24.41857,15,26,44,62,77,89,95,61.81150,25.30505,16,27,45,64,80,92,99,36.30810,19.61516,3,10,23,37,50,60,67,0.99020,0.93834,0.92161
2016-06-05,13:05:01,157,mirage_2016_06_05_130501.jpg,55.79191,NA,1,0.39135,0.38080,59.88960,23.65430,17,28,45,62,77,88,94,61.54899,24.55802,17,28,46,63,79,91,98,35.83365,18.97501,3,10,23,36,49,59,65,0.99044,0.93797,0.92387
2016-06-05,13:35:01,157,mirage_2016_06_05_133501.jpg,53.10864,NA,1,0.39271,0.38447,62.91508,24.50558,18,30,47,65,80,92,99,64.26277,25.51406,18,30,48,66,82,95,102,36.46198,19.84910,2,10,23,37,50,61,68,0.99041,0.93625,0.92149
2016-06-05,14:05:01,157,mirage_2016_06_05_140501.jpg,49.83522,NA,1,0.39293,0.38538,67.33413,26.10778,21,33,50,69,85,99,107,68.65340,27.12390,21,33,51,70,87,102,110,38.73602,21.32775,3,10,24,39,53,65,73,0.99070,0.93849,0.92385
2016-06-05,14:34:01,157,mirage_2016_06_05_143401.jpg,46.25512,NA,1,0.39201,0.38017,60.98804,22.26463,23,32,46,62,76,89,95,62.88744,23.36215,23,32,47,64,79,92,99,36.54664,18.15531,7,13,24,36,49,60,66,0.99065,0.93756,0.92562
2016-06-05,15:05:01,157,mirage_2016_06_05_150501.jpg,42.10827,NA,1,0.39685,0.38068,67.74980,26.22912,23,33,50,69,86,101,109,70.62740,27.64088,23,35,52,71,90,105,114,39.59338,21.58638,4,11,24,39,54,67,75,0.99098,0.93804,0.92565
2016-06-05,15:34:01,157,mirage_2016_06_05_153401.jpg,38.02727,NA,1,0.39141,0.37837,67.88375,25.04542,25,34,51,69,85,100,108,70.22471,26.30763,26,35,52,71,89,104,112,41.30425,20.36328,8,15,27,41,55,67,75,0.99131,0.94279,0.93063
2016-06-05,16:05:01,157,mirage_2016_06_05_160501.jpg,33.53385,NA,1,0.38773,0.37638,72.04937,25.68373,29,38,54,73,90,105,113,74.22107,26.83750,30,39,55,75,93,109,118,45.15463,20.68970,12,18,31,45,59,72,79,0.99158,0.94530,0.93437
2016-06-05,16:35:01,157,mirage_2016_06_05_163501.jpg,29.12309,NA,1,0.38776,0.37411,71.41823,26.11509,29,37,52,72,90,105,114,74.02357,27.24979,30,38,54,74,93,109,119,45.45859,20.85748,13,19,30,45,59,72,80,0.99173,0.94710,0.93699
