#
# Transition date estimate for missouriozarks
#
# Site: missouriozarks
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:58:23
# Spline RMSE gcc_mean: 0.00827
# Spline RMSE gcc_50: 0.00875
# Spline RMSE gcc_75: 0.00751
# Spline RMSE gcc_90: 0.00733
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
missouriozarks,EN,1000,rising,gcc_90,2012-03-09,2012-03-12,2012-03-16,2012-03-08,2012-03-11,2012-03-15,2012-03-11,2012-03-14,2012-03-17,0.34798,0.3585,0.37694,0.34386,0.40932
missouriozarks,EN,1000,rising,gcc_90,2013-04-02,2013-04-06,2013-04-13,2013-03-30,2013-04-05,2013-04-11,2013-04-04,2013-04-08,2013-04-15,0.34299,0.35148,0.37097,0.33622,0.40424
missouriozarks,EN,1000,rising,gcc_90,2014-04-03,2014-04-09,2014-04-22,2014-03-30,2014-04-07,2014-04-17,2014-04-06,2014-04-12,2014-04-25,0.34337,0.35238,0.36995,0.3369,0.40254
missouriozarks,EN,1000,rising,gcc_90,2015-03-28,2015-04-03,2015-04-12,2015-03-19,2015-04-01,2015-04-09,2015-04-01,2015-04-05,2015-04-17,0.35598,0.36541,0.38231,0.35038,0.41268
missouriozarks,EN,1000,rising,gcc_90,2016-03-09,2016-03-15,2016-04-19,2016-03-07,2016-03-13,2016-04-05,2016-03-12,2016-03-18,2016-04-21,0.34273,0.35405,0.37293,0.3368,0.40762
missouriozarks,EN,1000,rising,gcc_90,2017-03-17,2017-03-24,2017-04-14,2017-03-12,2017-03-22,2017-03-31,2017-03-20,2017-03-27,2017-04-21,0.34669,0.3562,0.37296,0.34051,0.40498
missouriozarks,EN,1000,rising,gcc_90,2018-04-07,2018-04-14,2018-05-01,2018-04-06,2018-04-11,2018-04-28,2018-04-10,2018-04-23,2018-05-02,0.33146,0.34406,0.36425,0.32649,0.39788
missouriozarks,EN,1000,rising,gcc_75,2012-03-09,2012-03-12,2012-03-16,2012-02-29,2012-03-11,2012-03-14,2012-03-11,2012-03-13,2012-03-17,0.34669,0.35649,0.37413,0.3424,0.40062
missouriozarks,EN,1000,rising,gcc_75,2013-04-02,2013-04-06,2013-04-13,2013-03-31,2013-04-05,2013-04-11,2013-04-05,2013-04-08,2013-04-15,0.34063,0.34932,0.36859,0.33487,0.40016
missouriozarks,EN,1000,rising,gcc_75,2014-04-03,2014-04-09,2014-04-23,2014-03-30,2014-04-08,2014-04-17,2014-04-07,2014-04-12,2014-04-25,0.34104,0.34974,0.36814,0.33546,0.39843
