#
# Transition date estimate for monture
#
# Site: monture
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2001
# Year max: 2010
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:03:03
# Spline RMSE gcc_mean: 0.0032
# Spline RMSE gcc_50: 0.00334
# Spline RMSE gcc_75: 0.00299
# Spline RMSE gcc_90: 0.00303
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
monture,GR,1000,rising,gcc_90,2002-05-12,2002-05-18,2002-05-25,2002-05-11,2002-05-17,2002-05-23,2002-05-14,2002-05-20,2002-05-26,0.34404,0.35652,0.38351,0.33627,0.42316
monture,GR,1000,rising,gcc_90,2003-04-13,2003-04-19,2003-04-27,2003-04-12,2003-04-18,2003-04-26,2003-04-15,2003-04-20,2003-04-28,0.33891,0.3541,0.37731,0.33173,0.42227
monture,GR,1000,rising,gcc_90,2004-04-13,2004-04-30,2004-05-11,2004-04-11,2004-04-29,2004-05-09,2004-04-17,2004-05-02,2004-05-12,0.34421,0.35849,0.38511,0.33526,0.43054
monture,GR,1000,rising,gcc_90,2005-04-09,2005-04-25,2005-05-07,2005-04-07,2005-04-24,2005-05-05,2005-04-13,2005-04-27,2005-05-08,0.34157,0.35702,0.38486,0.33192,0.43304
monture,GR,1000,rising,gcc_90,2006-05-04,2006-05-12,2006-05-20,2006-05-03,2006-05-11,2006-05-19,2006-05-06,2006-05-14,2006-05-21,0.35552,0.36775,0.39459,0.34673,0.43996
monture,GR,1000,rising,gcc_90,2008-05-10,2008-05-18,2008-06-04,2008-05-09,2008-05-17,2008-06-03,2008-05-12,2008-05-20,2008-06-11,0.34779,0.36064,0.38566,0.33904,0.4318
monture,GR,1000,rising,gcc_90,2009-04-21,2009-04-27,2009-05-09,2009-04-20,2009-04-26,2009-05-07,2009-04-23,2009-04-29,2009-05-10,0.3513,0.36348,0.38945,0.34356,0.43086
monture,GR,1000,rising,gcc_90,2010-04-19,2010-05-07,2010-05-16,2010-04-18,2010-05-06,2010-05-15,2010-04-21,2010-05-09,2010-05-17,0.34749,0.36212,0.38648,0.33942,0.4332
monture,GR,1000,rising,gcc_75,2002-05-12,2002-05-18,2002-05-25,2002-05-11,2002-05-17,2002-05-23,2002-05-14,2002-05-20,2002-05-26,0.34353,0.35591,0.38249,0.33583,0.42254
monture,GR,1000,rising,gcc_75,2003-04-13,2003-04-18,2003-04-28,2003-04-12,2003-04-17,2003-04-26,2003-04-15,2003-04-20,2003-04-29,0.339,0.35116,0.37813,0.3315,0.4203
