#
# Transition date estimate for moorefields
#
# Site: moorefields
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:03:17
# Spline RMSE gcc_mean: 0.00481
# Spline RMSE gcc_50: 0.00531
# Spline RMSE gcc_75: 0.00536
# Spline RMSE gcc_90: 0.00541
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
moorefields,AG,1000,rising,gcc_90,2016-10-12,2016-10-15,2016-10-20,2016-10-10,2016-10-13,2016-10-18,2016-10-15,2016-10-18,2016-10-21,0.34331,0.35226,0.37722,0.3381,0.40464
moorefields,AG,1000,rising,gcc_90,2017-04-19,2017-04-26,2017-05-01,2017-04-14,2017-04-24,2017-04-28,2017-04-26,2017-04-28,2017-05-05,0.33968,0.34938,0.36559,0.33413,0.39542
moorefields,AG,1000,rising,gcc_90,2017-08-18,2017-08-22,2017-08-28,2017-08-17,2017-08-21,2017-08-27,2017-08-21,2017-08-24,2017-08-29,0.34777,0.36333,0.39732,0.33802,0.44276
moorefields,AG,1000,rising,gcc_90,2018-03-29,2018-04-11,2018-04-25,2018-03-28,2018-04-10,2018-04-24,2018-03-30,2018-04-14,2018-04-26,0.34588,0.36098,0.4036,0.33391,0.45373
moorefields,AG,1000,rising,gcc_75,2016-10-12,2016-10-16,2016-10-20,2016-10-10,2016-10-13,2016-10-18,2016-10-15,2016-10-18,2016-10-21,0.34267,0.3538,0.37542,0.33761,0.40369
moorefields,AG,1000,rising,gcc_75,2017-04-19,2017-04-25,2017-04-30,2017-04-14,2017-04-23,2017-04-28,2017-04-26,2017-04-28,2017-05-05,0.33905,0.34532,0.36338,0.33348,0.39292
moorefields,AG,1000,rising,gcc_75,2017-10-12,2017-10-16,2017-10-22,2017-10-10,2017-10-14,2017-10-21,2017-10-14,2017-10-20,2017-10-23,0.36069,0.37599,0.40046,0.35483,0.44156
moorefields,AG,1000,rising,gcc_75,2018-03-29,2018-04-11,2018-04-25,2018-03-28,2018-03-30,2018-04-24,2018-03-30,2018-04-14,2018-04-26,0.34456,0.36005,0.40041,0.3335,0.44827
moorefields,AG,1000,rising,gcc_50,2016-10-13,2016-10-16,2016-10-20,2016-10-11,2016-10-14,2016-10-19,2016-10-16,2016-10-19,2016-10-21,0.34394,0.35208,0.37102,0.33836,0.40112
moorefields,AG,1000,rising,gcc_50,2017-04-19,2017-04-25,2017-05-01,2017-04-14,2017-04-23,2017-04-28,2017-04-25,2017-04-28,2017-05-05,0.33859,0.34508,0.36249,0.33299,0.3907
moorefields,AG,1000,rising,gcc_50,2017-10-13,2017-10-19,2017-10-22,2017-10-11,2017-10-15,2017-10-21,2017-10-15,2017-10-21,2017-10-23,0.36095,0.37482,0.39734,0.35493,0.43844
moorefields,AG,1000,rising,gcc_50,2018-03-29,2018-04-11,2018-04-25,2018-03-28,2018-03-30,2018-04-24,2018-03-30,2018-04-14,2018-04-26,0.34136,0.35828,0.39482,0.33305,0.44466
moorefields,AG,1000,rising,gcc_mean,2016-10-13,2016-10-16,2016-10-20,2016-10-11,2016-10-14,2016-10-19,2016-10-16,2016-10-19,2016-10-21,0.34424,0.35229,0.37139,0.33836,0.40074
moorefields,AG,1000,rising,gcc_mean,2017-04-18,2017-04-25,2017-04-30,2017-04-14,2017-04-23,2017-04-28,2017-04-25,2017-04-28,2017-05-05,0.33767,0.34485,0.36156,0.3331,0.38865
moorefields,AG,1000,rising,gcc_mean,2017-10-07,2017-10-12,2017-10-22,2017-10-06,2017-10-10,2017-10-20,2017-10-09,2017-10-15,2017-10-23,0.34334,0.35875,0.39708,0.33612,0.43693
moorefields,AG,1000,rising,gcc_mean,2018-03-29,2018-04-11,2018-04-25,2018-03-28,2018-04-09,2018-04-24,2018-03-30,2018-04-14,2018-04-26,0.342,0.35801,0.39536,0.33304,0.44386
moorefields,AG,1000,falling,gcc_90,2018-01-19,2018-01-18,2018-01-15,2018-01-20,2018-01-19,2018-01-16,2018-01-18,2018-01-16,2018-01-14,0.33293,0.34341,0.38464,0.33397,0.4257
moorefields,AG,1000,falling,gcc_90,2017-06-30,2017-06-29,2017-06-27,2017-07-01,2017-06-30,2017-06-28,2017-06-29,2017-06-27,2017-05-30,0.34042,0.35031,0.37397,0.34676,0.39838
moorefields,AG,1000,falling,gcc_90,2016-12-14,2016-12-12,2016-12-09,2016-12-17,2016-12-13,2016-12-11,2016-12-12,2016-12-11,2016-12-04,0.33884,0.34984,0.37417,0.33422,0.41265
moorefields,AG,1000,falling,gcc_90,2016-09-13,2016-09-11,2016-09-02,2016-09-15,2016-09-12,2016-09-04,2016-09-11,2016-09-10,2016-08-31,0.34796,0.35919,0.38002,0.34161,0.41624
moorefields,AG,1000,falling,gcc_75,2018-01-19,2018-01-18,2018-01-15,2018-01-20,2018-01-19,2018-01-16,2018-01-18,2018-01-16,2018-01-14,0.33266,0.34297,0.38285,0.33375,0.42154
moorefields,AG,1000,falling,gcc_75,2017-09-03,2017-09-02,2017-08-31,2017-09-04,2017-09-03,2017-09-01,2017-09-01,2017-08-31,2017-08-30,0.33246,0.33757,0.37703,0.34203,0.39631
moorefields,AG,1000,falling,gcc_75,2016-12-14,2016-12-12,2016-12-09,2016-12-17,2016-12-13,2016-12-11,2016-12-12,2016-12-11,2016-12-04,0.33808,0.34922,0.37328,0.33378,0.41018
moorefields,AG,1000,falling,gcc_75,2016-09-13,2016-09-11,2016-09-02,2016-09-15,2016-09-12,2016-09-04,2016-09-11,2016-09-09,2016-08-27,0.34682,0.35641,0.3783,0.34094,0.41412
moorefields,AG,1000,falling,gcc_50,2018-01-18,2018-01-17,2018-01-15,2018-01-19,2018-01-18,2018-01-16,2018-01-17,2018-01-16,2018-01-14,0.33637,0.34772,0.37694,0.33351,0.41643
moorefields,AG,1000,falling,gcc_50,2017-09-02,2017-09-01,2017-08-31,2017-09-03,2017-09-02,2017-09-01,2017-08-31,2017-08-31,2017-08-30,0.33346,0.34924,0.36722,0.3407,0.38996
moorefields,AG,1000,falling,gcc_50,2016-12-14,2016-12-13,2016-12-10,2016-12-17,2016-12-14,2016-12-12,2016-12-13,2016-12-11,2016-12-07,0.33967,0.34651,0.3715,0.33337,0.40409
moorefields,AG,1000,falling,gcc_50,2016-09-13,2016-09-11,2016-08-31,2016-09-15,2016-09-12,2016-09-03,2016-09-11,2016-09-09,2016-08-26,0.34504,0.35308,0.37665,0.34052,0.40948
