#
# Transition date estimate for nationalcapital
#
# Site: nationalcapital
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2003
# Year max: 2009
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:05:41
# Spline RMSE gcc_mean: 0.00955
# Spline RMSE gcc_50: 0.00963
# Spline RMSE gcc_75: 0.00954
# Spline RMSE gcc_90: 0.00956
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
nationalcapital,DB,1000,rising,gcc_90,2004-04-05,2004-04-15,2004-04-20,2004-03-30,2004-04-14,2004-04-18,2004-04-12,2004-04-17,2004-04-21,0.34731,0.36287,0.39449,0.3368,0.44604
nationalcapital,DB,1000,rising,gcc_90,2005-04-02,2005-04-11,2005-04-19,2005-03-29,2005-04-09,2005-04-18,2005-04-07,2005-04-14,2005-04-20,0.34392,0.35864,0.38703,0.33416,0.43956
nationalcapital,DB,1000,rising,gcc_90,2006-04-04,2006-04-10,2006-04-15,2006-04-01,2006-04-09,2006-04-14,2006-04-07,2006-04-12,2006-04-16,0.35749,0.37372,0.40874,0.34611,0.46836
nationalcapital,DB,1000,rising,gcc_90,2007-03-29,2007-04-16,2007-04-24,2007-03-27,2007-04-13,2007-04-21,2007-03-31,2007-04-19,2007-04-25,0.36176,0.38062,0.41663,0.35049,0.47195
nationalcapital,DB,1000,rising,gcc_90,2008-04-07,2008-04-13,2008-04-19,2008-03-31,2008-04-12,2008-04-17,2008-04-10,2008-04-15,2008-04-20,0.36784,0.38436,0.41881,0.35662,0.47447
nationalcapital,DB,1000,rising,gcc_90,2009-04-11,2009-04-21,2009-04-27,2009-04-06,2009-04-18,2009-04-23,2009-04-19,2009-04-25,2009-04-29,0.38082,0.39765,0.43624,0.36833,0.49642
nationalcapital,DB,1000,rising,gcc_75,2004-04-05,2004-04-15,2004-04-20,2004-03-30,2004-04-14,2004-04-18,2004-04-12,2004-04-17,2004-04-21,0.34731,0.36287,0.39449,0.3368,0.44604
nationalcapital,DB,1000,rising,gcc_75,2005-04-02,2005-04-11,2005-04-19,2005-03-29,2005-04-09,2005-04-18,2005-04-07,2005-04-14,2005-04-20,0.34392,0.35864,0.38703,0.33416,0.43956
nationalcapital,DB,1000,rising,gcc_75,2006-04-04,2006-04-10,2006-04-15,2006-04-01,2006-04-09,2006-04-14,2006-04-07,2006-04-12,2006-04-16,0.35749,0.37372,0.40874,0.34611,0.46836
nationalcapital,DB,1000,rising,gcc_75,2007-03-29,2007-04-16,2007-04-24,2007-03-27,2007-04-13,2007-04-21,2007-03-31,2007-04-19,2007-04-25,0.36176,0.38062,0.41663,0.35049,0.47195
