#
# Transition date estimate for nationalelkrefuge
#
# Site: nationalelkrefuge
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:05:53
# Spline RMSE gcc_mean: 0.00206
# Spline RMSE gcc_50: 0.00215
# Spline RMSE gcc_75: 0.00202
# Spline RMSE gcc_90: 0.00209
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
nationalelkrefuge,GR,1000,rising,gcc_90,2016-04-11,2016-04-19,2016-05-01,2016-04-10,2016-04-17,2016-04-29,2016-04-15,2016-04-21,2016-05-03,0.33185,0.34483,0.36701,0.3262,0.40599
nationalelkrefuge,GR,1000,rising,gcc_90,2017-04-18,2017-04-28,2017-05-06,2017-04-15,2017-04-27,2017-05-05,2017-04-22,2017-04-30,2017-05-07,0.33927,0.34918,0.36906,0.33224,0.40553
nationalelkrefuge,GR,1000,rising,gcc_90,2018-04-21,2018-04-27,2018-05-07,2018-04-20,2018-04-26,2018-05-06,2018-04-23,2018-04-29,2018-05-08,0.33214,0.34646,0.37172,0.32313,0.41971
nationalelkrefuge,GR,1000,rising,gcc_75,2016-04-12,2016-04-19,2016-05-01,2016-04-11,2016-04-18,2016-04-29,2016-04-14,2016-04-21,2016-05-02,0.33235,0.34363,0.36423,0.32537,0.40187
nationalelkrefuge,GR,1000,rising,gcc_75,2017-04-17,2017-04-28,2017-05-07,2017-04-15,2017-04-27,2017-05-05,2017-04-21,2017-04-30,2017-05-08,0.33775,0.34741,0.36865,0.33153,0.40049
nationalelkrefuge,GR,1000,rising,gcc_75,2018-04-21,2018-04-27,2018-05-07,2018-04-20,2018-04-26,2018-05-05,2018-04-23,2018-04-28,2018-05-08,0.33062,0.34483,0.36952,0.32176,0.41422
nationalelkrefuge,GR,1000,rising,gcc_50,2016-04-12,2016-04-19,2016-05-01,2016-04-11,2016-04-18,2016-04-29,2016-04-14,2016-04-21,2016-05-02,0.33069,0.3414,0.36056,0.32456,0.39465
nationalelkrefuge,GR,1000,rising,gcc_50,2017-04-15,2017-04-27,2017-05-06,2017-04-13,2017-04-25,2017-05-04,2017-04-18,2017-04-29,2017-05-07,0.33468,0.34405,0.36282,0.32922,0.39085
nationalelkrefuge,GR,1000,rising,gcc_50,2018-04-21,2018-04-26,2018-05-06,2018-04-20,2018-04-25,2018-05-04,2018-04-23,2018-04-28,2018-05-07,0.32859,0.33967,0.36369,0.32008,0.40669
nationalelkrefuge,GR,1000,rising,gcc_mean,2016-04-12,2016-04-18,2016-04-30,2016-04-10,2016-04-17,2016-04-28,2016-04-14,2016-04-21,2016-05-01,0.33085,0.33989,0.35926,0.32413,0.39349
nationalelkrefuge,GR,1000,rising,gcc_mean,2017-04-17,2017-04-28,2017-05-06,2017-04-15,2017-04-27,2017-05-04,2017-04-21,2017-04-30,2017-05-07,0.33621,0.34466,0.36199,0.33043,0.39124
nationalelkrefuge,GR,1000,rising,gcc_mean,2018-04-23,2018-04-28,2018-05-07,2018-04-22,2018-04-27,2018-05-05,2018-04-25,2018-04-30,2018-05-08,0.33257,0.3446,0.36518,0.32567,0.4034
nationalelkrefuge,GR,1000,falling,gcc_90,2018-09-01,2018-08-14,2018-07-25,2018-09-05,2018-08-16,2018-07-28,2018-08-28,2018-08-11,2018-07-22,0.33579,0.34888,0.37294,0.32683,0.41868
nationalelkrefuge,GR,1000,falling,gcc_90,2017-09-28,2017-09-20,2017-08-15,2017-09-30,2017-09-22,2017-08-18,2017-09-26,2017-09-17,2017-08-13,0.33274,0.34457,0.36439,0.32524,0.40284
nationalelkrefuge,GR,1000,falling,gcc_90,2016-08-16,2016-07-26,2016-07-11,2016-08-19,2016-07-28,2016-07-13,2016-08-12,2016-07-23,2016-07-09,0.33435,0.34552,0.36629,0.32675,0.40523
nationalelkrefuge,GR,1000,falling,gcc_75,2018-09-03,2018-08-14,2018-07-24,2018-09-07,2018-08-16,2018-07-27,2018-08-30,2018-08-11,2018-07-22,0.3335,0.34685,0.36957,0.32475,0.41378
nationalelkrefuge,GR,1000,falling,gcc_75,2017-09-29,2017-09-21,2017-08-16,2017-09-30,2017-09-22,2017-08-19,2017-09-26,2017-09-18,2017-08-14,0.33021,0.34188,0.36141,0.32421,0.39782
nationalelkrefuge,GR,1000,falling,gcc_75,2016-08-15,2016-07-25,2016-07-09,2016-08-19,2016-07-27,2016-07-12,2016-08-09,2016-07-22,2016-07-08,0.33304,0.34425,0.36431,0.32586,0.40116
nationalelkrefuge,GR,1000,falling,gcc_50,2018-09-07,2018-08-16,2018-07-26,2018-09-11,2018-08-19,2018-07-30,2018-09-02,2018-08-13,2018-07-24,0.33058,0.34267,0.36426,0.32236,0.40456
