#
# Transition date estimate for nevcansnk3a
#
# Site: nevcansnk3a
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:18:59
# Spline RMSE gcc_mean: 0.004
# Spline RMSE gcc_50: 0.00441
# Spline RMSE gcc_75: 0.00398
# Spline RMSE gcc_90: 0.00386
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
nevcansnk3a,EN,1000,rising,gcc_90,2017-04-04,2017-04-09,2017-05-14,2017-03-27,2017-04-06,2017-05-02,2017-04-08,2017-04-30,2017-05-27,0.34245,0.34654,0.35467,0.3398,0.36927
nevcansnk3a,EN,1000,rising,gcc_90,2018-04-01,2018-04-07,2018-05-08,2018-03-30,2018-04-03,2018-05-01,2018-04-05,2018-04-27,2018-05-13,0.3396,0.34472,0.35265,0.33727,0.36763
nevcansnk3a,EN,1000,rising,gcc_75,2017-04-04,2017-04-09,2017-05-13,2017-03-29,2017-04-06,2017-05-01,2017-04-08,2017-04-27,2017-05-27,0.33986,0.34465,0.35266,0.33732,0.36796
nevcansnk3a,EN,1000,rising,gcc_75,2018-04-02,2018-04-22,2018-05-10,2018-03-31,2018-04-04,2018-05-03,2018-04-09,2018-05-02,2018-05-16,0.33911,0.34425,0.35199,0.33732,0.36594
nevcansnk3a,EN,1000,rising,gcc_50,2017-04-05,2017-04-09,2017-05-09,2017-03-31,2017-04-06,2017-04-26,2017-04-09,2017-04-24,2017-05-27,0.33563,0.34039,0.34849,0.33344,0.36344
nevcansnk3a,EN,1000,rising,gcc_50,2018-04-07,2018-05-07,2018-05-18,2018-04-02,2018-04-08,2018-05-12,2018-05-08,2018-05-15,2018-05-24,0.34013,0.34402,0.35055,0.33804,0.36246
nevcansnk3a,EN,1000,rising,gcc_mean,2017-04-05,2017-04-10,2017-05-15,2017-03-06,2017-04-06,2017-04-30,2017-04-10,2017-05-01,2017-05-26,0.33501,0.33939,0.34617,0.33312,0.35912
nevcansnk3a,EN,1000,rising,gcc_mean,2018-04-25,2018-05-08,2018-05-17,2018-04-02,2018-04-26,2018-05-12,2018-05-09,2018-05-14,2018-05-24,0.33889,0.34199,0.34808,0.33674,0.35925
nevcansnk3a,EN,1000,falling,gcc_90,2018-11-09,2018-10-07,2018-09-12,2018-11-26,2018-11-07,2018-09-29,2018-11-01,2018-09-29,2018-09-07,0.34402,0.34795,0.35457,0.34176,0.36697
nevcansnk3a,EN,1000,falling,gcc_90,2017-11-23,2017-10-30,2017-09-20,2017-12-04,2017-11-12,2017-09-26,2017-11-03,2017-09-27,2017-09-15,0.34322,0.34744,0.35512,0.34042,0.36928
nevcansnk3a,EN,1000,falling,gcc_75,2018-10-05,2018-09-30,2018-09-12,2018-10-10,2018-10-04,2018-09-25,2018-10-04,2018-09-25,2018-09-06,0.34286,0.34613,0.35351,0.34037,0.36564
nevcansnk3a,EN,1000,falling,gcc_75,2017-11-23,2017-10-31,2017-09-25,2017-12-04,2017-11-15,2017-10-02,2017-11-04,2017-10-02,2017-09-20,0.34137,0.34582,0.35362,0.33868,0.36778
nevcansnk3a,EN,1000,falling,gcc_50,2018-10-04,2018-09-29,2018-09-12,2018-10-10,2018-10-04,2018-09-26,2018-10-03,2018-09-23,2018-09-06,0.34034,0.34349,0.35036,0.3379,0.36229
nevcansnk3a,EN,1000,falling,gcc_50,2017-11-23,2017-11-02,2017-09-20,2017-12-02,2017-11-21,2017-09-27,2017-11-03,2017-09-25,2017-09-15,0.33802,0.34245,0.34993,0.33558,0.36361
nevcansnk3a,EN,1000,falling,gcc_mean,2018-10-05,2018-09-30,2018-09-11,2018-11-27,2018-10-05,2018-09-26,2018-10-04,2018-09-23,2018-09-01,0.33919,0.34206,0.34849,0.33718,0.35915
nevcansnk3a,EN,1000,falling,gcc_mean,2017-11-25,2017-11-04,2017-09-21,2017-12-07,2017-11-23,2017-09-29,2017-11-05,2017-09-25,2017-09-16,0.33774,0.34143,0.34792,0.33557,0.35947
