#
# Transition date estimate for nevcanspg3a
#
# Site: nevcanspg3a
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:19:26
# Spline RMSE gcc_mean: 0.00249
# Spline RMSE gcc_50: 0.00271
# Spline RMSE gcc_75: 0.00218
# Spline RMSE gcc_90: 0.00231
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
nevcanspg3a,EN,1000,rising,gcc_90,2017-04-11,2017-04-30,2017-05-17,2017-04-05,2017-04-22,2017-05-10,2017-04-25,2017-05-07,2017-05-26,0.36249,0.36582,0.37118,0.36056,0.3816
nevcanspg3a,EN,1000,rising,gcc_90,2018-04-01,2018-04-20,2018-05-05,2018-03-28,2018-04-09,2018-04-30,2018-04-11,2018-04-26,2018-05-10,0.35932,0.36313,0.36941,0.35727,0.38102
nevcanspg3a,EN,1000,rising,gcc_75,2017-04-09,2017-04-25,2017-05-13,2017-04-03,2017-04-12,2017-05-07,2017-04-14,2017-05-02,2017-05-23,0.35942,0.3625,0.36808,0.35738,0.37845
nevcanspg3a,EN,1000,rising,gcc_75,2018-04-01,2018-04-17,2018-05-05,2018-03-28,2018-04-05,2018-04-29,2018-04-06,2018-04-24,2018-05-10,0.35774,0.36129,0.36742,0.3555,0.3788
nevcanspg3a,EN,1000,rising,gcc_50,2017-04-08,2017-04-20,2017-05-13,2017-04-04,2017-04-10,2017-05-04,2017-04-13,2017-05-02,2017-05-24,0.35602,0.35969,0.36531,0.35448,0.37575
nevcanspg3a,EN,1000,rising,gcc_50,2018-04-03,2018-04-25,2018-05-13,2018-03-30,2018-04-06,2018-05-07,2018-04-21,2018-05-06,2018-05-21,0.35698,0.36023,0.36579,0.35526,0.37574
nevcanspg3a,EN,1000,rising,gcc_mean,2017-04-10,2017-04-28,2017-05-15,2017-04-09,2017-04-27,2017-05-14,2017-04-25,2017-05-06,2017-06-02,0.35273,0.3556,0.35979,0.35151,0.36794
nevcanspg3a,EN,1000,falling,gcc_90,2018-11-21,2018-11-06,2018-09-25,2018-11-24,2018-11-13,2018-10-12,2018-11-12,2018-10-30,2018-09-12,0.3576,0.36125,0.36772,0.35529,0.38003
nevcanspg3a,EN,1000,falling,gcc_90,2017-12-02,2017-10-30,2017-09-27,2017-12-07,2017-11-22,2017-10-06,2017-11-18,2017-10-12,2017-09-20,0.35961,0.3635,0.36985,0.35757,0.38162
nevcanspg3a,EN,1000,falling,gcc_90,2016-11-21,2016-11-12,2016-10-04,2016-11-28,2016-11-18,2016-10-11,2016-11-16,2016-11-03,2016-09-28,0.35917,0.36287,0.36918,0.35686,0.38109
nevcanspg3a,EN,1000,falling,gcc_75,2018-11-21,2018-11-05,2018-09-26,2018-11-24,2018-11-12,2018-10-06,2018-11-12,2018-10-29,2018-09-14,0.35649,0.36012,0.36636,0.35435,0.37823
nevcanspg3a,EN,1000,falling,gcc_75,2017-11-26,2017-11-04,2017-09-28,2017-12-03,2017-11-17,2017-10-08,2017-11-15,2017-10-16,2017-09-21,0.35822,0.36167,0.36741,0.35613,0.37864
nevcanspg3a,EN,1000,falling,gcc_75,2016-11-21,2016-11-13,2016-10-03,2016-11-26,2016-11-18,2016-10-10,2016-11-17,2016-11-04,2016-09-28,0.35706,0.36075,0.36699,0.35503,0.37846
nevcanspg3a,EN,1000,falling,gcc_50,2018-11-21,2018-10-10,2018-09-15,2018-11-23,2018-11-18,2018-09-27,2018-11-10,2018-10-09,2018-09-05,0.35483,0.35867,0.36447,0.35315,0.37562
nevcanspg3a,EN,1000,falling,gcc_50,2017-11-25,2017-11-04,2017-09-20,2017-12-07,2017-11-21,2017-10-14,2017-11-08,2017-10-16,2017-09-14,0.35658,0.35967,0.36522,0.35453,0.37536
nevcanspg3a,EN,1000,falling,gcc_50,2016-11-20,2016-11-14,2016-10-04,2016-11-24,2016-11-18,2016-10-24,2016-11-15,2016-11-05,2016-09-25,0.35417,0.35771,0.36382,0.35236,0.37498
nevcanspg3a,EN,1000,falling,gcc_mean,2018-11-25,2018-11-21,2018-10-27,2018-11-30,2018-11-24,2018-11-06,2018-11-24,2018-11-08,2018-09-12,0.3509,0.35337,0.35842,0.34904,0.36778
nevcanspg3a,EN,1000,falling,gcc_mean,2016-11-24,2016-11-18,2016-10-11,2016-12-22,2016-11-22,2016-11-10,2016-11-19,2016-11-13,2016-10-01,0.35141,0.35445,0.35968,0.34944,0.36973
