#
# Transition date estimate for ninemileprairie
#
# Site: ninemileprairie
# Veg Type: DB
# ROI ID Number: 2000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:20:01
# Spline RMSE gcc_mean: 0.00471
# Spline RMSE gcc_50: 0.00513
# Spline RMSE gcc_75: 0.0048
# Spline RMSE gcc_90: 0.0047
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ninemileprairie,DB,2000,rising,gcc_90,2018-05-01,2018-05-07,2018-05-14,2018-04-30,2018-05-06,2018-05-12,2018-05-03,2018-05-08,2018-05-15,0.33504,0.35191,0.38215,0.32549,0.4336
ninemileprairie,DB,2000,rising,gcc_75,2018-05-01,2018-05-07,2018-05-14,2018-04-30,2018-05-06,2018-05-12,2018-05-03,2018-05-08,2018-05-15,0.33361,0.35024,0.37985,0.32472,0.42918
ninemileprairie,DB,2000,rising,gcc_50,2018-05-01,2018-05-06,2018-05-13,2018-04-29,2018-05-05,2018-05-12,2018-05-03,2018-05-08,2018-05-14,0.33245,0.3455,0.37329,0.32295,0.42359
ninemileprairie,DB,2000,rising,gcc_mean,2018-05-01,2018-05-06,2018-05-13,2018-04-29,2018-05-05,2018-05-11,2018-05-03,2018-05-08,2018-05-14,0.33267,0.34588,0.37318,0.32307,0.42048
ninemileprairie,DB,2000,falling,gcc_90,2018-10-21,2018-10-15,2018-09-30,2018-10-22,2018-10-16,2018-10-03,2018-10-19,2018-10-14,2018-09-29,0.33633,0.35234,0.37951,0.32774,0.4294
ninemileprairie,DB,2000,falling,gcc_90,2017-10-24,2017-10-15,2017-09-19,2017-11-28,2017-11-28,2017-09-22,2017-10-13,2017-10-13,2017-09-17,0.33723,0.35446,0.38204,0.3281,0.43503
ninemileprairie,DB,2000,falling,gcc_75,2018-10-21,2018-10-15,2018-09-29,2018-10-22,2018-10-16,2018-10-02,2018-10-19,2018-10-14,2018-09-28,0.33585,0.35149,0.37818,0.32701,0.42628
ninemileprairie,DB,2000,falling,gcc_75,2017-10-24,2017-10-16,2017-09-18,2017-11-28,2017-11-28,2017-09-22,2017-10-13,2017-10-13,2017-09-17,0.33707,0.35068,0.38084,0.32734,0.4323
ninemileprairie,DB,2000,falling,gcc_50,2018-10-21,2018-10-16,2018-09-28,2018-10-22,2018-10-17,2018-09-30,2018-10-19,2018-10-14,2018-09-27,0.33483,0.34715,0.37355,0.32608,0.41982
ninemileprairie,DB,2000,falling,gcc_50,2017-10-25,2017-10-16,2017-09-18,2017-11-28,2017-11-28,2017-09-23,2017-10-13,2017-10-13,2017-09-16,0.33375,0.35104,0.37745,0.3264,0.42649
ninemileprairie,DB,2000,falling,gcc_mean,2018-10-21,2018-10-16,2018-09-28,2018-10-22,2018-10-17,2018-10-01,2018-10-19,2018-10-14,2018-09-27,0.33476,0.34696,0.37245,0.32593,0.41584
ninemileprairie,DB,2000,falling,gcc_mean,2017-10-25,2017-10-16,2017-09-19,2017-11-28,2017-11-28,2017-09-25,2017-10-13,2017-10-13,2017-09-17,0.3334,0.35056,0.37608,0.32634,0.42391
