#
# Transition date estimate for nist
#
# Site: nist
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:20:30
# Spline RMSE gcc_mean: 0.0027
# Spline RMSE gcc_50: 0.00254
# Spline RMSE gcc_75: 0.0026
# Spline RMSE gcc_90: 0.00333
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
nist,DB,1000,rising,gcc_90,2018-04-18,2018-04-24,2018-04-30,2018-04-15,2018-04-23,2018-04-29,2018-04-21,2018-04-26,2018-05-01,0.36241,0.37509,0.3986,0.35472,0.44095
nist,DB,1000,rising,gcc_75,2018-04-18,2018-04-25,2018-05-01,2018-04-15,2018-04-24,2018-04-29,2018-04-21,2018-04-26,2018-05-02,0.36116,0.37422,0.39897,0.35338,0.43746
nist,DB,1000,rising,gcc_50,2018-04-18,2018-04-25,2018-05-01,2018-04-14,2018-04-24,2018-04-29,2018-04-21,2018-04-27,2018-05-02,0.35946,0.37111,0.39423,0.35187,0.43167
nist,DB,1000,rising,gcc_mean,2018-04-18,2018-04-24,2018-05-01,2018-04-15,2018-04-23,2018-04-29,2018-04-21,2018-04-26,2018-05-02,0.35893,0.36937,0.39397,0.35166,0.43001
nist,DB,1000,falling,gcc_90,2018-11-02,2018-10-30,2018-10-21,2018-11-03,2018-10-31,2018-10-24,2018-10-31,2018-10-28,2018-10-20,0.36098,0.36928,0.39269,0.35427,0.42769
nist,DB,1000,falling,gcc_90,2017-11-05,2017-11-02,2017-10-24,2017-11-06,2017-11-03,2017-10-26,2017-11-03,2017-10-31,2017-10-22,0.35806,0.36599,0.38724,0.35108,0.42284
nist,DB,1000,falling,gcc_75,2018-11-03,2018-10-30,2018-10-22,2018-11-04,2018-10-31,2018-10-25,2018-11-01,2018-10-29,2018-10-20,0.35549,0.36802,0.38777,0.35026,0.4234
nist,DB,1000,falling,gcc_75,2017-11-05,2017-11-02,2017-10-22,2017-11-06,2017-11-03,2017-10-25,2017-11-03,2017-10-31,2017-10-20,0.35575,0.36452,0.38687,0.34984,0.42244
nist,DB,1000,falling,gcc_50,2018-11-03,2018-10-30,2018-10-21,2018-11-04,2018-10-31,2018-10-24,2018-11-01,2018-10-28,2018-10-20,0.35157,0.36324,0.38479,0.34696,0.41953
nist,DB,1000,falling,gcc_50,2017-11-03,2017-10-31,2017-10-20,2017-11-04,2017-11-01,2017-10-22,2017-11-02,2017-10-29,2017-10-18,0.3573,0.36636,0.38468,0.35108,0.41802
nist,DB,1000,falling,gcc_mean,2018-11-02,2018-10-30,2018-10-22,2018-11-03,2018-10-31,2018-10-24,2018-10-31,2018-10-28,2018-10-21,0.35525,0.36315,0.3837,0.34846,0.41741
nist,DB,1000,falling,gcc_mean,2017-11-04,2017-11-01,2017-10-26,2017-11-05,2017-11-02,2017-10-28,2017-11-02,2017-10-31,2017-10-24,0.35502,0.36292,0.37654,0.35044,0.40218
