#
# Transition date estimate for niwot5
#
# Site: niwot5
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:21:43
# Spline RMSE gcc_mean: 0.00682
# Spline RMSE gcc_50: 0.00695
# Spline RMSE gcc_75: 0.00767
# Spline RMSE gcc_90: 0.00792
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
niwot5,EN,1000,rising,gcc_90,2017-03-09,2017-03-14,2017-04-12,2017-03-07,2017-03-11,2017-04-08,2017-03-12,2017-03-16,2017-04-15,0.37503,0.38153,0.39225,0.37163,0.41249
niwot5,EN,1000,rising,gcc_90,2018-04-10,2018-04-18,2018-05-02,2018-04-03,2018-04-13,2018-04-28,2018-04-15,2018-04-25,2018-05-06,0.37847,0.38309,0.3923,0.37511,0.40905
niwot5,EN,1000,rising,gcc_75,2017-03-09,2017-03-14,2017-04-13,2017-03-07,2017-03-12,2017-04-10,2017-03-12,2017-03-16,2017-05-06,0.37325,0.37929,0.38998,0.37009,0.40911
niwot5,EN,1000,rising,gcc_75,2018-04-08,2018-04-19,2018-05-02,2018-03-29,2018-04-12,2018-04-27,2018-04-14,2018-04-25,2018-05-05,0.3765,0.3814,0.38994,0.37333,0.40565
niwot5,EN,1000,rising,gcc_50,2017-03-09,2017-03-14,2017-03-21,2017-03-04,2017-03-12,2017-03-20,2017-03-10,2017-03-17,2017-04-14,0.37013,0.37514,0.3858,0.36682,0.40255
niwot5,EN,1000,rising,gcc_50,2018-04-08,2018-04-15,2018-04-29,2018-04-03,2018-04-11,2018-04-26,2018-04-13,2018-04-24,2018-05-02,0.37146,0.37583,0.38479,0.3683,0.40088
niwot5,EN,1000,rising,gcc_mean,2017-03-09,2017-03-14,2017-03-21,2017-03-05,2017-03-12,2017-03-20,2017-03-10,2017-03-17,2017-04-14,0.36969,0.37433,0.38451,0.36656,0.40225
niwot5,EN,1000,rising,gcc_mean,2018-04-09,2018-04-17,2018-04-30,2018-04-04,2018-04-12,2018-04-26,2018-04-14,2018-04-26,2018-05-02,0.37134,0.37643,0.38528,0.36864,0.40024
niwot5,EN,1000,falling,gcc_90,2018-11-04,2018-10-30,2018-10-17,2018-11-23,2018-11-01,2018-10-24,2018-10-31,2018-10-26,2018-10-07,0.37878,0.3835,0.39264,0.376,0.40921
niwot5,EN,1000,falling,gcc_90,2017-11-28,2017-10-29,2017-10-16,2017-12-10,2017-11-02,2017-10-20,2017-11-03,2017-10-25,2017-10-10,0.3753,0.38088,0.39165,0.37128,0.41186
niwot5,EN,1000,falling,gcc_90,2016-11-13,2016-11-08,2016-10-15,2016-11-19,2016-11-10,2016-11-01,2016-11-10,2016-11-05,2016-10-09,0.3719,0.37804,0.38869,0.36821,0.40878
niwot5,EN,1000,falling,gcc_75,2018-11-03,2018-10-30,2018-10-21,2018-11-23,2018-11-01,2018-10-25,2018-10-31,2018-10-26,2018-10-07,0.37728,0.38159,0.39005,0.3747,0.40438
niwot5,EN,1000,falling,gcc_75,2017-11-27,2017-10-28,2017-10-14,2017-12-10,2017-11-01,2017-10-19,2017-11-02,2017-10-25,2017-10-08,0.37378,0.37963,0.38955,0.37016,0.40838
niwot5,EN,1000,falling,gcc_75,2016-11-14,2016-11-08,2016-10-26,2016-11-27,2016-11-10,2016-11-01,2016-11-10,2016-11-04,2016-10-08,0.37037,0.37563,0.38609,0.36664,0.40526
niwot5,EN,1000,falling,gcc_50,2018-11-02,2018-10-30,2018-10-24,2018-11-29,2018-11-01,2018-10-25,2018-10-30,2018-10-27,2018-10-03,0.37305,0.3781,0.38585,0.37164,0.39894
niwot5,EN,1000,falling,gcc_50,2017-11-01,2017-10-25,2017-09-20,2017-11-27,2017-10-30,2017-09-23,2017-10-27,2017-10-21,2017-09-18,0.37367,0.37853,0.38683,0.37128,0.40108
niwot5,EN,1000,falling,gcc_50,2016-11-14,2016-11-08,2016-10-28,2016-11-29,2016-11-11,2016-11-02,2016-11-09,2016-11-04,2016-10-09,0.36901,0.37292,0.38215,0.36592,0.39766
niwot5,EN,1000,falling,gcc_mean,2018-11-01,2018-10-29,2018-10-05,2018-11-04,2018-10-31,2018-10-09,2018-10-29,2018-10-26,2018-10-02,0.37371,0.37811,0.3864,0.37114,0.40015
niwot5,EN,1000,falling,gcc_mean,2017-10-30,2017-10-24,2017-09-21,2017-11-06,2017-10-27,2017-09-25,2017-10-25,2017-10-20,2017-09-19,0.37405,0.37814,0.38675,0.37125,0.40115
niwot5,EN,1000,falling,gcc_mean,2016-11-12,2016-11-06,2016-10-12,2016-11-29,2016-11-09,2016-11-01,2016-11-07,2016-11-02,2016-10-08,0.36844,0.37298,0.38143,0.36547,0.3969
