#
# Transition date estimate for oregonYP
#
# Site: oregonYP
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2011
# Year max: 2014
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:25:25
# Spline RMSE gcc_mean: 0.00352
# Spline RMSE gcc_50: 0.0036
# Spline RMSE gcc_75: 0.00387
# Spline RMSE gcc_90: 0.00433
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oregonYP,EN,1000,rising,gcc_90,2012-03-25,2012-04-08,2012-04-22,2012-03-24,2012-04-06,2012-04-21,2012-03-27,2012-04-10,2012-04-23,0.36855,0.37825,0.39175,0.36958,0.41012
oregonYP,EN,1000,rising,gcc_90,2013-03-08,2013-03-10,2013-04-01,2013-02-10,2013-03-08,2013-03-31,2013-03-09,2013-03-12,2013-04-03,0.37095,0.37775,0.3904,0.36631,0.41364
oregonYP,EN,1000,rising,gcc_90,2014-03-04,2014-03-24,2014-04-14,2014-03-03,2014-03-23,2014-04-10,2014-03-07,2014-03-26,2014-04-15,0.36663,0.37397,0.3891,0.36352,0.41092
oregonYP,EN,1000,rising,gcc_75,2012-03-26,2012-04-08,2012-04-17,2012-03-25,2012-04-06,2012-04-14,2012-03-28,2012-04-10,2012-04-23,0.37193,0.37654,0.38746,0.36815,0.40638
oregonYP,EN,1000,rising,gcc_75,2013-03-08,2013-03-10,2013-04-01,2013-02-10,2013-03-09,2013-03-31,2013-03-09,2013-03-13,2013-04-03,0.36838,0.37482,0.38774,0.36533,0.41011
oregonYP,EN,1000,rising,gcc_75,2014-03-04,2014-03-24,2014-04-14,2014-03-03,2014-03-22,2014-04-07,2014-03-07,2014-03-26,2014-04-15,0.36458,0.37363,0.38818,0.36279,0.40793
oregonYP,EN,1000,rising,gcc_75,2014-11-17,2014-11-18,2014-11-21,2014-11-16,2014-11-17,2014-11-20,2014-11-19,2014-11-20,2014-11-24,0.36373,0.3713,0.38031,0.3696,0.39031
oregonYP,EN,1000,rising,gcc_50,2012-03-26,2012-04-08,2012-04-17,2012-03-25,2012-04-06,2012-04-14,2012-04-08,2012-04-10,2012-04-22,0.36967,0.37507,0.38711,0.36747,0.40229
oregonYP,EN,1000,rising,gcc_50,2013-03-09,2013-03-10,2013-04-01,2013-03-07,2013-03-09,2013-03-31,2013-03-10,2013-03-13,2013-04-03,0.368,0.37223,0.38559,0.36373,0.40688
oregonYP,EN,1000,rising,gcc_50,2014-03-23,2014-04-04,2014-04-15,2014-03-21,2014-03-24,2014-04-07,2014-03-25,2014-04-07,2014-04-16,0.3695,0.3746,0.38743,0.36637,0.40212
oregonYP,EN,1000,rising,gcc_50,2014-11-17,2014-11-18,2014-11-20,2014-11-16,2014-11-17,2014-11-19,2014-11-19,2014-11-20,2014-11-23,0.36319,0.37043,0.37793,0.36816,0.38761
oregonYP,EN,1000,rising,gcc_mean,2012-04-06,2012-04-08,2012-04-18,2012-03-25,2012-04-07,2012-04-15,2012-04-09,2012-04-10,2012-04-23,0.37082,0.37469,0.38734,0.36776,0.40512
