#
# ROI List for pointreyes
#
# Site: pointreyes
# Veg Type: SH
# ROI ID Number: 1000
# Owner: bijan
# Creation Date: 2014-11-01
# Creation Time: 21:58:27
# Update Date: 2018-06-18
# Update Time: 11:03:38
# Description: Shrubs and grasses in foreground right
#
start_date,start_time,end_date,end_time,maskfile,sample_image
2004-01-24,12:00:00,2004-11-13,10:59:59,pointreyes_SH_1000_01.tif,pointreyes_2004_01_24_120000.jpg
2004-11-13,11:00:00,2004-12-10,10:59:59,pointreyes_SH_1000_02.tif,pointreyes_2004_11_13_110000.jpg
2004-12-10,11:00:00,2007-01-01,10:59:59,pointreyes_SH_1000_03.tif,pointreyes_2004_12_10_110000.jpg
2007-01-01,11:00:00,2007-04-16,09:59:59,pointreyes_SH_1000_04.tif,pointreyes_2007_01_01_110000.jpg
2007-04-16,10:00:00,2008-04-01,09:59:59,pointreyes_SH_1000_05.tif,pointreyes_2007_04_16_100000.jpg
2008-04-01,10:00:00,2008-04-15,09:59:59,pointreyes_SH_1000_06.tif,pointreyes_2008_04_01_100000.jpg
2008-04-15,10:00:00,2009-10-19,11:05:59,pointreyes_SH_1000_07.tif,pointreyes_2008_04_15_100000.jpg
2009-10-19,11:06:00,2010-01-30,11:06:59,pointreyes_SH_1000_08.tif,pointreyes_2009_10_19_160200.jpg
2010-01-30,11:07:00,2010-02-13,16:01:59,pointreyes_SH_1000_09.tif,pointreyes_2010_01_30_110700.jpg
2010-02-13,16:01:59,2010-02-13,16:02:00,pointreyes_SH_1000_10.tif,pointreyes_2010_02_13_160200.jpg
2010-02-13,16:02:00,2010-02-25,17:00:59,pointreyes_SH_1000_11.tif,pointreyes_2010_02_13_160200.jpg
2010-02-25,17:01:00,2010-07-11,04:00:59,pointreyes_SH_1000_12.tif,pointreyes_2010_02_25_170100.jpg
2010-07-11,04:01:00,2010-08-12,16:00:59,pointreyes_SH_1000_13.tif,pointreyes_2010_07_11_120100.jpg
2010-08-12,16:01:00,2010-08-29,14:00:59,pointreyes_SH_1000_14.tif,pointreyes_2010_08_12_160100.jpg
2010-08-29,14:01:00,2011-06-11,04:00:59,pointreyes_SH_1000_15.tif,pointreyes_2010_08_29_140100.jpg
2011-06-11,04:01:00,2011-06-23,10:00:59,pointreyes_SH_1000_16.tif,pointreyes_2011_06_11_040100.jpg
2011-06-23,10:01:00,2012-01-16,11:02:18,pointreyes_SH_1000_17.tif,pointreyes_2011_06_23_100100.jpg
2012-01-16,11:02:19,2012-03-10,11:02:57,pointreyes_SH_1000_18.tif,pointreyes_2012_01_16_110219.jpg
2012-03-10,11:02:58,9999-12-31,23:59:59,pointreyes_SH_1000_19.tif,pointreyes_2012_03_10_110258.jpg

