#
# Transition date estimate for portal
#
# Site: portal
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:26:37
# Spline RMSE gcc_mean: 0.00113
# Spline RMSE gcc_50: 0.00118
# Spline RMSE gcc_75: 0.00158
# Spline RMSE gcc_90: 0.00179
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
portal,SH,1000,rising,gcc_90,2017-07-21,2017-07-24,2017-07-28,2017-07-20,2017-07-23,2017-07-27,2017-07-23,2017-07-25,2017-07-29,0.34168,0.35462,0.38004,0.33584,0.42305
portal,SH,1000,rising,gcc_90,2018-07-11,2018-07-14,2018-07-18,2018-07-10,2018-07-13,2018-07-17,2018-07-13,2018-07-15,2018-07-19,0.33359,0.34109,0.35884,0.32842,0.38429
portal,SH,1000,rising,gcc_75,2017-07-21,2017-07-24,2017-07-29,2017-07-20,2017-07-23,2017-07-27,2017-07-23,2017-07-26,2017-07-30,0.34076,0.35319,0.38545,0.33544,0.42135
portal,SH,1000,rising,gcc_75,2018-07-11,2018-07-14,2018-07-18,2018-07-10,2018-07-13,2018-07-17,2018-07-13,2018-07-15,2018-07-19,0.33277,0.34021,0.35795,0.32811,0.38228
portal,SH,1000,rising,gcc_50,2017-07-23,2017-07-25,2017-07-29,2017-07-22,2017-07-24,2017-07-28,2017-07-24,2017-07-26,2017-07-30,0.34359,0.35227,0.37914,0.3352,0.41913
portal,SH,1000,rising,gcc_50,2018-07-13,2018-07-15,2018-07-18,2018-07-12,2018-07-14,2018-07-17,2018-07-14,2018-07-16,2018-07-19,0.3331,0.34069,0.35556,0.32803,0.38027
portal,SH,1000,rising,gcc_mean,2017-07-23,2017-07-25,2017-07-29,2017-07-22,2017-07-24,2017-07-28,2017-07-24,2017-07-26,2017-07-30,0.34367,0.35223,0.37954,0.33532,0.41967
portal,SH,1000,rising,gcc_mean,2018-07-13,2018-07-15,2018-07-18,2018-07-12,2018-07-14,2018-07-17,2018-07-14,2018-07-16,2018-07-19,0.33265,0.34015,0.35501,0.32809,0.38093
portal,SH,1000,falling,gcc_90,2017-12-19,2017-10-27,2017-09-30,2018-03-24,2017-11-10,2017-10-02,2017-11-10,2017-10-23,2017-09-28,0.34005,0.3523,0.37422,0.33154,0.41678
portal,SH,1000,falling,gcc_75,2017-12-22,2017-10-28,2017-09-29,2018-03-24,2017-11-10,2017-10-02,2017-11-10,2017-10-23,2017-09-28,0.33936,0.35182,0.37431,0.33088,0.41624
portal,SH,1000,falling,gcc_50,2017-12-21,2017-11-06,2017-09-28,2018-03-24,2017-11-10,2017-10-01,2017-11-10,2017-10-23,2017-09-27,0.33923,0.35185,0.37385,0.33092,0.41486
portal,SH,1000,falling,gcc_mean,2017-12-26,2017-11-07,2017-09-29,2018-03-24,2017-11-10,2017-10-02,2017-11-10,2017-10-23,2017-09-28,0.33833,0.3498,0.37303,0.32998,0.41444
