#
# Transition date estimate for quickbird
#
# Site: quickbird
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:30:51
# Spline RMSE gcc_mean: 0.00078
# Spline RMSE gcc_50: 0.00096
# Spline RMSE gcc_75: 0.00088
# Spline RMSE gcc_90: 0.00111
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
quickbird,SH,1000,rising,gcc_90,2015-04-21,2015-04-29,2015-05-15,2015-04-19,2015-04-28,2015-05-13,2015-04-24,2015-04-30,2015-05-16,0.33633,0.34022,0.34744,0.3338,0.3603
quickbird,SH,1000,rising,gcc_75,2015-04-21,2015-04-29,2015-05-16,2015-04-19,2015-04-28,2015-05-14,2015-04-23,2015-04-30,2015-05-17,0.33594,0.33972,0.34692,0.3335,0.35933
quickbird,SH,1000,rising,gcc_50,2015-04-20,2015-04-29,2015-05-16,2015-04-19,2015-04-28,2015-05-14,2015-04-22,2015-04-30,2015-05-17,0.33527,0.33918,0.34576,0.33298,0.35788
quickbird,SH,1000,rising,gcc_mean,2015-04-20,2015-04-28,2015-05-14,2015-04-19,2015-04-27,2015-05-12,2015-04-22,2015-04-30,2015-05-15,0.33535,0.33849,0.34589,0.33303,0.35755
quickbird,SH,1000,falling,gcc_90,2015-08-22,2015-07-29,2015-07-13,2015-08-25,2015-08-01,2015-07-15,2015-08-19,2015-07-27,2015-07-11,0.33549,0.33942,0.34645,0.333,0.35988
quickbird,SH,1000,falling,gcc_90,2014-08-31,2014-07-22,2014-07-03,2014-09-13,2014-07-24,2014-07-15,2014-08-21,2014-07-19,2014-07-01,0.33467,0.33723,0.34226,0.33286,0.35156
quickbird,SH,1000,falling,gcc_75,2015-08-22,2015-07-29,2015-07-11,2015-08-25,2015-07-30,2015-07-14,2015-08-20,2015-07-27,2015-07-10,0.33518,0.33888,0.34616,0.33261,0.35886
quickbird,SH,1000,falling,gcc_75,2014-08-29,2014-07-21,2014-07-01,2014-09-13,2014-07-23,2014-07-04,2014-08-21,2014-07-18,2014-06-30,0.33446,0.33719,0.34254,0.33259,0.35196
quickbird,SH,1000,falling,gcc_50,2015-08-23,2015-07-29,2015-07-11,2015-08-26,2015-07-31,2015-07-13,2015-08-20,2015-07-27,2015-07-10,0.33453,0.33842,0.34528,0.33202,0.35806
quickbird,SH,1000,falling,gcc_50,2014-08-31,2014-07-20,2014-07-01,2014-09-13,2014-07-22,2014-07-04,2014-08-21,2014-07-18,2014-06-30,0.33379,0.33685,0.342,0.3321,0.35114
quickbird,SH,1000,falling,gcc_mean,2015-08-19,2015-07-29,2015-07-11,2015-08-20,2015-07-31,2015-07-13,2015-08-18,2015-07-27,2015-07-10,0.33454,0.33857,0.34525,0.33217,0.35788
quickbird,SH,1000,falling,gcc_mean,2014-08-29,2014-07-20,2014-06-30,2014-09-13,2014-07-24,2014-07-06,2014-08-21,2014-07-17,2014-06-29,0.33373,0.33666,0.34211,0.33177,0.35154
