#
# Transition date estimate for readingma
#
# Site: readingma
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:30:59
# Spline RMSE gcc_mean: 0.00221
# Spline RMSE gcc_50: 0.00244
# Spline RMSE gcc_75: 0.00234
# Spline RMSE gcc_90: 0.00231
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
readingma,DB,1000,rising,gcc_90,2012-04-12,2012-04-18,2012-04-27,2012-04-11,2012-04-17,2012-04-25,2012-04-14,2012-04-20,2012-04-28,0.32594,0.33701,0.35623,0.31965,0.39039
readingma,DB,1000,rising,gcc_90,2013-04-19,2013-04-27,2013-05-06,2013-04-16,2013-04-26,2013-05-04,2013-04-22,2013-04-29,2013-05-07,0.32293,0.332,0.35458,0.31574,0.38829
readingma,DB,1000,rising,gcc_90,2014-04-27,2014-05-03,2014-05-10,2014-04-23,2014-05-02,2014-05-08,2014-04-30,2014-05-05,2014-05-11,0.32244,0.33023,0.35134,0.3163,0.38187
readingma,DB,1000,rising,gcc_90,2015-04-25,2015-04-30,2015-05-07,2015-04-23,2015-04-29,2015-05-05,2015-04-28,2015-05-02,2015-05-08,0.32178,0.32913,0.34956,0.31576,0.37962
readingma,DB,1000,rising,gcc_90,2016-04-25,2016-05-03,2016-05-11,2016-04-21,2016-05-02,2016-05-10,2016-04-29,2016-05-06,2016-05-12,0.32479,0.33207,0.34784,0.31934,0.37607
readingma,DB,1000,rising,gcc_90,2017-04-20,2017-04-25,2017-05-03,2017-04-18,2017-04-24,2017-05-02,2017-04-22,2017-04-27,2017-05-04,0.32572,0.33434,0.35333,0.31954,0.38639
readingma,DB,1000,rising,gcc_90,2018-04-26,2018-05-01,2018-05-08,2018-04-25,2018-04-30,2018-05-06,2018-04-28,2018-05-03,2018-05-09,0.32346,0.33317,0.35543,0.3173,0.38853
readingma,DB,1000,rising,gcc_75,2012-04-12,2012-04-18,2012-04-27,2012-04-11,2012-04-17,2012-04-25,2012-04-15,2012-04-20,2012-04-29,0.32481,0.33563,0.35377,0.31897,0.38792
readingma,DB,1000,rising,gcc_75,2013-04-18,2013-04-27,2013-05-06,2013-04-15,2013-04-26,2013-05-04,2013-04-21,2013-04-29,2013-05-07,0.32137,0.33126,0.35271,0.31464,0.38569
readingma,DB,1000,rising,gcc_75,2014-04-25,2014-05-03,2014-05-10,2014-04-13,2014-05-02,2014-05-08,2014-04-29,2014-05-05,2014-05-11,0.32061,0.32904,0.34899,0.31433,0.3792
