#
# Transition date estimate for robinson2
#
# Site: robinson2
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:30:59
# Spline RMSE gcc_mean: 0.00325
# Spline RMSE gcc_50: 0.00371
# Spline RMSE gcc_75: 0.00369
# Spline RMSE gcc_90: 0.00352
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
robinson2,DB,1000,rising,gcc_90,2018-04-20,2018-04-25,2018-05-01,2018-04-16,2018-04-24,2018-04-29,2018-04-23,2018-04-27,2018-05-02,0.36431,0.37722,0.40925,0.3544,0.45496
robinson2,DB,1000,rising,gcc_75,2018-04-19,2018-04-25,2018-05-01,2018-04-16,2018-04-24,2018-04-29,2018-04-23,2018-04-27,2018-05-02,0.36207,0.3757,0.40636,0.3529,0.45021
robinson2,DB,1000,rising,gcc_50,2018-04-20,2018-04-25,2018-05-01,2018-04-16,2018-04-24,2018-04-29,2018-04-23,2018-04-27,2018-05-02,0.361,0.37298,0.40171,0.35172,0.44466
robinson2,DB,1000,rising,gcc_mean,2018-04-19,2018-04-25,2018-05-01,2018-04-16,2018-04-24,2018-04-29,2018-04-23,2018-04-27,2018-05-02,0.36036,0.37245,0.39963,0.35187,0.44051
robinson2,DB,1000,falling,gcc_90,2018-11-03,2018-10-29,2018-10-17,2018-11-05,2018-10-30,2018-10-21,2018-11-01,2018-10-26,2018-10-15,0.35832,0.37028,0.39564,0.3505,0.43808
robinson2,DB,1000,falling,gcc_90,2017-10-27,2017-10-22,2017-10-13,2017-11-07,2017-11-07,2017-10-16,2017-10-20,2017-10-20,2017-10-07,0.36708,0.37889,0.40072,0.35998,0.43987
robinson2,DB,1000,falling,gcc_75,2018-11-01,2018-10-27,2018-10-16,2018-11-03,2018-10-29,2018-10-19,2018-10-30,2018-10-25,2018-10-13,0.36025,0.37282,0.39387,0.35249,0.43434
robinson2,DB,1000,falling,gcc_75,2017-10-27,2017-10-23,2017-10-14,2017-11-07,2017-11-07,2017-10-17,2017-10-20,2017-10-20,2017-09-24,0.36735,0.37663,0.39801,0.36011,0.43524
robinson2,DB,1000,falling,gcc_50,2018-10-29,2018-10-25,2018-10-13,2018-10-31,2018-10-26,2018-10-17,2018-10-27,2018-10-23,2018-10-08,0.36371,0.37377,0.39308,0.35658,0.42899
robinson2,DB,1000,falling,gcc_50,2017-10-30,2017-10-27,2017-10-17,2017-11-07,2017-11-07,2017-10-27,2017-10-20,2017-10-20,2017-09-30,0.35707,0.36978,0.39045,0.35333,0.42755
robinson2,DB,1000,falling,gcc_mean,2018-11-01,2018-10-27,2018-10-15,2018-11-02,2018-10-28,2018-10-18,2018-10-30,2018-10-25,2018-10-13,0.35711,0.36831,0.38905,0.35053,0.42621
robinson2,DB,1000,falling,gcc_mean,2017-10-30,2017-10-28,2017-10-18,2017-11-07,2017-11-07,2017-10-28,2017-10-20,2017-10-20,2017-10-15,0.35745,0.36661,0.38854,0.35356,0.42159
