#
# Transition date estimate for robinson
#
# Site: robinson
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:31:24
# Spline RMSE gcc_mean: 0.00444
# Spline RMSE gcc_50: 0.00481
# Spline RMSE gcc_75: 0.00423
# Spline RMSE gcc_90: 0.00432
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
robinson,DB,1000,rising,gcc_90,2017-04-11,2017-04-13,2017-04-17,2017-04-10,2017-04-12,2017-04-16,2017-04-13,2017-04-15,2017-04-18,0.37078,0.38146,0.41078,0.36407,0.45211
robinson,DB,1000,rising,gcc_90,2018-04-21,2018-04-29,2018-05-03,2018-04-20,2018-04-28,2018-05-01,2018-04-24,2018-04-30,2018-05-04,0.35951,0.37457,0.41511,0.35144,0.45518
robinson,DB,1000,rising,gcc_75,2017-04-11,2017-04-13,2017-04-17,2017-04-10,2017-04-12,2017-04-16,2017-04-12,2017-04-14,2017-04-18,0.36927,0.37984,0.4081,0.362,0.44583
robinson,DB,1000,rising,gcc_75,2018-04-21,2018-04-29,2018-05-03,2018-04-20,2018-04-28,2018-05-01,2018-04-24,2018-04-30,2018-05-04,0.35899,0.37352,0.41201,0.35103,0.45276
robinson,DB,1000,rising,gcc_50,2018-04-21,2018-04-29,2018-05-03,2018-04-20,2018-04-28,2018-05-01,2018-04-24,2018-04-30,2018-05-04,0.35833,0.37188,0.40757,0.35038,0.44848
robinson,DB,1000,rising,gcc_mean,2017-04-11,2017-04-13,2017-04-17,2017-04-10,2017-04-12,2017-04-16,2017-04-13,2017-04-15,2017-04-18,0.36524,0.37404,0.39891,0.35914,0.43828
robinson,DB,1000,rising,gcc_mean,2018-04-21,2018-04-29,2018-05-03,2018-04-20,2018-04-28,2018-05-01,2018-04-23,2018-04-30,2018-05-04,0.35815,0.3723,0.40736,0.34992,0.44579
robinson,DB,1000,falling,gcc_90,2018-10-30,2018-10-27,2018-10-15,2018-10-31,2018-10-28,2018-10-18,2018-10-28,2018-10-25,2018-10-14,0.36484,0.37878,0.40111,0.35878,0.44025
robinson,DB,1000,falling,gcc_90,2017-10-27,2017-10-19,2017-10-13,2017-11-08,2017-11-08,2017-10-14,2017-10-18,2017-10-18,2017-10-11,0.37878,0.38615,0.4065,0.3723,0.43902
robinson,DB,1000,falling,gcc_75,2018-10-30,2018-10-28,2018-10-17,2018-10-31,2018-10-29,2018-10-19,2018-10-29,2018-10-26,2018-10-15,0.36328,0.37353,0.39389,0.35701,0.4295
robinson,DB,1000,falling,gcc_75,2017-10-29,2017-10-21,2017-10-16,2017-11-08,2017-11-08,2017-10-17,2017-10-18,2017-10-18,2017-10-13,0.3684,0.38055,0.40252,0.36328,0.43746
robinson,DB,1000,falling,gcc_50,2018-10-30,2018-10-28,2018-10-18,2018-10-31,2018-10-29,2018-10-21,2018-10-29,2018-10-27,2018-10-17,0.36112,0.37143,0.39094,0.35511,0.42223
robinson,DB,1000,falling,gcc_50,2017-10-31,2017-10-28,2017-10-17,2017-11-08,2017-11-08,2017-10-28,2017-10-18,2017-10-18,2017-10-16,0.35562,0.37143,0.39736,0.35257,0.43376
robinson,DB,1000,falling,gcc_mean,2018-10-30,2018-10-27,2018-10-14,2018-10-31,2018-10-28,2018-10-16,2018-10-28,2018-10-25,2018-10-13,0.36068,0.37395,0.39312,0.35501,0.4309
robinson,DB,1000,falling,gcc_mean,2017-10-31,2017-10-29,2017-10-18,2017-11-08,2017-11-08,2017-10-28,2017-10-18,2017-10-18,2017-10-17,0.35531,0.36539,0.39152,0.34918,0.43135
