#
# Transition date estimate for rosemountcons
#
# Site: rosemountcons
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:31:56
# Spline RMSE gcc_mean: 0.00342
# Spline RMSE gcc_50: 0.00317
# Spline RMSE gcc_75: 0.00315
# Spline RMSE gcc_90: 0.00392
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
rosemountcons,AG,1000,rising,gcc_90,2017-05-06,2017-05-09,2017-05-16,2017-05-05,2017-05-08,2017-05-14,2017-05-08,2017-05-11,2017-05-17,0.34068,0.35465,0.38493,0.33609,0.42783
rosemountcons,AG,1000,rising,gcc_90,2017-09-14,2017-09-17,2017-09-23,2017-09-13,2017-09-16,2017-09-21,2017-09-16,2017-09-19,2017-09-24,0.35622,0.36746,0.38997,0.34912,0.42997
rosemountcons,AG,1000,rising,gcc_90,2018-05-27,2018-06-02,2018-06-12,2018-05-24,2018-06-01,2018-06-10,2018-05-30,2018-06-05,2018-06-13,0.34564,0.35785,0.3859,0.33651,0.43151
rosemountcons,AG,1000,rising,gcc_75,2017-05-07,2017-05-10,2017-05-16,2017-05-06,2017-05-09,2017-05-14,2017-05-09,2017-05-12,2017-05-17,0.34022,0.35332,0.38009,0.33448,0.42441
rosemountcons,AG,1000,rising,gcc_75,2017-09-13,2017-09-17,2017-09-24,2017-09-12,2017-09-16,2017-09-22,2017-09-15,2017-09-19,2017-09-25,0.35084,0.36513,0.38919,0.34606,0.42647
rosemountcons,AG,1000,rising,gcc_75,2018-05-26,2018-06-03,2018-06-13,2018-05-24,2018-06-01,2018-06-11,2018-05-29,2018-06-05,2018-06-14,0.3428,0.35805,0.38408,0.33426,0.43185
rosemountcons,AG,1000,rising,gcc_50,2017-05-09,2017-05-11,2017-05-17,2017-05-08,2017-05-10,2017-05-15,2017-05-10,2017-05-13,2017-05-18,0.34335,0.35315,0.38026,0.33577,0.41964
rosemountcons,AG,1000,rising,gcc_50,2017-09-13,2017-09-17,2017-09-24,2017-09-12,2017-09-16,2017-09-22,2017-09-15,2017-09-19,2017-09-25,0.34886,0.36229,0.38511,0.3443,0.42173
rosemountcons,AG,1000,rising,gcc_50,2018-05-28,2018-06-04,2018-06-14,2018-05-25,2018-06-02,2018-06-12,2018-05-31,2018-06-06,2018-06-16,0.34319,0.35737,0.38248,0.33373,0.43044
rosemountcons,AG,1000,rising,gcc_mean,2017-05-07,2017-05-10,2017-05-16,2017-05-06,2017-05-09,2017-05-14,2017-05-09,2017-05-12,2017-05-17,0.33796,0.35007,0.37558,0.33093,0.41853
rosemountcons,AG,1000,rising,gcc_mean,2017-09-13,2017-09-17,2017-09-23,2017-09-12,2017-09-16,2017-09-21,2017-09-15,2017-09-19,2017-09-25,0.34891,0.36283,0.38297,0.34431,0.42144
rosemountcons,AG,1000,rising,gcc_mean,2018-05-27,2018-06-03,2018-06-14,2018-05-25,2018-06-02,2018-06-12,2018-05-30,2018-06-05,2018-06-15,0.34193,0.35519,0.38147,0.33399,0.42578
rosemountcons,AG,1000,falling,gcc_90,2018-11-09,2018-10-30,2018-10-13,2018-11-11,2018-11-03,2018-10-16,2018-11-06,2018-10-22,2018-10-12,0.3425,0.35582,0.38033,0.33523,0.42046
rosemountcons,AG,1000,falling,gcc_90,2017-12-07,2017-11-28,2017-11-16,2017-12-09,2017-11-30,2017-11-18,2017-12-04,2017-11-25,2017-11-14,0.34367,0.35794,0.38301,0.33511,0.43057
rosemountcons,AG,1000,falling,gcc_90,2017-07-19,2017-07-15,2017-07-07,2017-07-21,2017-07-17,2017-07-10,2017-07-17,2017-07-13,2017-07-04,0.36369,0.37357,0.39278,0.35713,0.42819
rosemountcons,AG,1000,falling,gcc_75,2018-11-08,2018-10-31,2018-10-14,2018-11-10,2018-11-04,2018-10-16,2018-11-06,2018-10-22,2018-10-12,0.34238,0.354,0.37456,0.3348,0.4143
rosemountcons,AG,1000,falling,gcc_75,2017-12-07,2017-11-28,2017-11-16,2017-12-09,2017-12-01,2017-11-19,2017-12-04,2017-11-25,2017-11-15,0.34287,0.35591,0.38097,0.33442,0.42404
rosemountcons,AG,1000,falling,gcc_75,2017-07-19,2017-07-15,2017-07-08,2017-07-20,2017-07-17,2017-07-11,2017-07-17,2017-07-13,2017-07-05,0.36096,0.37169,0.38966,0.35484,0.42419
rosemountcons,AG,1000,falling,gcc_50,2018-11-08,2018-11-01,2018-10-14,2018-11-10,2018-11-03,2018-10-16,2018-11-05,2018-10-23,2018-10-13,0.34011,0.35117,0.37149,0.33388,0.40743
rosemountcons,AG,1000,falling,gcc_50,2017-12-04,2017-11-26,2017-11-16,2017-12-07,2017-11-28,2017-11-18,2017-12-01,2017-11-24,2017-11-14,0.34156,0.35454,0.37694,0.33368,0.42001
