#
# Transition date estimate for sevilletashrub
#
# Site: sevilletashrub
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2014
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:35:18
# Spline RMSE gcc_mean: 0.00072
# Spline RMSE gcc_50: 0.00084
# Spline RMSE gcc_75: 0.00079
# Spline RMSE gcc_90: 0.00095
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
sevilletashrub,SH,1000,rising,gcc_90,2015-06-22,2015-06-24,2015-06-27,2015-05-18,2015-06-23,2015-06-26,2015-06-23,2015-06-25,2015-06-28,0.34668,0.34973,0.35453,0.34599,0.36298
sevilletashrub,SH,1000,rising,gcc_90,2016-04-05,2016-04-10,2016-05-07,2016-03-23,2016-04-09,2016-05-06,2016-04-07,2016-04-18,2016-05-08,0.34519,0.3472,0.35167,0.34373,0.35889
sevilletashrub,SH,1000,rising,gcc_90,2017-07-15,2017-07-18,2017-07-24,2017-07-13,2017-07-17,2017-07-22,2017-07-16,2017-07-20,2017-07-25,0.34835,0.35088,0.35639,0.34676,0.36428
sevilletashrub,SH,1000,rising,gcc_90,2018-06-17,2018-07-12,2018-07-16,2018-06-16,2018-07-11,2018-07-15,2018-06-19,2018-07-14,2018-07-17,0.3471,0.34893,0.35289,0.34592,0.35965
sevilletashrub,SH,1000,rising,gcc_75,2015-06-22,2015-06-24,2015-06-28,2015-05-18,2015-06-23,2015-06-26,2015-06-23,2015-06-25,2015-06-29,0.34638,0.34864,0.3535,0.34518,0.36099
sevilletashrub,SH,1000,rising,gcc_75,2016-04-06,2016-04-19,2016-05-09,2016-04-05,2016-04-18,2016-05-08,2016-04-09,2016-04-22,2016-05-10,0.34471,0.34712,0.35101,0.34359,0.35777
sevilletashrub,SH,1000,rising,gcc_75,2017-07-15,2017-07-19,2017-07-24,2017-07-14,2017-07-18,2017-07-22,2017-07-16,2017-07-20,2017-07-25,0.34654,0.34927,0.35448,0.34522,0.3623
sevilletashrub,SH,1000,rising,gcc_75,2018-07-04,2018-07-11,2018-07-17,2018-06-17,2018-07-10,2018-07-16,2018-07-05,2018-07-13,2018-08-13,0.34579,0.34721,0.35132,0.34456,0.3572
sevilletashrub,SH,1000,rising,gcc_50,2015-06-22,2015-06-24,2015-06-28,2015-05-18,2015-06-23,2015-06-26,2015-06-23,2015-06-25,2015-06-29,0.34541,0.3474,0.35174,0.34418,0.35818
sevilletashrub,SH,1000,rising,gcc_50,2016-04-03,2016-04-07,2016-04-25,2016-03-20,2016-04-06,2016-04-24,2016-04-06,2016-04-10,2016-04-28,0.34299,0.34433,0.34734,0.3421,0.35219
