#
# Transition date estimate for shahariya
#
# Site: shahariya
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2013
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:35:00
# Spline RMSE gcc_mean: 0.00285
# Spline RMSE gcc_50: 0.00327
# Spline RMSE gcc_75: 0.0045
# Spline RMSE gcc_90: 0.00519
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
shahariya,GR,1000,rising,gcc_90,2011-11-26,2011-12-26,2012-01-16,2011-11-22,2011-12-23,2012-01-12,2011-11-30,2011-12-30,2012-01-18,0.33566,0.35354,0.38432,0.32485,0.44086
shahariya,GR,1000,rising,gcc_90,2012-11-17,2012-11-29,2012-12-28,2012-11-11,2012-11-27,2012-12-27,2012-11-23,2012-12-02,2013-01-01,0.33551,0.35172,0.38098,0.32431,0.43728
shahariya,GR,1000,rising,gcc_75,2011-11-27,2011-12-28,2012-01-19,2011-11-23,2011-12-25,2012-01-16,2011-12-02,2011-12-31,2012-01-21,0.33246,0.34983,0.37988,0.32182,0.4349
shahariya,GR,1000,rising,gcc_75,2012-11-16,2012-12-01,2012-12-28,2012-11-12,2012-11-28,2012-12-21,2012-11-21,2012-12-04,2012-12-31,0.33088,0.34644,0.3715,0.32149,0.42141
shahariya,GR,1000,rising,gcc_50,2011-11-25,2011-12-26,2012-01-15,2011-11-22,2011-12-24,2012-01-13,2011-11-28,2011-12-29,2012-01-16,0.32693,0.34141,0.36646,0.31782,0.41311
shahariya,GR,1000,rising,gcc_50,2012-11-18,2012-12-01,2012-12-29,2012-11-14,2012-11-28,2012-12-19,2012-11-23,2012-12-04,2013-01-02,0.32743,0.34065,0.36214,0.31984,0.40392
shahariya,GR,1000,rising,gcc_mean,2011-11-25,2011-12-26,2012-01-15,2011-11-23,2011-12-24,2012-01-13,2011-11-28,2011-12-29,2012-01-16,0.32755,0.34233,0.36985,0.31881,0.4175
shahariya,GR,1000,rising,gcc_mean,2012-11-19,2012-12-01,2012-12-28,2012-11-15,2012-11-28,2012-12-17,2012-11-23,2012-12-04,2012-12-30,0.32903,0.34196,0.36473,0.32023,0.40848
shahariya,GR,1000,falling,gcc_90,2013-04-17,2013-03-27,2013-03-17,2013-04-22,2013-03-29,2013-03-19,2013-04-11,2013-03-24,2013-03-16,0.33804,0.3559,0.39244,0.32605,0.45338
shahariya,GR,1000,falling,gcc_90,2012-04-23,2012-04-17,2012-04-08,2012-04-26,2012-04-18,2012-04-10,2012-04-20,2012-04-15,2012-04-06,0.33639,0.35208,0.38535,0.32568,0.44232
shahariya,GR,1000,falling,gcc_75,2013-04-17,2013-03-25,2013-03-16,2013-04-20,2013-03-28,2013-03-18,2013-04-13,2013-03-23,2013-03-15,0.33562,0.352,0.3847,0.3247,0.43488
shahariya,GR,1000,falling,gcc_75,2012-04-21,2012-04-15,2012-04-07,2012-04-23,2012-04-16,2012-04-09,2012-04-18,2012-04-13,2012-04-06,0.33379,0.35123,0.38298,0.32432,0.43615
shahariya,GR,1000,falling,gcc_50,2013-04-17,2013-03-25,2013-03-17,2013-04-19,2013-03-26,2013-03-19,2013-04-14,2013-03-22,2013-03-16,0.33109,0.34422,0.37012,0.32269,0.41689
shahariya,GR,1000,falling,gcc_50,2012-04-20,2012-04-16,2012-04-08,2012-04-21,2012-04-17,2012-04-10,2012-04-17,2012-04-14,2012-04-07,0.33046,0.34281,0.37296,0.32258,0.41832
shahariya,GR,1000,falling,gcc_mean,2013-04-17,2013-03-24,2013-03-16,2013-04-18,2013-03-26,2013-03-18,2013-04-15,2013-03-22,2013-03-15,0.33162,0.3474,0.37521,0.32294,0.42205
shahariya,GR,1000,falling,gcc_mean,2012-04-20,2012-04-16,2012-04-08,2012-04-22,2012-04-17,2012-04-10,2012-04-18,2012-04-14,2012-04-07,0.33201,0.34457,0.37354,0.32283,0.42186
