#
# Transition date estimate for shalehillsczo
#
# Site: shalehillsczo
# Veg Type: DB
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2017
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:35:27
# Spline RMSE gcc_mean: 0.00251
# Spline RMSE gcc_50: 0.00259
# Spline RMSE gcc_75: 0.0031
# Spline RMSE gcc_90: 0.00369
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
shalehillsczo,DB,2000,rising,gcc_90,2016-04-23,2016-04-30,2016-05-08,2016-04-21,2016-04-29,2016-05-06,2016-04-26,2016-05-02,2016-05-09,0.33939,0.35487,0.38528,0.32999,0.43617
shalehillsczo,DB,2000,rising,gcc_90,2017-04-19,2017-04-24,2017-05-02,2017-04-18,2017-04-23,2017-04-30,2017-04-21,2017-04-26,2017-05-03,0.35136,0.36734,0.4064,0.34105,0.46352
shalehillsczo,DB,2000,rising,gcc_75,2016-04-23,2016-04-30,2016-05-08,2016-04-21,2016-04-29,2016-05-06,2016-04-26,2016-05-02,2016-05-09,0.33849,0.35331,0.38206,0.32959,0.43117
shalehillsczo,DB,2000,rising,gcc_75,2017-04-19,2017-04-25,2017-05-02,2017-04-18,2017-04-24,2017-05-01,2017-04-21,2017-04-26,2017-05-03,0.34991,0.36827,0.39926,0.33942,0.4584
shalehillsczo,DB,2000,rising,gcc_50,2016-04-24,2016-04-30,2016-05-08,2016-04-22,2016-04-29,2016-05-07,2016-04-26,2016-05-02,2016-05-09,0.33796,0.35105,0.37713,0.32858,0.42531
shalehillsczo,DB,2000,rising,gcc_50,2017-04-19,2017-04-25,2017-05-03,2017-04-17,2017-04-24,2017-05-01,2017-04-22,2017-04-27,2017-05-04,0.34783,0.36328,0.40109,0.33755,0.45514
shalehillsczo,DB,2000,rising,gcc_mean,2016-04-23,2016-04-30,2016-05-08,2016-04-21,2016-04-29,2016-05-06,2016-04-26,2016-05-02,2016-05-09,0.3366,0.35071,0.37742,0.32759,0.42379
shalehillsczo,DB,2000,rising,gcc_mean,2017-04-19,2017-04-25,2017-05-02,2017-04-17,2017-04-24,2017-05-01,2017-04-22,2017-04-27,2017-05-03,0.34803,0.36372,0.39692,0.33745,0.45241
shalehillsczo,DB,2000,falling,gcc_90,2017-10-26,2017-10-18,2017-09-21,2017-10-28,2017-10-19,2017-09-27,2017-10-23,2017-10-16,2017-09-18,0.35184,0.36742,0.39558,0.34206,0.44811
shalehillsczo,DB,2000,falling,gcc_90,2016-10-30,2016-10-27,2016-10-19,2016-10-31,2016-10-28,2016-10-22,2016-10-28,2016-10-25,2016-10-18,0.34528,0.3585,0.38409,0.33988,0.42348
shalehillsczo,DB,2000,falling,gcc_75,2017-10-27,2017-10-18,2017-09-23,2017-10-29,2017-10-20,2017-09-28,2017-10-24,2017-10-16,2017-09-20,0.34927,0.36539,0.39189,0.34001,0.44301
shalehillsczo,DB,2000,falling,gcc_75,2016-10-30,2016-10-27,2016-10-19,2016-10-31,2016-10-28,2016-10-21,2016-10-28,2016-10-25,2016-10-18,0.34245,0.35551,0.37911,0.33713,0.41956
shalehillsczo,DB,2000,falling,gcc_50,2017-10-27,2017-10-19,2017-09-22,2017-10-29,2017-10-21,2017-09-30,2017-10-24,2017-10-17,2017-09-19,0.3466,0.36173,0.38684,0.33749,0.43603
shalehillsczo,DB,2000,falling,gcc_50,2016-10-30,2016-10-27,2016-10-18,2016-10-31,2016-10-28,2016-10-21,2016-10-28,2016-10-26,2016-10-17,0.3385,0.35392,0.37596,0.33388,0.4143
shalehillsczo,DB,2000,falling,gcc_mean,2017-10-27,2017-10-19,2017-09-20,2017-10-29,2017-10-21,2017-09-24,2017-10-24,2017-10-17,2017-09-18,0.34644,0.36136,0.38604,0.33753,0.4344
shalehillsczo,DB,2000,falling,gcc_mean,2016-10-30,2016-10-27,2016-10-18,2016-10-31,2016-10-28,2016-10-20,2016-10-28,2016-10-26,2016-10-16,0.3402,0.35468,0.37533,0.33574,0.41443
