#
# Transition date estimate for sherman
#
# Site: sherman
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:36:04
# Spline RMSE gcc_mean: 0.00245
# Spline RMSE gcc_50: 0.00242
# Spline RMSE gcc_75: 0.00215
# Spline RMSE gcc_90: 0.00231
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
sherman,GR,1000,rising,gcc_90,2014-02-06,2014-02-08,2014-02-12,2014-02-05,2014-02-07,2014-02-11,2014-02-07,2014-02-09,2014-02-13,0.3534,0.36512,0.38888,0.34611,0.43106
sherman,GR,1000,rising,gcc_90,2015-01-16,2015-02-03,2015-02-07,2015-01-14,2015-02-01,2015-02-05,2015-01-20,2015-02-04,2015-02-08,0.3691,0.37698,0.39444,0.36457,0.41444
sherman,GR,1000,rising,gcc_75,2014-02-06,2014-02-08,2014-02-13,2014-02-05,2014-02-07,2014-02-11,2014-02-07,2014-02-09,2014-02-14,0.35291,0.36409,0.38921,0.34548,0.42992
sherman,GR,1000,rising,gcc_75,2015-01-15,2015-02-02,2015-02-07,2015-01-14,2015-02-01,2015-02-05,2015-01-25,2015-02-04,2015-02-08,0.367,0.37401,0.39233,0.36326,0.41001
sherman,GR,1000,rising,gcc_50,2014-02-06,2014-02-08,2014-02-13,2014-02-05,2014-02-07,2014-02-12,2014-02-07,2014-02-09,2014-02-14,0.35232,0.36291,0.38639,0.34451,0.42526
sherman,GR,1000,rising,gcc_50,2015-01-15,2015-02-02,2015-02-06,2015-01-14,2015-01-31,2015-02-05,2015-01-17,2015-02-04,2015-02-07,0.36488,0.37212,0.3833,0.36118,0.40535
sherman,GR,1000,rising,gcc_mean,2014-02-06,2014-02-08,2014-02-13,2014-02-05,2014-02-07,2014-02-11,2014-02-07,2014-02-09,2014-02-14,0.35183,0.36185,0.38529,0.34416,0.4229
sherman,GR,1000,rising,gcc_mean,2015-01-22,2015-02-03,2015-02-06,2015-01-14,2015-02-02,2015-02-05,2015-01-24,2015-02-05,2015-02-07,0.3628,0.36806,0.38185,0.35906,0.40238
sherman,GR,1000,falling,gcc_90,2014-05-06,2014-05-04,2014-04-23,2014-05-07,2014-05-05,2014-04-27,2014-05-05,2014-05-02,2014-04-22,0.3733,0.3802,0.39813,0.36859,0.426
sherman,GR,1000,falling,gcc_75,2014-05-06,2014-05-04,2014-04-22,2014-05-07,2014-05-05,2014-04-27,2014-05-05,2014-05-02,2014-04-21,0.37129,0.37837,0.3964,0.36698,0.42289
sherman,GR,1000,falling,gcc_50,2014-05-06,2014-05-03,2014-04-23,2014-05-07,2014-05-04,2014-04-27,2014-05-05,2014-05-02,2014-04-21,0.36869,0.3786,0.39205,0.36521,0.41879
sherman,GR,1000,falling,gcc_mean,2014-05-06,2014-05-04,2014-04-23,2014-05-07,2014-05-05,2014-04-27,2014-05-05,2014-05-02,2014-04-22,0.36891,0.37538,0.39191,0.36418,0.41807
