#
# Transition date estimate for smokylook
#
# Site: smokylook
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2000
# Year max: 2002
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:38:24
# Spline RMSE gcc_mean: 0.01166
# Spline RMSE gcc_50: 0.01226
# Spline RMSE gcc_75: 0.00986
# Spline RMSE gcc_90: 0.00936
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
smokylook,DB,1000,rising,gcc_90,2000-04-27,2000-04-29,2000-05-05,2000-04-25,2000-04-28,2000-05-02,2000-04-29,2000-05-01,2000-05-06,0.32285,0.33438,0.37011,0.31256,0.42002
smokylook,DB,1000,rising,gcc_90,2001-04-18,2001-04-23,2001-04-29,2001-04-15,2001-04-20,2001-04-27,2001-04-21,2001-04-26,2001-05-01,0.31403,0.32988,0.35645,0.30564,0.40467
smokylook,DB,1000,rising,gcc_90,2002-04-16,2002-04-19,2002-04-26,2002-04-13,2002-04-18,2002-04-24,2002-04-18,2002-04-22,2002-04-27,0.31425,0.32772,0.3622,0.3036,0.41366
smokylook,DB,1000,rising,gcc_75,2000-04-27,2000-04-29,2000-05-05,2000-04-25,2000-04-28,2000-05-02,2000-04-29,2000-05-01,2000-05-06,0.32122,0.33296,0.36917,0.31156,0.41902
smokylook,DB,1000,rising,gcc_75,2001-04-18,2001-04-23,2001-04-29,2001-04-15,2001-04-20,2001-04-27,2001-04-21,2001-04-26,2001-05-01,0.3121,0.32798,0.35371,0.30334,0.4021
smokylook,DB,1000,rising,gcc_75,2002-04-16,2002-04-20,2002-04-26,2002-04-14,2002-04-18,2002-04-24,2002-04-19,2002-04-22,2002-04-27,0.31057,0.32783,0.35913,0.30096,0.41192
smokylook,DB,1000,rising,gcc_50,2000-04-26,2000-04-28,2000-05-04,2000-04-23,2000-04-27,2000-05-01,2000-04-28,2000-05-01,2000-05-06,0.3185,0.32906,0.36384,0.30934,0.41157
smokylook,DB,1000,rising,gcc_50,2001-04-18,2001-04-22,2001-04-29,2001-04-15,2001-04-20,2001-04-26,2001-04-22,2001-04-26,2001-05-01,0.30808,0.32198,0.35063,0.30142,0.39646
smokylook,DB,1000,rising,gcc_50,2002-04-15,2002-04-20,2002-04-27,2002-04-12,2002-04-17,2002-04-24,2002-04-18,2002-04-23,2002-04-29,0.30562,0.32437,0.35514,0.29692,0.40847
smokylook,DB,1000,rising,gcc_mean,2000-04-26,2000-04-28,2000-05-04,2000-04-23,2000-04-27,2000-05-01,2000-04-28,2000-05-01,2000-05-06,0.31637,0.32681,0.36122,0.3068,0.41076
smokylook,DB,1000,rising,gcc_mean,2001-04-18,2001-04-22,2001-04-29,2001-04-14,2001-04-19,2001-04-26,2001-04-21,2001-04-25,2001-04-30,0.30618,0.32099,0.34992,0.29643,0.39479
smokylook,DB,1000,rising,gcc_mean,2002-04-15,2002-04-19,2002-04-27,2002-04-11,2002-04-17,2002-04-24,2002-04-18,2002-04-23,2002-04-30,0.30576,0.32066,0.35106,0.29539,0.40542
smokylook,DB,1000,falling,gcc_90,2001-10-21,2001-10-17,2001-10-10,2001-10-23,2001-10-19,2001-10-13,2001-10-18,2001-10-14,2001-10-09,0.3106,0.32528,0.35134,0.3053,0.38941
smokylook,DB,1000,falling,gcc_90,2000-10-25,2000-10-21,2000-10-13,2000-10-30,2000-10-23,2000-10-17,2000-10-22,2000-10-18,2000-10-11,0.31398,0.32626,0.35368,0.3057,0.39578
smokylook,DB,1000,falling,gcc_75,2001-10-20,2001-10-17,2001-10-10,2001-10-23,2001-10-19,2001-10-13,2001-10-17,2001-10-14,2001-10-09,0.31172,0.32249,0.34821,0.30351,0.38572
smokylook,DB,1000,falling,gcc_75,2000-10-26,2000-10-21,2000-10-14,2000-10-31,2000-10-23,2000-10-17,2000-10-22,2000-10-18,2000-10-12,0.3097,0.32443,0.34864,0.30259,0.39332
smokylook,DB,1000,falling,gcc_50,2001-10-22,2001-10-18,2001-10-11,2001-10-28,2001-10-21,2001-10-15,2001-10-18,2001-10-15,2001-10-09,0.30387,0.31647,0.3389,0.29717,0.37667
smokylook,DB,1000,falling,gcc_50,2000-10-29,2000-10-23,2000-10-15,2000-11-22,2000-10-27,2000-10-19,2000-10-24,2000-10-20,2000-10-12,0.30307,0.31641,0.34214,0.29343,0.39053
smokylook,DB,1000,falling,gcc_mean,2001-10-22,2001-10-18,2001-10-11,2001-10-28,2001-10-21,2001-10-15,2001-10-19,2001-10-15,2001-10-09,0.30212,0.31484,0.33708,0.295,0.37691
smokylook,DB,1000,falling,gcc_mean,2000-10-29,2000-10-22,2000-10-14,2000-11-05,2000-10-25,2000-10-18,2000-10-23,2000-10-19,2000-10-11,0.30276,0.31804,0.34309,0.29475,0.38897
