#
# Transition date estimate for smokypurchase
#
# Site: smokypurchase
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2003
# Year max: 2005
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:40:03
# Spline RMSE gcc_mean: 0.01335
# Spline RMSE gcc_50: 0.01335
# Spline RMSE gcc_75: 0.01335
# Spline RMSE gcc_90: 0.01335
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
smokypurchase,DB,1000,rising,gcc_90,2004-05-03,2004-05-07,2004-05-12,2004-04-30,2004-05-06,2004-05-11,2004-05-05,2004-05-09,2004-05-13,0.33684,0.3515,0.39052,0.32451,0.45615
smokypurchase,DB,1000,rising,gcc_90,2005-05-10,2005-05-17,2005-05-24,2005-05-08,2005-05-16,2005-05-22,2005-05-13,2005-05-20,2005-05-25,0.33599,0.35238,0.38865,0.32568,0.44642
smokypurchase,DB,1000,rising,gcc_75,2004-05-03,2004-05-07,2004-05-12,2004-04-30,2004-05-06,2004-05-11,2004-05-05,2004-05-09,2004-05-13,0.33684,0.3515,0.39052,0.32451,0.45615
smokypurchase,DB,1000,rising,gcc_75,2005-05-10,2005-05-17,2005-05-24,2005-05-08,2005-05-16,2005-05-22,2005-05-13,2005-05-20,2005-05-25,0.33599,0.35238,0.38865,0.32568,0.44642
smokypurchase,DB,1000,rising,gcc_50,2004-05-03,2004-05-07,2004-05-12,2004-04-30,2004-05-06,2004-05-11,2004-05-05,2004-05-09,2004-05-13,0.33684,0.3515,0.39052,0.32451,0.45615
smokypurchase,DB,1000,rising,gcc_50,2005-05-10,2005-05-17,2005-05-24,2005-05-08,2005-05-16,2005-05-22,2005-05-13,2005-05-20,2005-05-25,0.33599,0.35238,0.38865,0.32568,0.44642
smokypurchase,DB,1000,rising,gcc_mean,2004-05-03,2004-05-07,2004-05-12,2004-04-30,2004-05-06,2004-05-11,2004-05-05,2004-05-09,2004-05-13,0.33684,0.3515,0.39052,0.32451,0.45615
smokypurchase,DB,1000,rising,gcc_mean,2005-05-10,2005-05-17,2005-05-24,2005-05-08,2005-05-16,2005-05-22,2005-05-13,2005-05-20,2005-05-25,0.33599,0.35238,0.38865,0.32568,0.44642
smokypurchase,DB,1000,falling,gcc_90,2005-11-04,2005-10-23,2005-10-15,2005-11-05,2005-10-24,2005-10-17,2005-10-31,2005-10-21,2005-10-02,0.33344,0.34851,0.37462,0.32619,0.4226
smokypurchase,DB,1000,falling,gcc_90,2004-10-12,2004-10-06,2004-09-22,2004-10-16,2004-10-08,2004-09-24,2004-10-09,2004-10-03,2004-09-21,0.34392,0.35875,0.38648,0.33414,0.43418
smokypurchase,DB,1000,falling,gcc_90,2003-10-11,2003-10-07,2003-09-29,2003-10-21,2003-10-08,2003-10-01,2003-10-08,2003-10-05,2003-09-27,0.33324,0.34304,0.37249,0.32399,0.42008
smokypurchase,DB,1000,falling,gcc_75,2005-11-04,2005-10-23,2005-10-15,2005-11-05,2005-10-24,2005-10-17,2005-10-31,2005-10-21,2005-10-02,0.33344,0.34851,0.37462,0.32619,0.4226
smokypurchase,DB,1000,falling,gcc_75,2004-10-12,2004-10-06,2004-09-22,2004-10-16,2004-10-08,2004-09-24,2004-10-09,2004-10-03,2004-09-21,0.34392,0.35875,0.38648,0.33414,0.43418
smokypurchase,DB,1000,falling,gcc_75,2003-10-11,2003-10-07,2003-09-29,2003-10-21,2003-10-08,2003-10-01,2003-10-08,2003-10-05,2003-09-27,0.33324,0.34304,0.37249,0.32399,0.42008
smokypurchase,DB,1000,falling,gcc_50,2005-11-04,2005-10-23,2005-10-15,2005-11-05,2005-10-24,2005-10-17,2005-10-31,2005-10-21,2005-10-02,0.33344,0.34851,0.37462,0.32619,0.4226
smokypurchase,DB,1000,falling,gcc_50,2004-10-12,2004-10-06,2004-09-22,2004-10-16,2004-10-08,2004-09-24,2004-10-09,2004-10-03,2004-09-21,0.34392,0.35875,0.38648,0.33414,0.43418
smokypurchase,DB,1000,falling,gcc_50,2003-10-11,2003-10-07,2003-09-29,2003-10-21,2003-10-08,2003-10-01,2003-10-08,2003-10-05,2003-09-27,0.33324,0.34304,0.37249,0.32399,0.42008
smokypurchase,DB,1000,falling,gcc_mean,2005-11-04,2005-10-23,2005-10-15,2005-11-05,2005-10-24,2005-10-17,2005-10-31,2005-10-21,2005-10-02,0.33344,0.34851,0.37462,0.32619,0.4226
smokypurchase,DB,1000,falling,gcc_mean,2004-10-12,2004-10-06,2004-09-22,2004-10-16,2004-10-08,2004-09-24,2004-10-09,2004-10-03,2004-09-21,0.34392,0.35875,0.38648,0.33414,0.43418
smokypurchase,DB,1000,falling,gcc_mean,2003-10-11,2003-10-07,2003-09-29,2003-10-21,2003-10-08,2003-10-01,2003-10-08,2003-10-05,2003-09-27,0.33324,0.34304,0.37249,0.32399,0.42008
