#
# Transition date estimate for smokypurchase
#
# Site: smokypurchase
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2004
# Year max: 2015
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:45:36
# Spline RMSE gcc_mean: 0.00807
# Spline RMSE gcc_50: 0.0083
# Spline RMSE gcc_75: 0.008
# Spline RMSE gcc_90: 0.00783
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
smokypurchase,GR,1000,rising,gcc_90,2004-04-20,2004-04-28,2004-05-08,2004-04-18,2004-04-27,2004-05-06,2004-04-22,2004-04-29,2004-05-09,0.34987,0.37116,0.41116,0.33566,0.47798
smokypurchase,GR,1000,rising,gcc_90,2005-04-10,2005-04-17,2005-05-12,2005-04-08,2005-04-16,2005-05-10,2005-04-12,2005-04-20,2005-05-14,0.34176,0.35584,0.38337,0.33151,0.43473
smokypurchase,GR,1000,rising,gcc_90,2006-04-22,2006-04-28,2006-05-09,2006-04-21,2006-04-27,2006-05-07,2006-04-24,2006-04-30,2006-05-11,0.33404,0.3474,0.36866,0.32729,0.40965
smokypurchase,GR,1000,rising,gcc_90,2006-09-05,2006-09-08,2006-09-14,2006-09-04,2006-09-07,2006-09-12,2006-09-07,2006-09-10,2006-09-15,0.35933,0.36818,0.38565,0.35526,0.41361
smokypurchase,GR,1000,rising,gcc_90,2007-04-24,2007-04-28,2007-05-05,2007-04-22,2007-04-27,2007-05-03,2007-04-26,2007-04-29,2007-05-06,0.34778,0.35827,0.3792,0.3412,0.41091
smokypurchase,GR,1000,rising,gcc_90,2008-04-11,2008-04-19,2008-05-05,2008-04-09,2008-04-17,2008-05-02,2008-04-14,2008-04-21,2008-05-08,0.33424,0.34503,0.36284,0.3277,0.39711
smokypurchase,GR,1000,rising,gcc_90,2009-04-21,2009-04-29,2009-05-10,2009-04-20,2009-04-28,2009-05-08,2009-04-24,2009-05-01,2009-05-11,0.34854,0.36251,0.38885,0.34014,0.43708
smokypurchase,GR,1000,rising,gcc_90,2010-04-04,2010-04-12,2010-04-22,2010-04-02,2010-04-11,2010-04-21,2010-04-06,2010-04-14,2010-04-23,0.34142,0.3573,0.38947,0.3303,0.44756
smokypurchase,GR,1000,rising,gcc_90,2011-03-26,2011-04-02,2011-04-11,2011-03-24,2011-04-01,2011-04-09,2011-03-29,2011-04-04,2011-04-12,0.33975,0.35301,0.38111,0.33119,0.4278
smokypurchase,GR,1000,rising,gcc_90,2012-03-27,2012-04-29,2012-05-11,2012-03-25,2012-04-26,2012-05-09,2012-03-30,2012-05-02,2012-05-13,0.33738,0.34916,0.36906,0.3302,0.40707
