#
# Transition date estimate for spruceT2P11E
#
# Site: spruceT2P11E
# Veg Type: DN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:49:57
# Spline RMSE gcc_mean: 0.00183
# Spline RMSE gcc_50: 0.00212
# Spline RMSE gcc_75: 0.002
# Spline RMSE gcc_90: 0.00207
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
spruceT2P11E,DN,1000,rising,gcc_90,2016-04-12,2016-04-19,2016-04-30,2016-04-09,2016-04-17,2016-04-28,2016-04-14,2016-04-22,2016-05-01,0.33359,0.34188,0.35856,0.32781,0.38676
spruceT2P11E,DN,1000,rising,gcc_90,2017-04-06,2017-04-14,2017-04-30,2017-04-04,2017-04-12,2017-04-27,2017-04-08,2017-04-16,2017-05-01,0.33352,0.34382,0.3623,0.32717,0.39489
spruceT2P11E,DN,1000,rising,gcc_90,2018-04-25,2018-05-01,2018-05-07,2018-04-23,2018-04-29,2018-05-06,2018-04-28,2018-05-03,2018-05-08,0.33153,0.3405,0.35476,0.32646,0.38288
spruceT2P11E,DN,1000,rising,gcc_75,2016-04-12,2016-04-19,2016-04-30,2016-04-09,2016-04-18,2016-04-28,2016-04-14,2016-04-22,2016-05-01,0.33256,0.34059,0.3567,0.32687,0.38511
spruceT2P11E,DN,1000,rising,gcc_75,2017-04-06,2017-04-15,2017-04-30,2017-04-04,2017-04-13,2017-04-28,2017-04-09,2017-04-17,2017-05-01,0.33197,0.34244,0.35967,0.32641,0.39186
spruceT2P11E,DN,1000,rising,gcc_75,2018-04-26,2018-05-01,2018-05-08,2018-04-24,2018-04-30,2018-05-06,2018-04-28,2018-05-03,2018-05-09,0.33077,0.33832,0.35437,0.32558,0.38083
spruceT2P11E,DN,1000,rising,gcc_50,2016-04-11,2016-04-19,2016-05-01,2016-04-09,2016-04-17,2016-04-29,2016-04-15,2016-04-23,2016-05-03,0.33033,0.33942,0.35421,0.32548,0.38196
spruceT2P11E,DN,1000,rising,gcc_50,2017-04-07,2017-04-16,2017-05-01,2017-04-04,2017-04-14,2017-04-28,2017-04-10,2017-04-19,2017-05-02,0.33158,0.34097,0.35883,0.32547,0.38962
spruceT2P11E,DN,1000,rising,gcc_50,2018-04-26,2018-05-01,2018-05-08,2018-04-23,2018-04-30,2018-05-06,2018-04-28,2018-05-03,2018-05-09,0.32969,0.33677,0.35137,0.3247,0.37786
spruceT2P11E,DN,1000,rising,gcc_mean,2016-04-11,2016-04-19,2016-05-01,2016-04-09,2016-04-17,2016-04-29,2016-04-14,2016-04-21,2016-05-02,0.33038,0.33924,0.35482,0.32577,0.38144
spruceT2P11E,DN,1000,rising,gcc_mean,2017-04-07,2017-04-15,2017-04-30,2017-04-04,2017-04-14,2017-04-28,2017-04-09,2017-04-18,2017-05-02,0.33167,0.34038,0.35701,0.32556,0.388
spruceT2P11E,DN,1000,rising,gcc_mean,2018-04-25,2018-05-01,2018-05-08,2018-04-23,2018-04-30,2018-05-06,2018-04-28,2018-05-03,2018-05-09,0.32911,0.33689,0.35123,0.32477,0.37698
spruceT2P11E,DN,1000,falling,gcc_90,2018-10-13,2018-10-07,2018-09-25,2018-10-14,2018-10-08,2018-09-28,2018-10-11,2018-10-05,2018-09-22,0.33098,0.33984,0.35466,0.32645,0.38244
spruceT2P11E,DN,1000,falling,gcc_90,2017-09-25,2017-09-13,2017-08-22,2017-09-29,2017-09-16,2017-08-26,2017-09-21,2017-09-09,2017-08-17,0.3439,0.35198,0.36642,0.3385,0.39422
