#
# Transition date estimate for spruceT2P11E
#
# Site: spruceT2P11E
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:50:00
# Spline RMSE gcc_mean: 0.0024
# Spline RMSE gcc_50: 0.00307
# Spline RMSE gcc_75: 0.00306
# Spline RMSE gcc_90: 0.00244
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
spruceT2P11E,EN,1000,rising,gcc_90,2016-03-05,2016-03-10,2016-04-12,2016-03-03,2016-03-09,2016-04-08,2016-03-08,2016-03-13,2016-04-14,0.33927,0.34481,0.35659,0.33557,0.3774
spruceT2P11E,EN,1000,rising,gcc_90,2017-03-22,2017-03-29,2017-04-12,2017-03-18,2017-03-26,2017-04-08,2017-03-25,2017-04-02,2017-05-07,0.34015,0.34595,0.35749,0.33637,0.37778
spruceT2P11E,EN,1000,rising,gcc_90,2018-04-11,2018-04-18,2018-04-28,2018-03-08,2018-04-16,2018-04-25,2018-04-16,2018-04-21,2018-05-01,0.33418,0.33984,0.35012,0.33072,0.36936
spruceT2P11E,EN,1000,rising,gcc_75,2016-03-02,2016-03-11,2016-04-09,2016-02-27,2016-03-08,2016-04-02,2016-03-06,2016-03-15,2016-04-14,0.3378,0.34355,0.35462,0.33386,0.37474
spruceT2P11E,EN,1000,rising,gcc_75,2017-03-19,2017-03-29,2017-04-17,2017-03-13,2017-03-26,2017-04-10,2017-03-24,2017-04-01,2017-05-04,0.33799,0.34411,0.35478,0.33413,0.37506
spruceT2P11E,EN,1000,rising,gcc_75,2018-04-06,2018-04-17,2018-04-30,2018-03-07,2018-04-14,2018-04-26,2018-04-13,2018-04-21,2018-05-03,0.3331,0.33794,0.34818,0.32951,0.36627
spruceT2P11E,EN,1000,rising,gcc_50,2016-03-05,2016-03-10,2016-04-12,2016-03-02,2016-03-08,2016-04-08,2016-03-09,2016-03-14,2016-04-14,0.33639,0.34146,0.35223,0.33298,0.37089
spruceT2P11E,EN,1000,rising,gcc_50,2017-03-20,2017-03-28,2017-04-15,2017-03-14,2017-03-24,2017-04-08,2017-03-25,2017-04-03,2017-05-10,0.3367,0.34226,0.35262,0.33326,0.37154
spruceT2P11E,EN,1000,rising,gcc_50,2018-03-08,2018-04-18,2018-04-29,2018-02-27,2018-04-14,2018-04-24,2018-04-16,2018-04-22,2018-05-02,0.33095,0.33614,0.34629,0.3275,0.36332
spruceT2P11E,EN,1000,rising,gcc_mean,2016-03-05,2016-03-10,2016-04-12,2016-03-02,2016-03-08,2016-04-08,2016-03-08,2016-03-13,2016-04-14,0.33627,0.34144,0.35219,0.33262,0.37046
spruceT2P11E,EN,1000,rising,gcc_mean,2017-03-20,2017-03-28,2017-04-13,2017-03-15,2017-03-24,2017-04-08,2017-03-24,2017-04-01,2017-05-06,0.33687,0.3425,0.352,0.33317,0.37068
spruceT2P11E,EN,1000,rising,gcc_mean,2018-03-08,2018-04-18,2018-04-28,2018-03-01,2018-04-15,2018-04-25,2018-04-15,2018-04-21,2018-05-01,0.33104,0.3365,0.34561,0.32758,0.36355
spruceT2P11E,EN,1000,falling,gcc_90,2018-11-03,2018-10-22,2018-10-08,2018-11-07,2018-10-26,2018-10-11,2018-10-29,2018-10-18,2018-10-04,0.33313,0.33895,0.34896,0.32939,0.36846
spruceT2P11E,EN,1000,falling,gcc_90,2017-11-08,2017-10-29,2017-10-06,2017-11-14,2017-11-01,2017-10-09,2017-11-03,2017-10-22,2017-10-03,0.34258,0.34797,0.35865,0.33877,0.3778
spruceT2P11E,EN,1000,falling,gcc_90,2016-12-02,2016-11-17,2016-11-08,2016-12-06,2016-11-19,2016-11-11,2016-11-21,2016-11-14,2016-10-15,0.33714,0.3438,0.35517,0.33273,0.37759
spruceT2P11E,EN,1000,falling,gcc_90,2015-12-06,2015-11-25,2015-11-12,2015-12-13,2015-11-28,2015-11-17,2015-11-29,2015-11-22,2015-10-17,0.34073,0.3466,0.35651,0.33696,0.37574
spruceT2P11E,EN,1000,falling,gcc_75,2018-11-03,2018-10-23,2018-10-08,2018-11-09,2018-10-27,2018-10-12,2018-10-28,2018-10-19,2018-10-05,0.33101,0.33691,0.34718,0.32754,0.36559
spruceT2P11E,EN,1000,falling,gcc_75,2017-11-09,2017-10-26,2017-10-07,2017-11-14,2017-11-01,2017-10-12,2017-11-03,2017-10-20,2017-10-03,0.34071,0.34666,0.35625,0.33731,0.37481
spruceT2P11E,EN,1000,falling,gcc_75,2016-11-23,2016-11-13,2016-10-25,2016-11-28,2016-11-17,2016-10-31,2016-11-18,2016-11-09,2016-10-19,0.33825,0.34387,0.35419,0.33452,0.37353
spruceT2P11E,EN,1000,falling,gcc_75,2015-12-06,2015-11-26,2015-11-12,2015-12-11,2015-11-30,2015-11-17,2015-12-01,2015-11-22,2015-11-07,0.33934,0.34481,0.35405,0.33594,0.372
spruceT2P11E,EN,1000,falling,gcc_50,2018-11-05,2018-10-23,2018-10-10,2018-11-09,2018-10-31,2018-10-14,2018-10-30,2018-10-17,2018-10-06,0.32905,0.33455,0.34404,0.32559,0.36216
