#
# Transition date estimate for spruceT2P20
#
# Site: spruceT2P20
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:51:40
# Spline RMSE gcc_mean: 0.00344
# Spline RMSE gcc_50: 0.0039
# Spline RMSE gcc_75: 0.00333
# Spline RMSE gcc_90: 0.00338
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
spruceT2P20,SH,1000,rising,gcc_90,2016-05-12,2016-05-19,2016-05-27,2016-05-06,2016-05-18,2016-05-25,2016-05-15,2016-05-21,2016-05-28,0.32742,0.33998,0.36461,0.31856,0.40808
spruceT2P20,SH,1000,rising,gcc_90,2017-05-08,2017-05-20,2017-05-29,2017-05-06,2017-05-19,2017-05-27,2017-05-11,2017-05-22,2017-05-30,0.33364,0.34529,0.36757,0.32561,0.40672
spruceT2P20,SH,1000,rising,gcc_90,2018-05-25,2018-05-29,2018-06-06,2018-05-24,2018-05-28,2018-06-03,2018-05-27,2018-05-31,2018-06-07,0.32419,0.3332,0.35042,0.31876,0.37939
spruceT2P20,SH,1000,rising,gcc_75,2016-05-11,2016-05-19,2016-05-26,2016-05-05,2016-05-18,2016-05-25,2016-05-15,2016-05-21,2016-05-27,0.32534,0.33723,0.36005,0.31752,0.40235
spruceT2P20,SH,1000,rising,gcc_75,2017-05-08,2017-05-19,2017-05-29,2017-05-06,2017-05-18,2017-05-27,2017-05-11,2017-05-21,2017-05-30,0.33187,0.34272,0.36365,0.32444,0.40136
spruceT2P20,SH,1000,rising,gcc_75,2018-05-25,2018-05-29,2018-06-06,2018-05-24,2018-05-28,2018-06-03,2018-05-27,2018-05-31,2018-06-07,0.32222,0.33104,0.34826,0.31836,0.37492
spruceT2P20,SH,1000,rising,gcc_50,2016-05-07,2016-05-19,2016-05-26,2016-05-03,2016-05-18,2016-05-24,2016-05-14,2016-05-20,2016-05-27,0.32325,0.3356,0.35885,0.31542,0.39647
spruceT2P20,SH,1000,rising,gcc_50,2017-05-07,2017-05-19,2017-05-29,2017-05-04,2017-05-17,2017-05-27,2017-05-11,2017-05-21,2017-05-30,0.32984,0.34126,0.36069,0.3233,0.3958
spruceT2P20,SH,1000,rising,gcc_50,2018-05-25,2018-05-28,2018-06-05,2018-05-23,2018-05-27,2018-06-02,2018-05-27,2018-05-31,2018-06-07,0.3207,0.32758,0.34413,0.31517,0.37138
spruceT2P20,SH,1000,rising,gcc_mean,2016-05-07,2016-05-18,2016-05-26,2016-05-03,2016-05-17,2016-05-24,2016-05-13,2016-05-20,2016-05-27,0.32337,0.33363,0.35912,0.31526,0.39702
spruceT2P20,SH,1000,rising,gcc_mean,2017-05-07,2017-05-18,2017-05-28,2017-05-05,2017-05-16,2017-05-26,2017-05-10,2017-05-20,2017-05-29,0.32965,0.3405,0.35958,0.32295,0.39455
spruceT2P20,SH,1000,rising,gcc_mean,2018-05-24,2018-05-28,2018-06-04,2018-05-23,2018-05-27,2018-06-02,2018-05-26,2018-05-30,2018-06-06,0.31789,0.3275,0.34283,0.31368,0.37107
spruceT2P20,SH,1000,falling,gcc_90,2018-10-28,2018-10-22,2018-10-14,2018-10-30,2018-10-23,2018-10-16,2018-10-25,2018-10-20,2018-10-13,0.32826,0.33604,0.35159,0.3236,0.3772
spruceT2P20,SH,1000,falling,gcc_90,2017-11-20,2017-10-30,2017-10-18,2017-11-22,2017-10-31,2017-10-20,2017-11-15,2017-10-28,2017-10-16,0.3319,0.3427,0.36451,0.32447,0.40412
spruceT2P20,SH,1000,falling,gcc_90,2016-11-07,2016-10-29,2016-10-14,2016-11-22,2016-10-30,2016-10-17,2016-11-04,2016-10-26,2016-10-13,0.33463,0.34574,0.36858,0.32671,0.40729
spruceT2P20,SH,1000,falling,gcc_90,2015-11-09,2015-10-30,2015-10-14,2015-11-11,2015-11-02,2015-10-16,2015-11-07,2015-10-27,2015-10-13,0.33172,0.34254,0.36059,0.325,0.39592
spruceT2P20,SH,1000,falling,gcc_75,2018-10-27,2018-10-21,2018-10-14,2018-10-30,2018-10-23,2018-10-16,2018-10-24,2018-10-19,2018-10-13,0.32765,0.33523,0.34997,0.32271,0.37338
spruceT2P20,SH,1000,falling,gcc_75,2017-11-20,2017-10-30,2017-10-17,2017-11-22,2017-10-31,2017-10-20,2017-11-16,2017-10-27,2017-10-16,0.33101,0.34157,0.36291,0.32383,0.39982
spruceT2P20,SH,1000,falling,gcc_75,2016-11-06,2016-10-29,2016-10-14,2016-11-08,2016-10-31,2016-10-17,2016-11-04,2016-10-27,2016-10-13,0.33361,0.34493,0.3652,0.32624,0.40251
spruceT2P20,SH,1000,falling,gcc_75,2015-11-09,2015-10-30,2015-10-15,2015-11-11,2015-11-02,2015-10-17,2015-11-06,2015-10-27,2015-10-14,0.32995,0.3406,0.35776,0.32395,0.39152
spruceT2P20,SH,1000,falling,gcc_50,2018-10-28,2018-10-22,2018-10-15,2018-10-31,2018-10-23,2018-10-17,2018-10-24,2018-10-19,2018-10-14,0.3256,0.33191,0.34587,0.3213,0.36984
spruceT2P20,SH,1000,falling,gcc_50,2018-03-04,2017-11-18,2017-10-22,2018-03-05,2017-11-20,2017-10-24,2018-03-01,2017-11-04,2017-10-20,0.31853,0.33163,0.3525,0.31177,0.39294
spruceT2P20,SH,1000,falling,gcc_50,2016-11-06,2016-10-30,2016-10-16,2016-11-09,2016-11-01,2016-10-19,2016-11-04,2016-10-27,2016-10-14,0.33233,0.34218,0.36106,0.3255,0.39537
spruceT2P20,SH,1000,falling,gcc_50,2015-11-08,2015-10-31,2015-10-16,2015-11-10,2015-11-02,2015-10-18,2015-11-05,2015-10-26,2015-10-14,0.3294,0.33816,0.35528,0.32322,0.38639
spruceT2P20,SH,1000,falling,gcc_mean,2018-10-28,2018-10-22,2018-10-15,2018-10-31,2018-10-23,2018-10-17,2018-10-27,2018-10-20,2018-10-14,0.32563,0.33254,0.34639,0.32077,0.37035
spruceT2P20,SH,1000,falling,gcc_mean,2018-03-03,2017-11-17,2017-10-22,2018-03-05,2017-11-20,2017-10-24,2018-03-01,2017-11-06,2017-10-21,0.31934,0.33172,0.35337,0.31106,0.3939
spruceT2P20,SH,1000,falling,gcc_mean,2016-11-07,2016-10-30,2016-10-16,2016-11-10,2016-11-01,2016-10-18,2016-11-04,2016-10-27,2016-10-14,0.33198,0.34256,0.36147,0.3254,0.39686
spruceT2P20,SH,1000,falling,gcc_mean,2015-11-09,2015-10-31,2015-10-16,2015-11-11,2015-11-02,2015-10-18,2015-11-06,2015-10-27,2015-10-15,0.32879,0.33826,0.35533,0.32298,0.38625
