#
# Transition date estimate for spruceT9P10E
#
# Site: spruceT9P10E
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:56:16
# Spline RMSE gcc_mean: 0.00391
# Spline RMSE gcc_50: 0.00352
# Spline RMSE gcc_75: 0.00317
# Spline RMSE gcc_90: 0.00411
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
spruceT9P10E,SH,1000,rising,gcc_90,2016-04-23,2016-05-01,2016-05-13,2016-04-21,2016-04-30,2016-05-10,2016-04-26,2016-05-03,2016-05-14,0.32989,0.34727,0.37978,0.31953,0.43549
spruceT9P10E,SH,1000,rising,gcc_90,2017-04-27,2017-05-04,2017-05-14,2017-04-24,2017-05-03,2017-05-11,2017-04-30,2017-05-06,2017-05-15,0.33854,0.35159,0.37934,0.32915,0.42454
spruceT9P10E,SH,1000,rising,gcc_90,2018-05-17,2018-05-22,2018-05-31,2018-05-16,2018-05-21,2018-05-29,2018-05-19,2018-05-24,2018-06-01,0.31296,0.32993,0.36043,0.30338,0.41497
spruceT9P10E,SH,1000,rising,gcc_75,2016-04-24,2016-05-01,2016-05-12,2016-04-21,2016-04-29,2016-05-10,2016-04-26,2016-05-03,2016-05-13,0.32876,0.34481,0.37353,0.31812,0.42607
spruceT9P10E,SH,1000,rising,gcc_75,2017-04-27,2017-05-04,2017-05-12,2017-04-24,2017-05-03,2017-05-10,2017-04-30,2017-05-06,2017-05-13,0.33577,0.34749,0.37131,0.32778,0.4139
spruceT9P10E,SH,1000,rising,gcc_75,2018-05-18,2018-05-22,2018-05-30,2018-05-17,2018-05-21,2018-05-28,2018-05-19,2018-05-23,2018-05-31,0.31123,0.3271,0.35635,0.30107,0.40708
spruceT9P10E,SH,1000,rising,gcc_50,2016-04-23,2016-05-01,2016-05-12,2016-04-19,2016-04-29,2016-05-10,2016-04-26,2016-05-03,2016-05-14,0.3253,0.34096,0.36817,0.31492,0.42139
spruceT9P10E,SH,1000,rising,gcc_50,2017-04-25,2017-05-04,2017-05-12,2017-04-20,2017-05-02,2017-05-10,2017-04-29,2017-05-06,2017-05-13,0.33201,0.34431,0.36744,0.32423,0.40774
spruceT9P10E,SH,1000,rising,gcc_50,2018-05-18,2018-05-22,2018-05-29,2018-05-17,2018-05-21,2018-05-27,2018-05-20,2018-05-23,2018-05-30,0.3044,0.32103,0.34906,0.29582,0.3989
spruceT9P10E,SH,1000,rising,gcc_mean,2016-04-22,2016-04-30,2016-05-13,2016-04-20,2016-04-29,2016-05-10,2016-04-26,2016-05-03,2016-05-14,0.32357,0.33926,0.36889,0.31402,0.42072
spruceT9P10E,SH,1000,rising,gcc_mean,2017-04-24,2017-05-03,2017-05-12,2017-04-18,2017-05-02,2017-05-10,2017-04-28,2017-05-05,2017-05-13,0.33144,0.34285,0.36795,0.32308,0.4074
spruceT9P10E,SH,1000,rising,gcc_mean,2018-05-17,2018-05-21,2018-05-29,2018-05-16,2018-05-20,2018-05-27,2018-05-19,2018-05-23,2018-05-30,0.30016,0.3168,0.34963,0.29396,0.39969
