#
# Transition date estimate for spruceT9P17
#
# Site: spruceT9P17
# Veg Type: DN
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:56:52
# Spline RMSE gcc_mean: 0.00233
# Spline RMSE gcc_50: 0.00287
# Spline RMSE gcc_75: 0.00222
# Spline RMSE gcc_90: 0.00258
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
spruceT9P17,DN,1000,rising,gcc_90,2016-03-26,2016-03-31,2016-04-24,2016-03-25,2016-03-30,2016-04-20,2016-03-28,2016-04-02,2016-04-28,0.33413,0.34052,0.35097,0.33062,0.37082
spruceT9P17,DN,1000,rising,gcc_90,2017-04-02,2017-04-08,2017-04-16,2017-04-01,2017-04-07,2017-04-14,2017-04-04,2017-04-09,2017-04-17,0.33427,0.34547,0.3651,0.32808,0.39982
spruceT9P17,DN,1000,rising,gcc_90,2018-04-25,2018-04-29,2018-05-05,2018-04-24,2018-04-28,2018-05-03,2018-04-27,2018-04-30,2018-05-06,0.33352,0.34187,0.35527,0.3297,0.37921
spruceT9P17,DN,1000,rising,gcc_75,2016-04-14,2016-04-19,2016-05-03,2016-04-13,2016-04-16,2016-04-30,2016-04-15,2016-04-23,2016-05-08,0.34103,0.34731,0.35533,0.33985,0.37005
spruceT9P17,DN,1000,rising,gcc_75,2017-04-02,2017-04-08,2017-04-16,2017-04-01,2017-04-07,2017-04-14,2017-04-04,2017-04-10,2017-04-17,0.33375,0.34494,0.36412,0.32737,0.39885
spruceT9P17,DN,1000,rising,gcc_75,2018-04-26,2018-04-29,2018-05-05,2018-04-25,2018-04-28,2018-05-03,2018-04-28,2018-05-01,2018-05-06,0.33351,0.33983,0.35456,0.33038,0.37806
spruceT9P17,DN,1000,rising,gcc_50,2016-03-26,2016-04-01,2016-04-25,2016-03-25,2016-03-30,2016-04-21,2016-03-29,2016-04-04,2016-04-29,0.33307,0.33961,0.34976,0.33,0.36898
spruceT9P17,DN,1000,rising,gcc_50,2017-04-02,2017-04-08,2017-04-16,2017-04-01,2017-04-07,2017-04-14,2017-04-04,2017-04-10,2017-04-17,0.33299,0.34328,0.36232,0.32681,0.39567
spruceT9P17,DN,1000,rising,gcc_50,2018-04-25,2018-04-29,2018-05-05,2018-04-24,2018-04-28,2018-05-04,2018-04-27,2018-05-01,2018-05-06,0.33165,0.33935,0.35241,0.3282,0.37619
spruceT9P17,DN,1000,rising,gcc_mean,2016-03-27,2016-04-13,2016-04-23,2016-03-25,2016-03-29,2016-04-20,2016-03-29,2016-04-14,2016-05-01,0.33363,0.33887,0.34942,0.33006,0.36825
spruceT9P17,DN,1000,rising,gcc_mean,2017-04-01,2017-04-07,2017-04-16,2017-03-30,2017-04-06,2017-04-14,2017-04-03,2017-04-09,2017-04-17,0.33176,0.34183,0.36262,0.32532,0.39505
spruceT9P17,DN,1000,rising,gcc_mean,2018-04-26,2018-04-29,2018-05-05,2018-04-25,2018-04-28,2018-05-03,2018-04-28,2018-05-01,2018-05-06,0.33267,0.33919,0.35349,0.3295,0.37662
spruceT9P17,DN,1000,falling,gcc_90,2018-10-27,2018-10-23,2018-10-17,2018-10-29,2018-10-24,2018-10-19,2018-10-25,2018-10-22,2018-10-16,0.33228,0.33972,0.35464,0.32712,0.3793
spruceT9P17,DN,1000,falling,gcc_90,2017-11-08,2017-11-03,2017-10-24,2017-11-09,2017-11-04,2017-10-26,2017-11-06,2017-11-01,2017-10-23,0.33563,0.34508,0.36498,0.32883,0.39804
spruceT9P17,DN,1000,falling,gcc_90,2016-11-10,2016-11-06,2016-11-01,2016-11-11,2016-11-07,2016-11-02,2016-11-08,2016-11-05,2016-10-31,0.33198,0.33902,0.35019,0.32848,0.37136
spruceT9P17,DN,1000,falling,gcc_90,2015-10-30,2015-10-28,2015-10-23,2015-10-31,2015-10-29,2015-10-24,2015-10-29,2015-10-27,2015-10-21,0.34163,0.34894,0.36231,0.33677,0.38781
spruceT9P17,DN,1000,falling,gcc_75,2018-10-26,2018-10-23,2018-10-17,2018-10-28,2018-10-24,2018-10-19,2018-10-25,2018-10-21,2018-10-16,0.33172,0.33881,0.35479,0.32658,0.37892
spruceT9P17,DN,1000,falling,gcc_75,2017-11-08,2017-11-03,2017-10-24,2017-11-09,2017-11-04,2017-10-26,2017-11-06,2017-11-02,2017-10-23,0.3338,0.34527,0.36445,0.328,0.3972
spruceT9P17,DN,1000,falling,gcc_75,2016-11-10,2016-11-05,2016-11-01,2016-11-12,2016-11-06,2016-11-03,2016-11-06,2016-11-04,2016-10-31,0.33253,0.33897,0.35127,0.32889,0.36999
spruceT9P17,DN,1000,falling,gcc_75,2015-11-01,2015-10-29,2015-10-24,2015-11-02,2015-10-30,2015-10-26,2015-10-31,2015-10-28,2015-10-23,0.33599,0.3441,0.36145,0.33029,0.38872
spruceT9P17,DN,1000,falling,gcc_50,2018-10-27,2018-10-23,2018-10-17,2018-10-29,2018-10-24,2018-10-19,2018-10-25,2018-10-22,2018-10-16,0.33071,0.33789,0.35291,0.32573,0.37595
spruceT9P17,DN,1000,falling,gcc_50,2017-11-08,2017-11-03,2017-10-24,2017-11-09,2017-11-04,2017-10-27,2017-11-06,2017-11-02,2017-10-23,0.33401,0.34403,0.36261,0.32732,0.39519
spruceT9P17,DN,1000,falling,gcc_50,2016-11-09,2016-11-06,2016-11-01,2016-11-10,2016-11-07,2016-11-03,2016-11-07,2016-11-05,2016-10-31,0.33117,0.33719,0.3491,0.32732,0.36852
spruceT9P17,DN,1000,falling,gcc_50,2015-10-31,2015-10-29,2015-10-23,2015-11-01,2015-10-30,2015-10-25,2015-10-29,2015-10-27,2015-10-22,0.33777,0.34341,0.36053,0.3344,0.38222
spruceT9P17,DN,1000,falling,gcc_mean,2018-10-27,2018-10-23,2018-10-17,2018-10-28,2018-10-24,2018-10-19,2018-10-25,2018-10-21,2018-10-16,0.32948,0.3379,0.35351,0.32574,0.3766
spruceT9P17,DN,1000,falling,gcc_mean,2017-11-08,2017-11-04,2017-10-24,2017-11-09,2017-11-05,2017-10-26,2017-11-06,2017-11-02,2017-10-23,0.33295,0.34266,0.36279,0.32729,0.39502
