#
# Transition date estimate for spruceT9P17
#
# Site: spruceT9P17
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:56:50
# Spline RMSE gcc_mean: 0.00244
# Spline RMSE gcc_50: 0.00315
# Spline RMSE gcc_75: 0.00295
# Spline RMSE gcc_90: 0.00274
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
spruceT9P17,EN,1000,rising,gcc_90,2017-04-02,2017-04-30,2017-05-11,2017-03-26,2017-04-26,2017-05-08,2017-04-12,2017-05-04,2017-05-12,0.34501,0.35107,0.36331,0.34106,0.38281
spruceT9P17,EN,1000,rising,gcc_90,2018-04-21,2018-05-04,2018-05-22,2018-04-13,2018-04-24,2018-05-17,2018-04-29,2018-05-15,2018-05-26,0.34373,0.34723,0.35275,0.34172,0.36378
spruceT9P17,EN,1000,rising,gcc_75,2017-04-02,2017-04-30,2017-05-10,2017-03-25,2017-04-25,2017-05-08,2017-04-16,2017-05-04,2017-05-12,0.34406,0.34968,0.3601,0.34042,0.37947
spruceT9P17,EN,1000,rising,gcc_75,2018-04-21,2018-05-03,2018-05-23,2018-03-07,2018-04-23,2018-05-16,2018-04-30,2018-05-16,2018-05-29,0.34297,0.34609,0.35144,0.34107,0.3616
spruceT9P17,EN,1000,rising,gcc_50,2017-03-31,2017-04-30,2017-05-10,2017-03-21,2017-04-23,2017-05-07,2017-04-15,2017-05-04,2017-05-12,0.34272,0.34804,0.35818,0.33908,0.37634
spruceT9P17,EN,1000,rising,gcc_50,2018-04-21,2018-05-09,2018-05-25,2018-03-07,2018-04-22,2018-05-18,2018-05-09,2018-05-19,2018-05-30,0.34191,0.34477,0.35003,0.34022,0.35898
spruceT9P17,EN,1000,rising,gcc_mean,2017-03-31,2017-05-01,2017-05-10,2017-03-23,2017-04-17,2017-05-08,2017-04-12,2017-05-05,2017-05-12,0.34292,0.34833,0.35738,0.33938,0.37536
spruceT9P17,EN,1000,falling,gcc_90,2018-11-11,2018-11-02,2018-10-15,2018-11-21,2018-11-07,2018-10-22,2018-11-04,2018-10-27,2018-10-07,0.33945,0.34311,0.34995,0.33697,0.3629
spruceT9P17,EN,1000,falling,gcc_90,2017-11-25,2017-11-11,2017-10-23,2017-12-01,2017-11-16,2017-10-31,2017-11-17,2017-11-06,2017-10-10,0.35045,0.35555,0.36428,0.34724,0.38111
spruceT9P17,EN,1000,falling,gcc_90,2016-12-03,2016-11-21,2016-10-24,2016-12-04,2016-11-22,2016-10-25,2016-11-29,2016-11-11,2016-10-01,0.34325,0.34909,0.35892,0.33949,0.37832
spruceT9P17,EN,1000,falling,gcc_75,2018-11-12,2018-11-02,2018-10-15,2018-11-23,2018-11-09,2018-10-22,2018-11-05,2018-10-26,2018-10-08,0.33864,0.34243,0.34865,0.33633,0.36094
spruceT9P17,EN,1000,falling,gcc_75,2017-11-24,2017-11-11,2017-10-14,2017-12-01,2017-11-17,2017-10-31,2017-11-16,2017-11-06,2017-10-05,0.34998,0.35467,0.36299,0.34676,0.37914
spruceT9P17,EN,1000,falling,gcc_75,2016-12-03,2016-11-16,2016-10-24,2016-12-04,2016-11-17,2016-10-25,2016-11-29,2016-11-07,2016-09-28,0.34282,0.34855,0.35822,0.33933,0.37685
spruceT9P17,EN,1000,falling,gcc_50,2018-11-13,2018-11-03,2018-10-15,2018-11-26,2018-11-10,2018-10-24,2018-11-05,2018-10-25,2018-10-09,0.33743,0.34113,0.34704,0.3354,0.35837
spruceT9P17,EN,1000,falling,gcc_50,2017-11-28,2017-11-16,2017-10-17,2017-12-05,2017-11-22,2017-11-05,2017-11-19,2017-11-09,2017-10-08,0.34668,0.35091,0.3583,0.34417,0.37234
spruceT9P17,EN,1000,falling,gcc_50,2016-12-04,2016-11-27,2016-10-28,2016-12-05,2016-11-28,2016-10-29,2016-11-30,2016-11-08,2016-10-01,0.34144,0.34618,0.3545,0.33819,0.37072
spruceT9P17,EN,1000,falling,gcc_mean,2017-11-25,2017-11-14,2017-10-26,2017-12-02,2017-11-20,2017-11-03,2017-11-24,2017-11-13,2017-10-07,0.34691,0.35157,0.35937,0.34397,0.37464
spruceT9P17,EN,1000,falling,gcc_mean,2016-12-05,2016-11-27,2016-10-27,2016-12-06,2016-11-28,2016-10-28,2016-12-01,2016-11-08,2016-10-02,0.34079,0.34596,0.35489,0.33771,0.37155
