#
# Transition date estimate for sweetbriar
#
# Site: sweetbriar
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2014
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:58:12
# Spline RMSE gcc_mean: 0.00347
# Spline RMSE gcc_50: 0.00375
# Spline RMSE gcc_75: 0.00456
# Spline RMSE gcc_90: 0.00451
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
sweetbriar,DB,1000,rising,gcc_90,2015-04-06,2015-04-10,2015-04-16,2015-04-05,2015-04-09,2015-04-14,2015-04-08,2015-04-12,2015-04-17,0.3364,0.34463,0.36503,0.33105,0.39325
sweetbriar,DB,1000,rising,gcc_90,2016-03-25,2016-03-30,2016-04-12,2016-03-23,2016-03-29,2016-04-09,2016-03-27,2016-04-02,2016-04-13,0.33836,0.34617,0.36275,0.33272,0.39112
sweetbriar,DB,1000,rising,gcc_90,2017-04-01,2017-04-06,2017-04-11,2017-03-30,2017-04-05,2017-04-09,2017-04-04,2017-04-07,2017-04-12,0.33674,0.34514,0.36141,0.33199,0.38688
sweetbriar,DB,1000,rising,gcc_90,2018-04-10,2018-04-16,2018-04-23,2018-04-09,2018-04-15,2018-04-21,2018-04-13,2018-04-18,2018-04-24,0.33624,0.34606,0.3626,0.33155,0.39107
sweetbriar,DB,1000,rising,gcc_75,2015-04-06,2015-04-10,2015-04-15,2015-04-04,2015-04-09,2015-04-14,2015-04-08,2015-04-12,2015-04-16,0.33567,0.34374,0.36025,0.33012,0.38928
sweetbriar,DB,1000,rising,gcc_75,2016-03-25,2016-03-30,2016-04-11,2016-03-23,2016-03-28,2016-04-08,2016-03-27,2016-04-01,2016-04-13,0.33734,0.34535,0.36053,0.33192,0.38752
sweetbriar,DB,1000,rising,gcc_75,2017-04-01,2017-04-05,2017-04-11,2017-03-30,2017-04-04,2017-04-09,2017-04-03,2017-04-07,2017-04-12,0.33598,0.34215,0.36028,0.33112,0.38359
sweetbriar,DB,1000,rising,gcc_75,2018-04-10,2018-04-15,2018-04-23,2018-04-09,2018-04-14,2018-04-21,2018-04-13,2018-04-18,2018-04-24,0.33533,0.34337,0.36107,0.33082,0.38786
sweetbriar,DB,1000,rising,gcc_50,2015-04-06,2015-04-10,2015-04-15,2015-04-03,2015-04-08,2015-04-14,2015-04-08,2015-04-12,2015-04-16,0.33379,0.34224,0.35705,0.32872,0.38409
sweetbriar,DB,1000,rising,gcc_50,2016-03-25,2016-03-29,2016-04-11,2016-03-22,2016-03-28,2016-04-03,2016-03-28,2016-03-31,2016-04-12,0.33584,0.34259,0.35692,0.33109,0.3805
sweetbriar,DB,1000,rising,gcc_50,2017-04-01,2017-04-05,2017-04-10,2017-03-27,2017-04-03,2017-04-08,2017-04-03,2017-04-07,2017-04-11,0.33438,0.34133,0.35314,0.32994,0.37558
sweetbriar,DB,1000,rising,gcc_50,2018-04-12,2018-04-14,2018-04-23,2018-04-10,2018-04-13,2018-04-18,2018-04-14,2018-04-16,2018-04-25,0.33499,0.34073,0.35584,0.33002,0.38078
sweetbriar,DB,1000,rising,gcc_mean,2015-04-06,2015-04-09,2015-04-15,2015-04-03,2015-04-08,2015-04-13,2015-04-08,2015-04-12,2015-04-16,0.33393,0.34015,0.3569,0.32873,0.38239
sweetbriar,DB,1000,rising,gcc_mean,2016-03-24,2016-03-29,2016-04-10,2016-03-22,2016-03-27,2016-04-02,2016-03-27,2016-03-31,2016-04-12,0.33514,0.3425,0.35475,0.33112,0.37819
sweetbriar,DB,1000,rising,gcc_mean,2017-03-31,2017-04-05,2017-04-10,2017-03-28,2017-04-03,2017-04-08,2017-04-03,2017-04-07,2017-04-11,0.3336,0.34103,0.35279,0.3301,0.374
sweetbriar,DB,1000,rising,gcc_mean,2018-04-11,2018-04-14,2018-04-21,2018-04-10,2018-04-13,2018-04-18,2018-04-13,2018-04-16,2018-04-23,0.33352,0.34093,0.35505,0.33021,0.37868
sweetbriar,DB,1000,falling,gcc_90,2018-11-04,2018-10-31,2018-10-23,2018-11-06,2018-11-01,2018-10-26,2018-11-02,2018-10-29,2018-10-21,0.33577,0.34099,0.3539,0.33141,0.37502
sweetbriar,DB,1000,falling,gcc_90,2017-11-09,2017-11-05,2017-10-29,2017-11-11,2017-11-06,2017-10-31,2017-11-07,2017-11-03,2017-10-28,0.33613,0.34368,0.35732,0.33148,0.38168
sweetbriar,DB,1000,falling,gcc_90,2016-11-08,2016-11-02,2016-10-23,2016-11-11,2016-11-04,2016-10-26,2016-11-05,2016-10-31,2016-10-21,0.34017,0.34669,0.35841,0.33628,0.37896
sweetbriar,DB,1000,falling,gcc_90,2015-11-01,2015-10-27,2015-10-19,2015-11-03,2015-10-29,2015-10-21,2015-10-29,2015-10-25,2015-10-17,0.33672,0.34453,0.358,0.33197,0.38255
sweetbriar,DB,1000,falling,gcc_90,2014-11-02,2014-10-30,2014-10-23,2014-11-04,2014-10-31,2014-10-25,2014-10-31,2014-10-27,2014-10-22,0.33497,0.33965,0.35157,0.33134,0.37048
sweetbriar,DB,1000,falling,gcc_75,2018-11-05,2018-10-31,2018-10-24,2018-11-07,2018-11-02,2018-10-27,2018-11-02,2018-10-29,2018-10-22,0.33388,0.34011,0.35134,0.33096,0.37078
sweetbriar,DB,1000,falling,gcc_75,2017-11-09,2017-11-06,2017-10-29,2017-11-11,2017-11-07,2017-10-31,2017-11-07,2017-11-03,2017-10-28,0.33562,0.34123,0.3562,0.33098,0.37844
sweetbriar,DB,1000,falling,gcc_75,2016-11-10,2016-11-03,2016-10-25,2016-11-12,2016-11-05,2016-10-28,2016-11-06,2016-11-01,2016-10-22,0.33793,0.34478,0.35526,0.33465,0.37576
sweetbriar,DB,1000,falling,gcc_75,2015-11-01,2015-10-28,2015-10-19,2015-11-04,2015-10-29,2015-10-22,2015-10-30,2015-10-26,2015-10-18,0.33593,0.34193,0.35676,0.3311,0.3796
sweetbriar,DB,1000,falling,gcc_75,2014-11-02,2014-10-30,2014-10-23,2014-11-04,2014-10-31,2014-10-26,2014-10-31,2014-10-27,2014-10-22,0.33433,0.33899,0.3505,0.33071,0.36863
sweetbriar,DB,1000,falling,gcc_50,2018-11-04,2018-11-01,2018-10-24,2018-11-07,2018-11-03,2018-10-27,2018-11-01,2018-10-29,2018-10-23,0.33263,0.33798,0.34859,0.32985,0.36466
sweetbriar,DB,1000,falling,gcc_50,2017-11-09,2017-11-05,2017-10-31,2017-11-12,2017-11-07,2017-11-02,2017-11-06,2017-11-03,2017-10-29,0.3338,0.34039,0.35233,0.32939,0.37387
sweetbriar,DB,1000,falling,gcc_50,2016-11-09,2016-11-01,2016-10-27,2016-11-11,2016-11-04,2016-10-29,2016-11-03,2016-10-30,2016-10-17,0.3386,0.3441,0.35383,0.33606,0.37094
sweetbriar,DB,1000,falling,gcc_50,2015-11-03,2015-10-28,2015-10-21,2015-11-04,2015-11-01,2015-10-23,2015-10-31,2015-10-25,2015-10-20,0.33304,0.34014,0.35371,0.3297,0.37316
sweetbriar,DB,1000,falling,gcc_50,2014-10-30,2014-10-27,2014-10-23,2014-11-04,2014-10-29,2014-10-25,2014-10-27,2014-10-25,2014-10-22,0.3355,0.34083,0.34997,0.33281,0.36531
sweetbriar,DB,1000,falling,gcc_mean,2018-11-04,2018-11-01,2018-10-25,2018-11-06,2018-11-03,2018-10-28,2018-11-02,2018-10-30,2018-10-23,0.33257,0.33802,0.34696,0.32997,0.36333
sweetbriar,DB,1000,falling,gcc_mean,2017-11-10,2017-11-06,2017-10-31,2017-11-12,2017-11-07,2017-11-02,2017-11-07,2017-11-04,2017-10-30,0.33285,0.33804,0.35207,0.32915,0.37222
sweetbriar,DB,1000,falling,gcc_mean,2016-11-09,2016-11-01,2016-10-27,2016-11-12,2016-11-05,2016-10-29,2016-11-04,2016-10-30,2016-10-18,0.33866,0.34404,0.35332,0.33572,0.36984
sweetbriar,DB,1000,falling,gcc_mean,2015-11-03,2015-10-28,2015-10-22,2015-11-04,2015-11-01,2015-10-24,2015-11-01,2015-10-25,2015-10-21,0.33321,0.34022,0.35122,0.33,0.37125
sweetbriar,DB,1000,falling,gcc_mean,2014-10-30,2014-10-28,2014-10-23,2014-11-04,2014-10-29,2014-10-25,2014-10-27,2014-10-25,2014-10-22,0.33553,0.33834,0.3497,0.33289,0.36478
