#
# Transition date estimate for sweetbriargrass
#
# Site: sweetbriargrass
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:58:22
# Spline RMSE gcc_mean: 0.00183
# Spline RMSE gcc_50: 0.00183
# Spline RMSE gcc_75: 0.00207
# Spline RMSE gcc_90: 0.00233
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
sweetbriargrass,AG,1000,rising,gcc_90,2016-04-16,2016-04-19,2016-04-23,2016-04-14,2016-04-18,2016-04-21,2016-04-18,2016-04-20,2016-04-24,0.36424,0.37141,0.38556,0.35966,0.40931
sweetbriargrass,AG,1000,rising,gcc_90,2017-03-19,2017-03-23,2017-03-30,2017-03-02,2017-03-22,2017-03-28,2017-03-22,2017-03-25,2017-03-31,0.36251,0.36863,0.38482,0.35824,0.40883
sweetbriargrass,AG,1000,rising,gcc_90,2018-03-31,2018-04-16,2018-04-27,2018-03-24,2018-04-14,2018-04-25,2018-04-06,2018-04-19,2018-04-28,0.34212,0.35315,0.37514,0.33461,0.41204
sweetbriargrass,AG,1000,rising,gcc_75,2016-04-16,2016-04-19,2016-04-24,2016-04-14,2016-04-18,2016-04-22,2016-04-18,2016-04-20,2016-04-25,0.36207,0.36905,0.38522,0.3571,0.40711
sweetbriargrass,AG,1000,rising,gcc_75,2017-02-23,2017-03-04,2017-03-27,2017-02-22,2017-03-01,2017-03-25,2017-02-25,2017-03-20,2017-03-28,0.34773,0.35829,0.37608,0.34234,0.40668
sweetbriargrass,AG,1000,rising,gcc_75,2018-03-30,2018-04-16,2018-04-27,2018-03-25,2018-04-14,2018-04-25,2018-04-05,2018-04-19,2018-04-28,0.3411,0.35191,0.37264,0.33396,0.40902
sweetbriargrass,AG,1000,rising,gcc_50,2016-04-16,2016-04-19,2016-04-24,2016-04-15,2016-04-18,2016-04-22,2016-04-18,2016-04-21,2016-04-25,0.36026,0.36655,0.38234,0.35602,0.40475
sweetbriargrass,AG,1000,rising,gcc_50,2017-02-23,2017-03-05,2017-03-27,2017-02-22,2017-03-01,2017-03-25,2017-02-26,2017-03-20,2017-03-28,0.3463,0.35712,0.37376,0.34176,0.40334
sweetbriargrass,AG,1000,rising,gcc_50,2018-03-28,2018-04-16,2018-04-28,2018-03-22,2018-04-14,2018-04-26,2018-04-02,2018-04-19,2018-04-29,0.33971,0.35014,0.37203,0.33257,0.40632
sweetbriargrass,AG,1000,rising,gcc_mean,2016-04-16,2016-04-19,2016-04-24,2016-04-15,2016-04-18,2016-04-22,2016-04-18,2016-04-21,2016-04-25,0.36024,0.36659,0.38251,0.35602,0.40389
sweetbriargrass,AG,1000,rising,gcc_mean,2017-02-23,2017-03-03,2017-03-27,2017-02-22,2017-03-01,2017-03-25,2017-02-26,2017-03-19,2017-03-28,0.3462,0.35652,0.37359,0.34152,0.40373
sweetbriargrass,AG,1000,rising,gcc_mean,2018-03-29,2018-04-16,2018-04-28,2018-03-24,2018-04-14,2018-04-26,2018-04-03,2018-04-19,2018-04-29,0.33985,0.35043,0.37221,0.33263,0.40715
sweetbriargrass,AG,1000,falling,gcc_90,2018-08-21,2018-08-10,2018-07-24,2018-08-24,2018-08-12,2018-07-28,2018-08-16,2018-08-07,2018-07-21,0.35023,0.35973,0.37823,0.3441,0.41102
sweetbriargrass,AG,1000,falling,gcc_90,2017-11-13,2017-11-07,2017-10-24,2017-11-14,2017-11-08,2017-10-25,2017-11-11,2017-11-04,2017-10-23,0.34157,0.35104,0.36844,0.3358,0.3979
sweetbriargrass,AG,1000,falling,gcc_90,2016-08-17,2016-08-09,2016-07-20,2016-08-20,2016-08-11,2016-07-24,2016-08-16,2016-08-07,2016-07-19,0.34936,0.3601,0.37841,0.34308,0.41145
sweetbriargrass,AG,1000,falling,gcc_75,2018-08-22,2018-08-09,2018-07-24,2018-08-25,2018-08-11,2018-07-28,2018-08-17,2018-08-07,2018-07-22,0.34821,0.35835,0.37578,0.34199,0.40862
sweetbriargrass,AG,1000,falling,gcc_75,2017-11-13,2017-11-07,2017-10-24,2017-11-14,2017-11-08,2017-10-25,2017-11-11,2017-11-04,2017-10-23,0.33996,0.34921,0.36599,0.33421,0.39598
sweetbriargrass,AG,1000,falling,gcc_75,2016-08-16,2016-08-09,2016-07-21,2016-08-19,2016-08-11,2016-07-24,2016-08-15,2016-08-07,2016-07-19,0.34931,0.35882,0.3756,0.34318,0.40715
sweetbriargrass,AG,1000,falling,gcc_50,2018-08-23,2018-08-09,2018-07-24,2018-08-26,2018-08-11,2018-07-28,2018-08-19,2018-08-07,2018-07-22,0.34658,0.35649,0.374,0.34009,0.40632
