#
# Transition date estimate for tfforest
#
# Site: tfforest
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 17:59:36
# Spline RMSE gcc_mean: 0.00463
# Spline RMSE gcc_50: 0.00483
# Spline RMSE gcc_75: 0.00479
# Spline RMSE gcc_90: 0.00524
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
tfforest,DB,1000,rising,gcc_90,2017-04-17,2017-05-15,2017-05-19,2017-04-12,2017-05-14,2017-05-17,2017-04-22,2017-05-16,2017-05-20,0.34606,0.3632,0.40912,0.33419,0.45853
tfforest,DB,1000,rising,gcc_90,2018-05-07,2018-05-12,2018-05-18,2018-05-03,2018-05-11,2018-05-16,2018-05-10,2018-05-13,2018-05-19,0.34405,0.36011,0.39666,0.33357,0.44789
tfforest,DB,1000,rising,gcc_75,2017-04-17,2017-05-15,2017-05-19,2017-04-11,2017-05-14,2017-05-17,2017-04-22,2017-05-16,2017-05-20,0.34501,0.361,0.4042,0.33361,0.44872
tfforest,DB,1000,rising,gcc_75,2018-05-07,2018-05-12,2018-05-18,2018-05-03,2018-05-11,2018-05-16,2018-05-10,2018-05-14,2018-05-19,0.34325,0.35812,0.39233,0.33305,0.44478
tfforest,DB,1000,rising,gcc_50,2017-04-16,2017-05-14,2017-05-19,2017-04-11,2017-05-13,2017-05-17,2017-04-22,2017-05-16,2017-05-20,0.34344,0.3569,0.39937,0.33242,0.44584
tfforest,DB,1000,rising,gcc_50,2018-05-07,2018-05-12,2018-05-18,2018-05-01,2018-05-11,2018-05-17,2018-05-10,2018-05-14,2018-05-19,0.34243,0.35651,0.38756,0.33202,0.44035
tfforest,DB,1000,rising,gcc_mean,2017-04-15,2017-05-15,2017-05-18,2017-04-11,2017-05-14,2017-05-17,2017-04-21,2017-05-16,2017-05-19,0.34285,0.3589,0.38793,0.3319,0.44192
tfforest,DB,1000,rising,gcc_mean,2018-05-07,2018-05-12,2018-05-18,2018-04-28,2018-05-11,2018-05-16,2018-05-09,2018-05-14,2018-05-19,0.3422,0.35673,0.3885,0.33166,0.43798
tfforest,DB,1000,falling,gcc_90,2018-10-28,2018-10-24,2018-10-12,2018-10-29,2018-10-25,2018-10-15,2018-10-26,2018-10-21,2018-10-09,0.34123,0.35553,0.38305,0.33479,0.43002
tfforest,DB,1000,falling,gcc_90,2017-11-01,2017-10-30,2017-10-18,2017-11-02,2017-10-31,2017-10-25,2017-10-31,2017-10-28,2017-10-16,0.34156,0.35454,0.38574,0.33347,0.43682
tfforest,DB,1000,falling,gcc_75,2018-10-28,2018-10-24,2018-10-12,2018-10-29,2018-10-25,2018-10-15,2018-10-26,2018-10-22,2018-10-10,0.34003,0.35436,0.38125,0.33346,0.42648
tfforest,DB,1000,falling,gcc_75,2017-11-01,2017-10-30,2017-10-22,2017-11-02,2017-10-31,2017-10-25,2017-10-31,2017-10-28,2017-10-17,0.34003,0.35341,0.38234,0.33188,0.43236
tfforest,DB,1000,falling,gcc_50,2018-10-28,2018-10-24,2018-10-13,2018-10-29,2018-10-25,2018-10-16,2018-10-26,2018-10-22,2018-10-11,0.33908,0.35306,0.37725,0.33248,0.4212
tfforest,DB,1000,falling,gcc_50,2017-11-02,2017-10-30,2017-10-24,2017-11-03,2017-10-31,2017-10-26,2017-10-31,2017-10-29,2017-10-18,0.33005,0.35171,0.37869,0.32612,0.42862
tfforest,DB,1000,falling,gcc_mean,2018-10-28,2018-10-24,2018-10-13,2018-10-29,2018-10-25,2018-10-16,2018-10-26,2018-10-22,2018-10-11,0.33911,0.3532,0.377,0.33239,0.41984
tfforest,DB,1000,falling,gcc_mean,2017-11-02,2017-10-31,2017-10-24,2017-11-03,2017-11-01,2017-10-26,2017-10-31,2017-10-29,2017-10-18,0.33001,0.34486,0.37733,0.32608,0.42555
