#
# Transition date estimate for thompsonfarm2N
#
# Site: thompsonfarm2N
# Veg Type: DB
# ROI ID Number: 2000
# Aggregation period: 1day
# Year min: 2010
# Year max: 2016
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:01:19
# Spline RMSE gcc_mean: 0.00201
# Spline RMSE gcc_50: 0.00205
# Spline RMSE gcc_75: 0.00205
# Spline RMSE gcc_90: 0.00212
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
thompsonfarm2N,DB,2000,rising,gcc_90,2011-04-30,2011-05-06,2011-05-13,2011-04-27,2011-05-05,2011-05-12,2011-05-02,2011-05-08,2011-05-14,0.31601,0.32233,0.33666,0.31092,0.36214
thompsonfarm2N,DB,2000,rising,gcc_90,2012-04-15,2012-04-21,2012-05-05,2012-04-14,2012-04-19,2012-05-04,2012-04-17,2012-04-23,2012-05-06,0.31441,0.32213,0.33437,0.31017,0.35823
thompsonfarm2N,DB,2000,rising,gcc_90,2013-05-01,2013-05-06,2013-05-11,2013-04-27,2013-05-05,2013-05-10,2013-05-04,2013-05-07,2013-05-12,0.31539,0.32189,0.33334,0.31114,0.35484
thompsonfarm2N,DB,2000,rising,gcc_90,2014-05-01,2014-05-08,2014-05-14,2014-04-18,2014-05-07,2014-05-12,2014-05-06,2014-05-10,2014-05-15,0.31455,0.31935,0.33311,0.31067,0.35235
thompsonfarm2N,DB,2000,rising,gcc_90,2015-04-30,2015-05-05,2015-05-10,2015-04-15,2015-05-04,2015-05-08,2015-05-01,2015-05-06,2015-05-11,0.31368,0.31889,0.32923,0.31014,0.34653
thompsonfarm2N,DB,2000,rising,gcc_90,2016-04-12,2016-05-09,2016-05-17,2016-04-11,2016-05-07,2016-05-15,2016-04-13,2016-05-11,2016-05-18,0.31344,0.32054,0.33405,0.30865,0.35678
thompsonfarm2N,DB,2000,rising,gcc_75,2011-04-29,2011-05-06,2011-05-13,2011-04-27,2011-05-05,2011-05-12,2011-05-02,2011-05-08,2011-05-14,0.3144,0.32094,0.33538,0.30993,0.35952
thompsonfarm2N,DB,2000,rising,gcc_75,2012-04-16,2012-04-21,2012-05-05,2012-04-15,2012-04-20,2012-05-04,2012-04-18,2012-04-23,2012-05-06,0.31368,0.32093,0.33302,0.3092,0.35669
thompsonfarm2N,DB,2000,rising,gcc_75,2013-05-01,2013-05-06,2013-05-11,2013-04-29,2013-05-05,2013-05-10,2013-05-04,2013-05-07,2013-05-12,0.31353,0.32028,0.33181,0.30962,0.35358
thompsonfarm2N,DB,2000,rising,gcc_75,2014-05-02,2014-05-09,2014-05-14,2014-04-25,2014-05-08,2014-05-12,2014-05-06,2014-05-10,2014-05-15,0.31357,0.31983,0.33204,0.30973,0.351
thompsonfarm2N,DB,2000,rising,gcc_75,2015-04-30,2015-05-05,2015-05-10,2015-04-15,2015-05-04,2015-05-08,2015-05-03,2015-05-06,2015-05-11,0.31233,0.31756,0.32827,0.30922,0.34584
thompsonfarm2N,DB,2000,rising,gcc_75,2016-04-12,2016-05-09,2016-05-17,2016-04-11,2016-05-08,2016-05-15,2016-04-14,2016-05-11,2016-05-18,0.3117,0.31941,0.33235,0.30798,0.3555
thompsonfarm2N,DB,2000,rising,gcc_50,2011-04-29,2011-05-06,2011-05-13,2011-04-27,2011-05-05,2011-05-12,2011-05-02,2011-05-08,2011-05-14,0.31282,0.31895,0.33332,0.30851,0.35649
thompsonfarm2N,DB,2000,rising,gcc_50,2012-04-16,2012-04-21,2012-05-05,2012-04-15,2012-04-20,2012-05-03,2012-04-18,2012-04-23,2012-05-06,0.31193,0.31933,0.33137,0.30793,0.3542
thompsonfarm2N,DB,2000,rising,gcc_50,2013-05-01,2013-05-06,2013-05-11,2013-04-28,2013-05-05,2013-05-10,2013-05-04,2013-05-07,2013-05-12,0.31202,0.3188,0.33046,0.30806,0.35164
thompsonfarm2N,DB,2000,rising,gcc_50,2014-05-01,2014-05-08,2014-05-14,2014-04-15,2014-05-07,2014-05-12,2014-05-05,2014-05-10,2014-05-15,0.31158,0.3162,0.32966,0.30766,0.34829
thompsonfarm2N,DB,2000,rising,gcc_50,2015-04-15,2015-05-04,2015-05-10,2015-04-14,2015-05-03,2015-05-08,2015-04-18,2015-05-06,2015-05-11,0.30988,0.3147,0.32707,0.30719,0.34353
thompsonfarm2N,DB,2000,rising,gcc_50,2016-04-12,2016-05-09,2016-05-17,2016-04-11,2016-05-08,2016-05-16,2016-04-14,2016-05-11,2016-05-18,0.31021,0.31802,0.3303,0.3067,0.35368
thompsonfarm2N,DB,2000,rising,gcc_mean,2011-04-29,2011-05-06,2011-05-13,2011-04-26,2011-05-05,2011-05-11,2011-05-02,2011-05-08,2011-05-14,0.31303,0.31931,0.3336,0.30856,0.35566
thompsonfarm2N,DB,2000,rising,gcc_mean,2012-04-15,2012-04-20,2012-05-05,2012-04-14,2012-04-19,2012-05-03,2012-04-17,2012-04-22,2012-05-06,0.3113,0.31843,0.33123,0.30796,0.35274
thompsonfarm2N,DB,2000,rising,gcc_mean,2013-04-30,2013-05-05,2013-05-11,2013-04-27,2013-05-04,2013-05-10,2013-05-03,2013-05-07,2013-05-12,0.31213,0.3168,0.33002,0.30802,0.35043
thompsonfarm2N,DB,2000,rising,gcc_mean,2014-04-30,2014-05-08,2014-05-14,2014-04-15,2014-05-07,2014-05-12,2014-05-05,2014-05-10,2014-05-15,0.31152,0.31631,0.329,0.30787,0.34634
thompsonfarm2N,DB,2000,rising,gcc_mean,2015-04-15,2015-05-04,2015-05-10,2015-04-14,2015-05-03,2015-05-08,2015-04-18,2015-05-06,2015-05-11,0.31002,0.31471,0.32662,0.30726,0.34269
thompsonfarm2N,DB,2000,rising,gcc_mean,2016-04-12,2016-05-09,2016-05-17,2016-04-11,2016-05-07,2016-05-16,2016-04-14,2016-05-11,2016-05-18,0.31027,0.31762,0.32952,0.30683,0.35188
thompsonfarm2N,DB,2000,falling,gcc_90,2016-11-07,2016-11-01,2016-10-19,2016-12-04,2016-11-02,2016-10-21,2016-11-06,2016-10-30,2016-10-17,0.3135,0.31998,0.33088,0.31022,0.35137
thompsonfarm2N,DB,2000,falling,gcc_90,2015-10-30,2015-10-29,2015-10-24,2015-10-31,2015-10-30,2015-10-26,2015-10-29,2015-10-27,2015-10-23,0.31193,0.31572,0.32755,0.30908,0.34517
thompsonfarm2N,DB,2000,falling,gcc_90,2014-10-27,2014-10-19,2014-10-13,2014-10-30,2014-10-20,2014-10-15,2014-10-26,2014-10-17,2014-10-12,0.31312,0.31778,0.32992,0.30972,0.34802
thompsonfarm2N,DB,2000,falling,gcc_90,2013-10-24,2013-10-20,2013-10-10,2013-10-26,2013-10-21,2013-10-14,2013-10-22,2013-10-17,2013-10-08,0.31307,0.31819,0.33008,0.30928,0.34823
thompsonfarm2N,DB,2000,falling,gcc_90,2012-10-23,2012-10-21,2012-10-17,2012-10-24,2012-10-22,2012-10-18,2012-10-22,2012-10-20,2012-10-16,0.31192,0.31855,0.33032,0.30967,0.34924
thompsonfarm2N,DB,2000,falling,gcc_90,2011-11-04,2011-10-30,2011-10-21,2011-11-05,2011-11-01,2011-10-23,2011-11-02,2011-10-27,2011-10-19,0.3193,0.32705,0.33699,0.31796,0.35554
thompsonfarm2N,DB,2000,falling,gcc_90,2010-10-26,2010-10-24,2010-10-16,2010-10-27,2010-10-25,2010-10-19,2010-10-24,2010-10-22,2010-10-15,0.31439,0.32031,0.33456,0.31296,0.35472
thompsonfarm2N,DB,2000,falling,gcc_75,2016-11-06,2016-10-31,2016-10-19,2016-11-07,2016-11-01,2016-10-21,2016-11-05,2016-10-29,2016-10-17,0.31219,0.31933,0.32996,0.30934,0.34965
thompsonfarm2N,DB,2000,falling,gcc_75,2015-10-30,2015-10-29,2015-10-24,2015-10-31,2015-10-30,2015-10-26,2015-10-28,2015-10-27,2015-10-23,0.30986,0.31379,0.3264,0.30986,0.34014
thompsonfarm2N,DB,2000,falling,gcc_75,2014-10-23,2014-10-18,2014-10-13,2014-10-27,2014-10-19,2014-10-14,2014-10-20,2014-10-17,2014-10-12,0.31268,0.31779,0.32831,0.30902,0.34639
thompsonfarm2N,DB,2000,falling,gcc_75,2013-10-24,2013-10-19,2013-10-10,2013-10-25,2013-10-21,2013-10-14,2013-10-22,2013-10-17,2013-10-08,0.3114,0.31766,0.32877,0.30797,0.34707
thompsonfarm2N,DB,2000,falling,gcc_75,2012-10-22,2012-10-20,2012-10-16,2012-10-23,2012-10-21,2012-10-17,2012-10-20,2012-10-18,2012-10-15,0.31351,0.31986,0.33115,0.31351,0.34743
thompsonfarm2N,DB,2000,falling,gcc_75,2011-11-03,2011-10-29,2011-10-20,2011-11-04,2011-10-31,2011-10-22,2011-11-01,2011-10-27,2011-10-18,0.32055,0.32647,0.33616,0.31815,0.35348
thompsonfarm2N,DB,2000,falling,gcc_75,2010-10-26,2010-10-24,2010-10-17,2010-10-27,2010-10-25,2010-10-19,2010-10-24,2010-10-22,2010-10-15,0.31278,0.31892,0.33232,0.31128,0.3533
thompsonfarm2N,DB,2000,falling,gcc_50,2016-11-05,2016-10-31,2016-10-19,2016-11-06,2016-11-01,2016-10-22,2016-11-04,2016-10-29,2016-10-18,0.31148,0.31763,0.3286,0.30796,0.34755
thompsonfarm2N,DB,2000,falling,gcc_50,2015-10-30,2015-10-29,2015-10-25,2015-10-31,2015-10-30,2015-10-26,2015-10-28,2015-10-27,2015-10-24,0.3077,0.3117,0.32319,0.3077,0.3372
thompsonfarm2N,DB,2000,falling,gcc_50,2014-10-21,2014-10-18,2014-10-13,2014-10-26,2014-10-19,2014-10-14,2014-10-19,2014-10-17,2014-10-12,0.31188,0.3163,0.32661,0.30831,0.34414
