#
# Transition date estimate for tonzi
#
# Site: tonzi
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:02:37
# Spline RMSE gcc_mean: 0.00295
# Spline RMSE gcc_50: 0.00279
# Spline RMSE gcc_75: 0.00291
# Spline RMSE gcc_90: 0.00305
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
tonzi,DB,1000,rising,gcc_90,2012-03-21,2012-03-31,2012-04-09,2012-03-14,2012-03-29,2012-04-07,2012-03-25,2012-04-02,2012-04-10,0.32153,0.3319,0.35144,0.31493,0.38288
tonzi,DB,1000,rising,gcc_90,2013-03-19,2013-03-24,2013-03-29,2013-03-18,2013-03-23,2013-03-27,2013-03-21,2013-03-25,2013-03-30,0.324,0.33451,0.35549,0.31804,0.38668
tonzi,DB,1000,rising,gcc_90,2014-02-28,2014-03-08,2014-03-14,2014-02-16,2014-03-07,2014-03-12,2014-03-04,2014-03-09,2014-03-15,0.31604,0.32555,0.34567,0.30987,0.3742
tonzi,DB,1000,rising,gcc_90,2015-03-03,2015-03-07,2015-03-12,2015-03-01,2015-03-06,2015-03-10,2015-03-05,2015-03-08,2015-03-13,0.32534,0.33378,0.35501,0.32023,0.38065
tonzi,DB,1000,rising,gcc_90,2016-02-29,2016-03-02,2016-03-06,2016-02-28,2016-03-01,2016-03-05,2016-03-02,2016-03-04,2016-03-23,0.32421,0.33154,0.35772,0.31985,0.38099
tonzi,DB,1000,rising,gcc_90,2017-03-14,2017-03-17,2017-03-23,2017-03-13,2017-03-16,2017-03-22,2017-03-16,2017-03-19,2017-03-24,0.32983,0.3385,0.35557,0.32594,0.38405
tonzi,DB,1000,rising,gcc_90,2018-03-12,2018-03-26,2018-04-01,2018-03-11,2018-03-25,2018-03-30,2018-03-15,2018-03-28,2018-04-02,0.32588,0.33618,0.35634,0.31991,0.38733
tonzi,DB,1000,rising,gcc_75,2012-03-17,2012-03-30,2012-04-08,2012-03-13,2012-03-28,2012-04-07,2012-03-23,2012-04-01,2012-04-09,0.31962,0.32927,0.34637,0.31319,0.37861
tonzi,DB,1000,rising,gcc_75,2013-03-19,2013-03-24,2013-03-29,2013-03-17,2013-03-23,2013-03-27,2013-03-21,2013-03-25,2013-03-30,0.32302,0.33291,0.35323,0.31635,0.384
tonzi,DB,1000,rising,gcc_75,2014-02-27,2014-03-07,2014-03-13,2014-02-22,2014-03-06,2014-03-12,2014-03-04,2014-03-09,2014-03-14,0.31376,0.32154,0.34023,0.3077,0.37093
tonzi,DB,1000,rising,gcc_75,2015-03-03,2015-03-07,2015-03-12,2015-02-27,2015-03-06,2015-03-10,2015-03-05,2015-03-08,2015-03-13,0.32422,0.3322,0.35259,0.3192,0.37668
tonzi,DB,1000,rising,gcc_75,2016-02-29,2016-03-02,2016-03-06,2016-02-28,2016-03-01,2016-03-05,2016-03-01,2016-03-03,2016-03-23,0.3231,0.32986,0.35374,0.31764,0.37582
tonzi,DB,1000,rising,gcc_75,2017-03-15,2017-03-18,2017-03-24,2017-03-14,2017-03-17,2017-03-22,2017-03-16,2017-03-19,2017-03-25,0.33034,0.33875,0.3554,0.32462,0.38223
tonzi,DB,1000,rising,gcc_75,2018-03-12,2018-03-26,2018-04-01,2018-03-10,2018-03-25,2018-03-30,2018-03-14,2018-03-28,2018-04-02,0.32464,0.33395,0.35395,0.31817,0.38382
tonzi,DB,1000,rising,gcc_50,2012-03-15,2012-03-29,2012-04-08,2012-03-13,2012-03-28,2012-04-07,2012-03-16,2012-04-01,2012-04-09,0.31692,0.32598,0.3428,0.31115,0.37359
tonzi,DB,1000,rising,gcc_50,2013-03-17,2013-03-23,2013-03-29,2013-03-16,2013-03-22,2013-03-27,2013-03-20,2013-03-25,2013-03-30,0.31972,0.32829,0.34987,0.31402,0.37908
tonzi,DB,1000,rising,gcc_50,2014-02-24,2014-03-07,2014-03-13,2014-02-20,2014-03-06,2014-03-12,2014-03-02,2014-03-09,2014-03-14,0.31072,0.31955,0.33784,0.30458,0.36756
tonzi,DB,1000,rising,gcc_50,2015-03-03,2015-03-07,2015-03-12,2015-02-07,2015-03-06,2015-03-10,2015-03-05,2015-03-08,2015-03-13,0.32276,0.32997,0.34885,0.31779,0.37183
tonzi,DB,1000,rising,gcc_50,2016-02-28,2016-03-02,2016-03-06,2016-02-24,2016-03-01,2016-03-05,2016-03-01,2016-03-03,2016-03-23,0.32063,0.32792,0.34762,0.31536,0.37093
tonzi,DB,1000,rising,gcc_50,2017-03-15,2017-03-18,2017-03-25,2017-03-14,2017-03-17,2017-03-23,2017-03-16,2017-03-19,2017-03-26,0.32858,0.3367,0.35382,0.32293,0.38267
tonzi,DB,1000,rising,gcc_50,2018-03-12,2018-03-27,2018-04-01,2018-03-11,2018-03-26,2018-03-31,2018-03-15,2018-03-28,2018-04-02,0.32265,0.33274,0.34969,0.31729,0.37961
tonzi,DB,1000,rising,gcc_mean,2012-03-15,2012-03-29,2012-04-08,2012-03-13,2012-03-27,2012-04-06,2012-03-22,2012-03-31,2012-04-09,0.31658,0.32586,0.34305,0.31092,0.37169
tonzi,DB,1000,rising,gcc_mean,2013-03-18,2013-03-23,2013-03-29,2013-03-16,2013-03-22,2013-03-27,2013-03-20,2013-03-25,2013-03-30,0.32033,0.32831,0.34934,0.31416,0.37626
tonzi,DB,1000,rising,gcc_mean,2014-02-24,2014-03-07,2014-03-13,2014-02-19,2014-03-06,2014-03-11,2014-03-03,2014-03-09,2014-03-14,0.31074,0.31921,0.33774,0.30462,0.36588
tonzi,DB,1000,rising,gcc_mean,2015-03-03,2015-03-07,2015-03-11,2015-02-07,2015-03-06,2015-03-10,2015-03-05,2015-03-08,2015-03-12,0.32247,0.32963,0.34404,0.31752,0.3698
tonzi,DB,1000,rising,gcc_mean,2016-02-28,2016-03-02,2016-03-06,2016-02-24,2016-03-01,2016-03-05,2016-03-01,2016-03-03,2016-03-23,0.32016,0.32787,0.34912,0.31547,0.37057
tonzi,DB,1000,rising,gcc_mean,2017-03-15,2017-03-18,2017-03-25,2017-03-14,2017-03-17,2017-03-23,2017-03-16,2017-03-20,2017-03-27,0.32859,0.33649,0.35339,0.32274,0.38402
tonzi,DB,1000,rising,gcc_mean,2018-03-13,2018-03-26,2018-04-01,2018-03-11,2018-03-25,2018-03-31,2018-03-16,2018-03-28,2018-04-02,0.32284,0.3309,0.34925,0.31691,0.3779
