#
# Transition date estimate for torgnon-ld
#
# Site: torgnon-ld
# Veg Type: DN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:02:56
# Spline RMSE gcc_mean: 0.0052
# Spline RMSE gcc_50: 0.00593
# Spline RMSE gcc_75: 0.00389
# Spline RMSE gcc_90: 0.00336
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
torgnon-ld,DN,1000,rising,gcc_90,2012-05-21,2012-05-24,2012-05-31,2012-05-20,2012-05-23,2012-05-29,2012-05-23,2012-05-26,2012-06-01,0.34328,0.35498,0.38353,0.33651,0.42405
torgnon-ld,DN,1000,rising,gcc_90,2013-06-03,2013-06-07,2013-06-13,2013-06-02,2013-06-06,2013-06-12,2013-06-05,2013-06-09,2013-06-14,0.33742,0.35203,0.37995,0.33096,0.42753
torgnon-ld,DN,1000,rising,gcc_90,2014-05-22,2014-05-28,2014-06-03,2014-05-20,2014-05-27,2014-06-02,2014-05-24,2014-05-30,2014-06-04,0.33981,0.35358,0.37876,0.33084,0.42295
torgnon-ld,DN,1000,rising,gcc_90,2015-05-09,2015-05-15,2015-05-23,2015-05-07,2015-05-14,2015-05-21,2015-05-11,2015-05-17,2015-05-25,0.3385,0.35092,0.37427,0.33061,0.41735
torgnon-ld,DN,1000,rising,gcc_90,2016-05-24,2016-05-28,2016-06-05,2016-05-22,2016-05-22,2016-05-22,2016-06-09,2016-06-09,2016-06-09,0.33927,0.35124,0.38131,0.33102,0.42403
torgnon-ld,DN,1000,rising,gcc_90,2017-05-18,2017-05-21,2017-05-27,2017-05-17,2017-05-20,2017-05-25,2017-05-20,2017-05-22,2017-05-28,0.34369,0.35644,0.38329,0.33614,0.42403
torgnon-ld,DN,1000,rising,gcc_90,2018-05-24,2018-05-27,2018-06-02,2018-05-23,2018-05-26,2018-06-01,2018-05-25,2018-05-29,2018-06-03,0.34409,0.35544,0.3808,0.33612,0.42221
torgnon-ld,DN,1000,rising,gcc_75,2012-05-22,2012-05-25,2012-06-01,2012-05-21,2012-05-24,2012-05-30,2012-05-24,2012-05-27,2012-06-02,0.34453,0.35604,0.38348,0.33823,0.42231
torgnon-ld,DN,1000,rising,gcc_75,2013-06-04,2013-06-08,2013-06-14,2013-06-03,2013-06-07,2013-06-12,2013-06-06,2013-06-09,2013-06-15,0.33878,0.35341,0.38258,0.33038,0.42519
torgnon-ld,DN,1000,rising,gcc_75,2014-05-22,2014-05-28,2014-06-04,2014-05-20,2014-05-27,2014-06-02,2014-05-25,2014-05-30,2014-06-05,0.33876,0.35116,0.3788,0.3303,0.42014
torgnon-ld,DN,1000,rising,gcc_75,2015-05-09,2015-05-16,2015-05-24,2015-05-07,2015-05-14,2015-05-22,2015-05-12,2015-05-18,2015-05-26,0.33721,0.3516,0.37426,0.33012,0.41651
torgnon-ld,DN,1000,rising,gcc_75,2016-05-25,2016-05-29,2016-06-05,2016-05-22,2016-05-22,2016-05-22,2016-06-09,2016-06-09,2016-06-09,0.33954,0.35282,0.37783,0.33035,0.42247
torgnon-ld,DN,1000,rising,gcc_75,2017-05-16,2017-05-20,2017-05-26,2017-05-15,2017-05-19,2017-05-24,2017-05-18,2017-05-22,2017-05-27,0.33729,0.35047,0.3774,0.33012,0.42268
torgnon-ld,DN,1000,rising,gcc_75,2018-05-24,2018-05-28,2018-06-03,2018-05-23,2018-05-27,2018-06-01,2018-05-26,2018-05-30,2018-06-04,0.34182,0.35506,0.37946,0.33478,0.42
torgnon-ld,DN,1000,rising,gcc_50,2012-05-22,2012-05-26,2012-06-01,2012-05-21,2012-05-25,2012-05-30,2012-05-24,2012-05-28,2012-06-02,0.34076,0.35503,0.37793,0.33502,0.41964
torgnon-ld,DN,1000,rising,gcc_50,2013-06-04,2013-06-08,2013-06-14,2013-06-03,2013-06-07,2013-06-12,2013-06-06,2013-06-10,2013-06-15,0.33713,0.35083,0.37862,0.32984,0.42195
torgnon-ld,DN,1000,rising,gcc_50,2014-05-23,2014-05-29,2014-06-04,2014-05-20,2014-05-27,2014-06-02,2014-05-26,2014-05-31,2014-06-05,0.33804,0.34976,0.37401,0.32983,0.41358
torgnon-ld,DN,1000,rising,gcc_50,2015-05-10,2015-05-16,2015-05-24,2015-05-07,2015-05-14,2015-05-22,2015-05-13,2015-05-19,2015-05-26,0.33776,0.34973,0.37106,0.32978,0.41174
torgnon-ld,DN,1000,rising,gcc_50,2016-05-25,2016-05-30,2016-06-07,2016-05-22,2016-05-22,2016-05-22,2016-06-09,2016-06-09,2016-06-09,0.3373,0.35081,0.37563,0.3296,0.41929
torgnon-ld,DN,1000,rising,gcc_50,2017-05-17,2017-05-21,2017-05-27,2017-05-16,2017-05-20,2017-05-25,2017-05-19,2017-05-23,2017-05-28,0.33667,0.35104,0.37637,0.32951,0.42061
torgnon-ld,DN,1000,rising,gcc_50,2018-05-25,2018-05-29,2018-06-04,2018-05-24,2018-05-28,2018-06-02,2018-05-27,2018-05-31,2018-06-05,0.3424,0.35467,0.37749,0.33553,0.41518
torgnon-ld,DN,1000,rising,gcc_mean,2012-05-23,2012-05-27,2012-06-03,2012-05-21,2012-05-25,2012-06-01,2012-05-25,2012-05-29,2012-06-04,0.34431,0.35684,0.38018,0.3364,0.41951
torgnon-ld,DN,1000,rising,gcc_mean,2013-06-04,2013-06-08,2013-06-14,2013-06-03,2013-06-07,2013-06-12,2013-06-06,2013-06-10,2013-06-15,0.33708,0.35009,0.37731,0.32984,0.4183
torgnon-ld,DN,1000,rising,gcc_mean,2014-05-23,2014-05-29,2014-06-04,2014-05-19,2014-05-27,2014-06-02,2014-05-26,2014-05-31,2014-06-05,0.33812,0.35039,0.37457,0.32985,0.4127
torgnon-ld,DN,1000,rising,gcc_mean,2015-05-10,2015-05-16,2015-05-24,2015-05-07,2015-05-14,2015-05-21,2015-05-13,2015-05-19,2015-05-26,0.33754,0.3492,0.37098,0.32952,0.41112
torgnon-ld,DN,1000,rising,gcc_mean,2016-05-26,2016-05-30,2016-06-08,2016-05-22,2016-05-22,2016-05-22,2016-06-09,2016-06-09,2016-06-09,0.33958,0.35155,0.37686,0.33212,0.41634
torgnon-ld,DN,1000,rising,gcc_mean,2017-05-17,2017-05-21,2017-05-27,2017-05-15,2017-05-20,2017-05-25,2017-05-19,2017-05-22,2017-05-28,0.33694,0.35119,0.37589,0.3295,0.41736
torgnon-ld,DN,1000,rising,gcc_mean,2018-05-25,2018-05-29,2018-06-04,2018-05-23,2018-05-27,2018-06-02,2018-05-27,2018-05-31,2018-06-05,0.34203,0.35435,0.37696,0.33517,0.41369
torgnon-ld,DN,1000,falling,gcc_90,2018-10-27,2018-10-22,2018-10-14,2018-10-28,2018-10-23,2018-10-16,2018-10-25,2018-10-20,2018-10-13,0.34197,0.35466,0.37855,0.3363,0.41633
torgnon-ld,DN,1000,falling,gcc_90,2017-10-22,2017-10-16,2017-10-08,2017-10-24,2017-10-17,2017-10-10,2017-10-19,2017-10-14,2017-10-07,0.33905,0.35247,0.37613,0.33076,0.41919
torgnon-ld,DN,1000,falling,gcc_90,2016-11-02,2016-10-27,2016-10-19,2016-11-04,2016-10-29,2016-10-21,2016-10-30,2016-10-25,2016-10-18,0.33823,0.35182,0.37347,0.33064,0.41543
torgnon-ld,DN,1000,falling,gcc_90,2015-10-27,2015-10-20,2015-10-11,2015-10-29,2015-10-22,2015-10-14,2015-10-24,2015-10-18,2015-10-10,0.33847,0.35145,0.37499,0.33086,0.41429
torgnon-ld,DN,1000,falling,gcc_90,2014-10-24,2014-10-18,2014-10-07,2014-10-26,2014-10-19,2014-10-09,2014-10-22,2014-10-15,2014-10-05,0.3443,0.35514,0.37861,0.33607,0.42094
torgnon-ld,DN,1000,falling,gcc_90,2013-10-30,2013-10-25,2013-10-17,2013-10-31,2013-10-26,2013-10-19,2013-10-28,2013-10-23,2013-10-15,0.34238,0.35616,0.37893,0.33455,0.42289
torgnon-ld,DN,1000,falling,gcc_90,2012-10-26,2012-10-21,2012-10-13,2012-10-28,2012-10-22,2012-10-15,2012-10-24,2012-10-19,2012-10-12,0.33879,0.35025,0.37519,0.33076,0.41912
torgnon-ld,DN,1000,falling,gcc_75,2018-10-27,2018-10-22,2018-10-14,2018-10-28,2018-10-23,2018-10-16,2018-10-24,2018-10-20,2018-10-13,0.34103,0.35345,0.37676,0.33546,0.4135
torgnon-ld,DN,1000,falling,gcc_75,2017-10-22,2017-10-16,2017-10-07,2017-10-24,2017-10-17,2017-10-09,2017-10-19,2017-10-14,2017-10-06,0.33829,0.35102,0.37443,0.33019,0.41676
torgnon-ld,DN,1000,falling,gcc_75,2016-10-28,2016-10-24,2016-10-16,2016-10-30,2016-10-25,2016-10-18,2016-10-26,2016-10-22,2016-10-15,0.34749,0.35744,0.37837,0.34065,0.41387
torgnon-ld,DN,1000,falling,gcc_75,2015-10-24,2015-10-19,2015-10-10,2015-10-26,2015-10-20,2015-10-12,2015-10-22,2015-10-17,2015-10-09,0.34237,0.35256,0.37525,0.33533,0.41323
torgnon-ld,DN,1000,falling,gcc_75,2014-10-24,2014-10-17,2014-10-06,2014-10-26,2014-10-18,2014-10-09,2014-10-21,2014-10-15,2014-10-04,0.34348,0.35608,0.37832,0.33698,0.41747
torgnon-ld,DN,1000,falling,gcc_75,2013-10-28,2013-10-24,2013-10-15,2013-10-29,2013-10-25,2013-10-17,2013-10-26,2013-10-21,2013-10-13,0.34555,0.35664,0.37983,0.33821,0.42112
torgnon-ld,DN,1000,falling,gcc_75,2012-10-26,2012-10-20,2012-10-12,2012-10-27,2012-10-21,2012-10-15,2012-10-23,2012-10-18,2012-10-11,0.33705,0.35084,0.37573,0.32992,0.41694
torgnon-ld,DN,1000,falling,gcc_50,2018-10-27,2018-10-22,2018-10-14,2018-10-28,2018-10-24,2018-10-17,2018-10-24,2018-10-20,2018-10-13,0.33993,0.3518,0.37405,0.33459,0.40853
torgnon-ld,DN,1000,falling,gcc_50,2017-10-21,2017-10-16,2017-10-07,2017-10-24,2017-10-17,2017-10-09,2017-10-18,2017-10-13,2017-10-05,0.33705,0.34889,0.37214,0.32964,0.41428
torgnon-ld,DN,1000,falling,gcc_50,2016-10-28,2016-10-24,2016-10-16,2016-10-30,2016-10-26,2016-10-19,2016-10-26,2016-10-22,2016-10-15,0.34468,0.35468,0.37596,0.33789,0.41083
torgnon-ld,DN,1000,falling,gcc_50,2015-10-26,2015-10-19,2015-10-10,2015-10-28,2015-10-21,2015-10-13,2015-10-23,2015-10-17,2015-10-08,0.33638,0.34929,0.37011,0.32969,0.40816
torgnon-ld,DN,1000,falling,gcc_50,2014-10-24,2014-10-17,2014-10-07,2014-10-26,2014-10-19,2014-10-09,2014-10-20,2014-10-14,2014-10-04,0.34267,0.35456,0.37388,0.33672,0.41096
torgnon-ld,DN,1000,falling,gcc_50,2013-10-26,2013-10-22,2013-10-13,2013-10-28,2013-10-23,2013-10-16,2013-10-24,2013-10-19,2013-10-11,0.34768,0.35753,0.38039,0.34031,0.41879
torgnon-ld,DN,1000,falling,gcc_50,2012-10-25,2012-10-20,2012-10-12,2012-10-28,2012-10-21,2012-10-14,2012-10-22,2012-10-18,2012-10-10,0.33705,0.34774,0.37155,0.32892,0.4131
