#
# Transition date estimate for torrepalacio
#
# Site: torrepalacio
# Veg Type: WL
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:04:06
# Spline RMSE gcc_mean: 0.00245
# Spline RMSE gcc_50: 0.00274
# Spline RMSE gcc_75: 0.00302
# Spline RMSE gcc_90: 0.00336
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
torrepalacio,WL,1000,rising,gcc_90,2018-03-09,2018-03-11,2018-04-03,2018-03-08,2018-03-10,2018-04-01,2018-03-11,2018-03-13,2018-04-04,0.30944,0.31867,0.34776,0.303,0.38843
torrepalacio,WL,1000,rising,gcc_75,2018-03-07,2018-03-11,2018-04-02,2018-03-05,2018-03-10,2018-03-31,2018-03-10,2018-03-12,2018-04-03,0.3064,0.31705,0.34302,0.29785,0.38759
torrepalacio,WL,1000,rising,gcc_50,2018-03-06,2018-03-14,2018-04-01,2018-03-05,2018-03-13,2018-03-30,2018-03-08,2018-03-16,2018-04-02,0.30147,0.31612,0.33991,0.29317,0.38552
torrepalacio,WL,1000,rising,gcc_mean,2018-03-06,2018-03-12,2018-04-01,2018-03-05,2018-03-11,2018-03-30,2018-03-10,2018-03-14,2018-04-02,0.30308,0.31487,0.33992,0.29502,0.38313
torrepalacio,WL,1000,falling,gcc_90,2018-08-05,2018-07-23,2018-06-18,2018-08-18,2018-07-29,2018-06-22,2018-08-02,2018-07-17,2018-06-15,0.31366,0.32635,0.3483,0.30543,0.39006
torrepalacio,WL,1000,falling,gcc_90,2017-08-02,2017-07-13,2017-07-02,2017-08-04,2017-07-15,2017-07-04,2017-07-17,2017-07-11,2017-07-01,0.30635,0.31978,0.34297,0.29832,0.38439
torrepalacio,WL,1000,falling,gcc_75,2018-08-05,2018-07-23,2018-06-19,2018-08-17,2018-07-29,2018-06-23,2018-08-02,2018-07-18,2018-06-13,0.31271,0.32517,0.34549,0.30488,0.38608
torrepalacio,WL,1000,falling,gcc_75,2017-08-02,2017-07-14,2017-07-01,2017-08-04,2017-07-15,2017-07-03,2017-07-18,2017-07-12,2017-06-30,0.30445,0.31661,0.3407,0.29613,0.38209
torrepalacio,WL,1000,falling,gcc_50,2018-08-16,2018-07-29,2018-06-22,2018-08-18,2018-07-31,2018-06-26,2018-08-05,2018-07-26,2018-06-19,0.30768,0.31995,0.34113,0.2996,0.38248
torrepalacio,WL,1000,falling,gcc_50,2017-08-01,2017-07-16,2017-07-02,2017-08-02,2017-07-17,2017-07-04,2017-07-30,2017-07-14,2017-07-01,0.29631,0.30913,0.33619,0.28741,0.38226
torrepalacio,WL,1000,falling,gcc_mean,2018-08-14,2018-07-29,2018-06-23,2018-08-18,2018-07-31,2018-06-26,2018-08-04,2018-07-26,2018-06-20,0.30809,0.32022,0.34034,0.30015,0.38048
torrepalacio,WL,1000,falling,gcc_mean,2017-08-03,2017-07-15,2017-07-03,2017-08-04,2017-07-16,2017-07-05,2017-07-31,2017-07-13,2017-07-02,0.29656,0.31044,0.33382,0.28836,0.37908
