#
# Transition date estimate for turkeypointdbf
#
# Site: turkeypointdbf
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:04:25
# Spline RMSE gcc_mean: 0.002
# Spline RMSE gcc_50: 0.00209
# Spline RMSE gcc_75: 0.00197
# Spline RMSE gcc_90: 0.00199
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
turkeypointdbf,DB,1000,rising,gcc_90,2012-05-01,2012-05-04,2012-05-10,2012-04-30,2012-05-03,2012-05-09,2012-05-03,2012-05-06,2012-05-11,0.32778,0.34168,0.37281,0.31924,0.4236
turkeypointdbf,DB,1000,rising,gcc_90,2013-05-04,2013-05-08,2013-05-15,2013-05-03,2013-05-07,2013-05-13,2013-05-06,2013-05-09,2013-05-16,0.3278,0.34412,0.37672,0.31981,0.42344
turkeypointdbf,DB,1000,rising,gcc_90,2014-05-18,2014-05-21,2014-05-26,2014-05-15,2014-05-20,2014-05-24,2014-05-20,2014-05-23,2014-05-27,0.33278,0.34258,0.37912,0.32416,0.42187
turkeypointdbf,DB,1000,rising,gcc_90,2015-05-06,2015-05-09,2015-05-14,2015-05-05,2015-05-08,2015-05-13,2015-05-08,2015-05-11,2015-05-15,0.32746,0.3434,0.37389,0.32211,0.42042
turkeypointdbf,DB,1000,rising,gcc_90,2016-05-12,2016-05-18,2016-05-22,2016-05-10,2016-05-17,2016-05-21,2016-05-15,2016-05-19,2016-05-23,0.3243,0.34007,0.36748,0.31523,0.41734
turkeypointdbf,DB,1000,rising,gcc_90,2017-05-13,2017-05-15,2017-05-21,2017-05-12,2017-05-14,2017-05-19,2017-05-14,2017-05-17,2017-05-22,0.32392,0.33592,0.37132,0.3144,0.41956
turkeypointdbf,DB,1000,rising,gcc_90,2018-05-12,2018-05-16,2018-05-21,2018-05-11,2018-05-15,2018-05-20,2018-05-14,2018-05-17,2018-05-22,0.31594,0.33384,0.36743,0.3075,0.42295
turkeypointdbf,DB,1000,rising,gcc_75,2012-05-01,2012-05-04,2012-05-10,2012-04-30,2012-05-03,2012-05-09,2012-05-03,2012-05-06,2012-05-11,0.32691,0.34032,0.37008,0.31944,0.41814
turkeypointdbf,DB,1000,rising,gcc_75,2013-05-04,2013-05-08,2013-05-15,2013-05-03,2013-05-07,2013-05-13,2013-05-06,2013-05-10,2013-05-16,0.32649,0.34138,0.37282,0.31908,0.4201
turkeypointdbf,DB,1000,rising,gcc_75,2014-05-15,2014-05-21,2014-05-25,2014-05-12,2014-05-20,2014-05-24,2014-05-19,2014-05-23,2014-05-26,0.3299,0.34089,0.3692,0.32035,0.41743
turkeypointdbf,DB,1000,rising,gcc_75,2015-05-06,2015-05-09,2015-05-14,2015-05-05,2015-05-08,2015-05-13,2015-05-08,2015-05-11,2015-05-15,0.3259,0.34105,0.37078,0.32088,0.41609
turkeypointdbf,DB,1000,rising,gcc_75,2016-05-12,2016-05-18,2016-05-23,2016-05-09,2016-05-17,2016-05-21,2016-05-14,2016-05-19,2016-05-24,0.32352,0.33742,0.37082,0.3139,0.41355
turkeypointdbf,DB,1000,rising,gcc_75,2017-05-13,2017-05-15,2017-05-21,2017-05-12,2017-05-14,2017-05-19,2017-05-14,2017-05-17,2017-05-22,0.32191,0.33287,0.3675,0.31266,0.41333
turkeypointdbf,DB,1000,rising,gcc_75,2018-05-13,2018-05-16,2018-05-21,2018-05-12,2018-05-15,2018-05-20,2018-05-14,2018-05-17,2018-05-22,0.31469,0.3295,0.36239,0.30418,0.41325
turkeypointdbf,DB,1000,rising,gcc_50,2012-05-01,2012-05-04,2012-05-10,2012-04-30,2012-05-03,2012-05-09,2012-05-03,2012-05-06,2012-05-11,0.32496,0.33773,0.36582,0.31804,0.41193
turkeypointdbf,DB,1000,rising,gcc_50,2013-05-05,2013-05-08,2013-05-15,2013-05-04,2013-05-07,2013-05-14,2013-05-06,2013-05-10,2013-05-16,0.3272,0.33819,0.36734,0.31772,0.41579
turkeypointdbf,DB,1000,rising,gcc_50,2014-05-17,2014-05-21,2014-05-26,2014-05-13,2014-05-20,2014-05-24,2014-05-20,2014-05-23,2014-05-27,0.32822,0.33832,0.37256,0.31924,0.41282
turkeypointdbf,DB,1000,rising,gcc_50,2015-05-07,2015-05-09,2015-05-14,2015-05-06,2015-05-08,2015-05-13,2015-05-08,2015-05-11,2015-05-15,0.327,0.33671,0.36538,0.31852,0.40912
turkeypointdbf,DB,1000,rising,gcc_50,2016-05-11,2016-05-18,2016-05-23,2016-05-08,2016-05-17,2016-05-21,2016-05-14,2016-05-20,2016-05-24,0.321,0.33322,0.36372,0.31228,0.40383
turkeypointdbf,DB,1000,rising,gcc_50,2017-05-13,2017-05-16,2017-05-21,2017-05-12,2017-05-15,2017-05-19,2017-05-15,2017-05-17,2017-05-22,0.31853,0.33249,0.36198,0.31127,0.404
turkeypointdbf,DB,1000,rising,gcc_50,2018-05-13,2018-05-16,2018-05-21,2018-05-12,2018-05-15,2018-05-19,2018-05-14,2018-05-17,2018-05-22,0.30797,0.32268,0.35509,0.29773,0.40234
turkeypointdbf,DB,1000,rising,gcc_mean,2012-05-01,2012-05-04,2012-05-10,2012-04-30,2012-05-03,2012-05-09,2012-05-03,2012-05-06,2012-05-11,0.32421,0.33651,0.36518,0.31777,0.40993
turkeypointdbf,DB,1000,rising,gcc_mean,2013-05-04,2013-05-08,2013-05-15,2013-05-03,2013-05-07,2013-05-13,2013-05-06,2013-05-10,2013-05-16,0.32356,0.3382,0.368,0.31718,0.41356
turkeypointdbf,DB,1000,rising,gcc_mean,2014-05-19,2014-05-22,2014-05-26,2014-05-17,2014-05-21,2014-05-24,2014-05-21,2014-05-23,2014-05-27,0.33039,0.34351,0.37082,0.32259,0.41022
turkeypointdbf,DB,1000,rising,gcc_mean,2015-05-07,2015-05-09,2015-05-14,2015-05-06,2015-05-08,2015-05-13,2015-05-08,2015-05-11,2015-05-15,0.32687,0.33608,0.3636,0.31874,0.40646
turkeypointdbf,DB,1000,rising,gcc_mean,2016-05-10,2016-05-18,2016-05-23,2016-05-08,2016-05-17,2016-05-21,2016-05-14,2016-05-19,2016-05-24,0.32014,0.3338,0.36387,0.31128,0.40233
turkeypointdbf,DB,1000,rising,gcc_mean,2017-05-13,2017-05-16,2017-05-21,2017-05-12,2017-05-15,2017-05-19,2017-05-14,2017-05-17,2017-05-22,0.31853,0.33297,0.36198,0.31032,0.40218
turkeypointdbf,DB,1000,rising,gcc_mean,2018-05-12,2018-05-15,2018-05-21,2018-05-11,2018-05-14,2018-05-19,2018-05-14,2018-05-17,2018-05-22,0.30578,0.31815,0.35452,0.29714,0.39944
turkeypointdbf,DB,1000,falling,gcc_90,2018-10-26,2018-10-19,2018-10-06,2018-10-28,2018-10-21,2018-10-08,2018-10-24,2018-10-17,2018-10-05,0.32753,0.34098,0.36402,0.31952,0.40554
turkeypointdbf,DB,1000,falling,gcc_90,2017-10-22,2017-10-18,2017-10-01,2017-10-23,2017-10-19,2017-10-03,2017-10-20,2017-10-16,2017-09-29,0.32509,0.33873,0.36259,0.31781,0.40695
