#
# Transition date estimate for turkeypointenf74
#
# Site: turkeypointenf74
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2019
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:06:48
# Spline RMSE gcc_mean: 0.00558
# Spline RMSE gcc_50: 0.00582
# Spline RMSE gcc_75: 0.00534
# Spline RMSE gcc_90: 0.00559
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
turkeypointenf74,EN,1000,rising,gcc_90,2012-03-06,2012-03-11,2012-03-18,2012-03-03,2012-03-09,2012-03-15,2012-03-09,2012-03-14,2012-03-21,0.34934,0.35715,0.3727,0.34396,0.40104
turkeypointenf74,EN,1000,rising,gcc_90,2013-04-02,2013-04-09,2013-04-21,2013-03-29,2013-04-06,2013-04-17,2013-04-06,2013-04-13,2013-04-25,0.34337,0.35263,0.3697,0.33774,0.40131
turkeypointenf74,EN,1000,rising,gcc_90,2014-03-31,2014-04-08,2014-04-16,2014-03-17,2014-04-05,2014-04-14,2014-04-06,2014-04-13,2014-05-14,0.34571,0.35351,0.36981,0.34038,0.39663
turkeypointenf74,EN,1000,rising,gcc_90,2015-04-04,2015-04-09,2015-04-21,2015-03-30,2015-04-07,2015-04-17,2015-04-08,2015-04-13,2015-04-25,0.34861,0.3559,0.37248,0.34292,0.40101
turkeypointenf74,EN,1000,rising,gcc_90,2016-04-11,2016-04-17,2016-04-29,2016-03-17,2016-04-12,2016-04-22,2016-04-16,2016-04-22,2016-05-15,0.36372,0.36905,0.37818,0.36025,0.39564
turkeypointenf74,EN,1000,rising,gcc_90,2017-03-26,2017-04-01,2017-04-15,2017-03-21,2017-03-29,2017-04-10,2017-03-30,2017-04-06,2017-04-20,0.35418,0.36127,0.37618,0.34893,0.40308
turkeypointenf74,EN,1000,rising,gcc_90,2018-04-15,2018-04-21,2018-04-30,2018-04-10,2018-04-19,2018-04-27,2018-04-18,2018-04-24,2018-05-02,0.36628,0.37621,0.39553,0.35989,0.4287
turkeypointenf74,EN,1000,rising,gcc_75,2012-03-06,2012-03-11,2012-03-18,2012-03-02,2012-03-09,2012-03-15,2012-03-09,2012-03-14,2012-03-20,0.34665,0.35367,0.36878,0.34152,0.39548
turkeypointenf74,EN,1000,rising,gcc_75,2013-04-02,2013-04-10,2013-04-24,2013-03-29,2013-04-07,2013-04-20,2013-04-06,2013-04-14,2013-04-28,0.34142,0.3511,0.36882,0.33553,0.40056
turkeypointenf74,EN,1000,rising,gcc_75,2014-03-28,2014-04-08,2014-04-18,2014-03-16,2014-04-04,2014-04-14,2014-04-04,2014-04-25,2014-05-14,0.34249,0.35064,0.36607,0.33716,0.39309
turkeypointenf74,EN,1000,rising,gcc_75,2015-04-04,2015-04-09,2015-04-21,2015-03-30,2015-04-07,2015-04-17,2015-04-08,2015-04-13,2015-04-25,0.34593,0.35316,0.36922,0.34041,0.39692
turkeypointenf74,EN,1000,rising,gcc_75,2016-04-12,2016-04-17,2016-05-02,2016-03-16,2016-04-14,2016-04-24,2016-04-16,2016-04-23,2016-05-17,0.3604,0.36547,0.37569,0.35676,0.39424
turkeypointenf74,EN,1000,rising,gcc_75,2017-03-25,2017-04-01,2017-04-15,2017-03-21,2017-03-28,2017-04-10,2017-03-29,2017-04-06,2017-04-18,0.35023,0.35833,0.37315,0.34537,0.39914
turkeypointenf74,EN,1000,rising,gcc_75,2018-04-15,2018-04-21,2018-04-30,2018-04-12,2018-04-19,2018-04-27,2018-04-19,2018-04-24,2018-05-02,0.36289,0.37282,0.392,0.35733,0.42539
turkeypointenf74,EN,1000,rising,gcc_50,2012-03-07,2012-03-12,2012-03-20,2012-03-03,2012-03-10,2012-03-17,2012-03-11,2012-03-15,2012-03-23,0.34418,0.35027,0.36446,0.33958,0.38873
turkeypointenf74,EN,1000,rising,gcc_50,2013-04-02,2013-04-10,2013-04-22,2013-03-27,2013-04-06,2013-04-18,2013-04-06,2013-04-14,2013-04-27,0.33829,0.34719,0.362,0.33252,0.39138
turkeypointenf74,EN,1000,rising,gcc_50,2014-03-26,2014-04-06,2014-04-18,2014-03-18,2014-04-01,2014-04-14,2014-04-03,2014-04-13,2014-05-14,0.33774,0.34575,0.36091,0.33256,0.38726
turkeypointenf74,EN,1000,rising,gcc_50,2015-04-04,2015-04-09,2015-04-20,2015-03-30,2015-04-07,2015-04-16,2015-04-08,2015-04-13,2015-04-24,0.34183,0.34933,0.36469,0.33659,0.39168
turkeypointenf74,EN,1000,rising,gcc_50,2016-04-11,2016-04-16,2016-04-27,2016-03-15,2016-04-12,2016-04-21,2016-04-16,2016-04-21,2016-05-14,0.35573,0.36115,0.37045,0.35256,0.38753
turkeypointenf74,EN,1000,rising,gcc_50,2017-03-25,2017-04-01,2017-04-15,2017-03-20,2017-03-28,2017-04-10,2017-03-29,2017-04-06,2017-04-19,0.34663,0.35443,0.36803,0.34144,0.39376
turkeypointenf74,EN,1000,rising,gcc_50,2018-04-16,2018-04-22,2018-05-02,2018-04-13,2018-04-20,2018-04-28,2018-04-20,2018-04-25,2018-05-04,0.3595,0.36892,0.38792,0.35415,0.41919
turkeypointenf74,EN,1000,rising,gcc_mean,2012-03-05,2012-03-11,2012-03-18,2012-03-01,2012-03-08,2012-03-15,2012-03-09,2012-03-14,2012-03-21,0.3409,0.34851,0.36138,0.33668,0.38517
turkeypointenf74,EN,1000,rising,gcc_mean,2013-04-01,2013-04-09,2013-04-21,2013-03-26,2013-04-05,2013-04-17,2013-04-06,2013-04-13,2013-04-25,0.33633,0.34507,0.35968,0.33079,0.38802
turkeypointenf74,EN,1000,rising,gcc_mean,2014-03-26,2014-04-08,2014-04-25,2014-03-17,2014-04-01,2014-04-14,2014-04-04,2014-04-27,2014-05-14,0.33684,0.34461,0.35931,0.332,0.38433
turkeypointenf74,EN,1000,rising,gcc_mean,2015-04-04,2015-04-09,2015-04-20,2015-03-31,2015-04-07,2015-04-15,2015-04-08,2015-04-13,2015-04-23,0.33973,0.34707,0.36241,0.33524,0.38797
turkeypointenf74,EN,1000,rising,gcc_mean,2016-04-11,2016-04-16,2016-04-27,2016-03-14,2016-04-12,2016-04-21,2016-04-16,2016-04-21,2016-05-20,0.35393,0.35909,0.36855,0.35131,0.38465
turkeypointenf74,EN,1000,rising,gcc_mean,2017-03-24,2017-03-30,2017-04-14,2017-03-20,2017-03-27,2017-04-09,2017-03-28,2017-04-05,2017-04-19,0.34457,0.35162,0.36484,0.33974,0.38989
turkeypointenf74,EN,1000,rising,gcc_mean,2018-04-16,2018-04-22,2018-05-01,2018-04-13,2018-04-20,2018-04-27,2018-04-20,2018-04-25,2018-05-04,0.35729,0.36647,0.38316,0.35234,0.41281
turkeypointenf74,EN,1000,falling,gcc_90,2018-12-13,2018-11-30,2018-10-25,2019-01-21,2018-12-05,2018-11-17,2018-12-05,2018-11-26,2018-10-21,0.36817,0.37763,0.3961,0.3613,0.43006
turkeypointenf74,EN,1000,falling,gcc_90,2017-12-14,2017-12-09,2017-11-29,2017-12-17,2017-12-12,2017-12-03,2017-12-10,2017-12-04,2017-11-26,0.36278,0.36929,0.38185,0.35966,0.40244
turkeypointenf74,EN,1000,falling,gcc_90,2016-12-11,2016-12-05,2016-10-14,2016-12-13,2016-12-08,2016-10-18,2016-12-07,2016-12-02,2016-10-11,0.35274,0.36166,0.37592,0.34862,0.40126
turkeypointenf74,EN,1000,falling,gcc_90,2015-12-31,2015-12-24,2015-11-14,2016-01-04,2015-12-28,2015-11-22,2015-12-25,2015-11-25,2015-11-06,0.35745,0.36372,0.37548,0.35387,0.39598
turkeypointenf74,EN,1000,falling,gcc_90,2015-01-02,2014-12-24,2014-11-23,2015-01-07,2014-12-29,2014-12-05,2014-12-28,2014-12-13,2014-11-16,0.3473,0.35527,0.36963,0.34238,0.3966
turkeypointenf74,EN,1000,falling,gcc_90,2013-12-20,2013-12-05,2013-11-15,2013-12-26,2013-12-12,2013-11-23,2013-12-12,2013-11-30,2013-11-06,0.35026,0.35937,0.37505,0.34482,0.40425
turkeypointenf74,EN,1000,falling,gcc_90,2012-12-21,2012-12-11,2012-11-13,2012-12-24,2012-12-16,2012-11-16,2012-12-16,2012-11-20,2012-11-10,0.34473,0.35528,0.3726,0.3392,0.40461
turkeypointenf74,EN,1000,falling,gcc_75,2018-12-07,2018-11-28,2018-10-24,2018-12-17,2018-12-02,2018-11-16,2018-12-01,2018-11-24,2018-10-20,0.36756,0.37686,0.39365,0.36117,0.42569
turkeypointenf74,EN,1000,falling,gcc_75,2017-12-13,2017-12-07,2017-11-28,2017-12-16,2017-12-11,2017-12-01,2017-12-09,2017-12-02,2017-11-26,0.3606,0.36706,0.37913,0.35713,0.39894
turkeypointenf74,EN,1000,falling,gcc_75,2016-12-10,2016-12-05,2016-10-14,2016-12-13,2016-12-07,2016-10-18,2016-12-06,2016-12-02,2016-10-11,0.34982,0.35723,0.37205,0.345,0.39687
turkeypointenf74,EN,1000,falling,gcc_75,2015-12-30,2015-12-23,2015-11-11,2016-01-02,2015-12-28,2015-11-12,2015-12-25,2015-11-23,2015-10-11,0.35495,0.36141,0.37332,0.35067,0.39464
turkeypointenf74,EN,1000,falling,gcc_75,2015-01-02,2014-12-24,2014-11-23,2015-01-07,2014-12-29,2014-12-05,2014-12-29,2014-12-14,2014-11-16,0.34353,0.35191,0.36614,0.33838,0.39322
turkeypointenf74,EN,1000,falling,gcc_75,2013-12-18,2013-12-06,2013-11-20,2013-12-25,2013-12-12,2013-11-28,2013-12-11,2013-12-02,2013-11-14,0.34634,0.35458,0.36859,0.34127,0.39528
turkeypointenf74,EN,1000,falling,gcc_75,2012-12-20,2012-12-13,2012-11-13,2012-12-22,2012-12-16,2012-11-16,2012-12-16,2012-11-21,2012-11-10,0.34189,0.35114,0.36767,0.33671,0.39724
turkeypointenf74,EN,1000,falling,gcc_50,2017-12-15,2017-12-07,2017-11-29,2017-12-19,2017-12-12,2017-12-02,2017-12-09,2017-12-03,2017-11-26,0.35211,0.35948,0.37101,0.3483,0.3934
turkeypointenf74,EN,1000,falling,gcc_50,2016-12-10,2016-12-05,2016-10-15,2016-12-12,2016-12-07,2016-10-20,2016-12-06,2016-12-02,2016-10-12,0.34486,0.35268,0.36654,0.34082,0.39029
turkeypointenf74,EN,1000,falling,gcc_50,2016-01-02,2015-12-27,2015-11-13,2016-01-05,2015-12-31,2015-11-22,2015-12-29,2015-12-20,2015-10-12,0.34666,0.35381,0.36645,0.34312,0.38836
turkeypointenf74,EN,1000,falling,gcc_50,2015-01-02,2014-12-27,2014-11-28,2015-01-07,2014-12-30,2014-12-08,2014-12-29,2014-12-20,2014-11-20,0.33838,0.34585,0.36028,0.33304,0.38676
turkeypointenf74,EN,1000,falling,gcc_50,2013-12-18,2013-12-06,2013-11-20,2013-12-25,2013-12-11,2013-11-27,2013-12-10,2013-12-02,2013-11-12,0.34051,0.34897,0.36398,0.3352,0.39274
turkeypointenf74,EN,1000,falling,gcc_50,2012-12-20,2012-12-14,2012-11-13,2012-12-23,2012-12-17,2012-11-16,2012-12-16,2012-11-21,2012-11-10,0.33836,0.34659,0.36232,0.33264,0.39114
turkeypointenf74,EN,1000,falling,gcc_mean,2018-12-07,2018-11-26,2018-10-23,2019-01-15,2018-11-30,2018-11-11,2018-11-29,2018-11-21,2018-10-19,0.36038,0.36949,0.38539,0.35483,0.41491
turkeypointenf74,EN,1000,falling,gcc_mean,2017-12-15,2017-12-08,2017-11-29,2017-12-19,2017-12-12,2017-12-02,2017-12-10,2017-12-03,2017-11-27,0.35006,0.35741,0.36949,0.34672,0.39017
turkeypointenf74,EN,1000,falling,gcc_mean,2016-12-12,2016-12-07,2016-11-29,2016-12-15,2016-12-10,2016-12-03,2016-12-09,2016-12-04,2016-10-16,0.34039,0.34761,0.36032,0.33583,0.38354
turkeypointenf74,EN,1000,falling,gcc_mean,2016-01-02,2015-12-28,2015-11-15,2016-01-06,2016-01-01,2015-11-23,2015-12-29,2015-12-22,2015-11-08,0.34646,0.35258,0.36393,0.34244,0.38455
turkeypointenf74,EN,1000,falling,gcc_mean,2015-01-02,2014-12-26,2014-11-28,2015-01-06,2014-12-30,2014-12-05,2014-12-29,2014-12-12,2014-11-21,0.33812,0.3459,0.35923,0.3335,0.38429
turkeypointenf74,EN,1000,falling,gcc_mean,2013-12-19,2013-12-07,2013-11-19,2013-12-26,2013-12-13,2013-11-27,2013-12-12,2013-12-02,2013-11-13,0.33933,0.34742,0.36264,0.3339,0.3904
