#
# Transition date estimate for twitchell
#
# Site: twitchell
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2012
# Year max: 2016
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:07:59
# Spline RMSE gcc_mean: 0.00477
# Spline RMSE gcc_50: 0.00904
# Spline RMSE gcc_75: 0.00924
# Spline RMSE gcc_90: 0.00869
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
twitchell,AG,1000,rising,gcc_90,2012-06-24,2012-07-01,2012-07-08,2012-06-23,2012-06-30,2012-07-07,2012-06-25,2012-07-02,2012-07-09,0.34915,0.37413,0.41686,0.33544,0.49751
twitchell,AG,1000,rising,gcc_90,2013-04-27,2013-05-01,2013-05-05,2013-04-25,2013-04-30,2013-05-04,2013-04-30,2013-05-02,2013-05-06,0.35819,0.39128,0.45359,0.3381,0.55696
twitchell,AG,1000,rising,gcc_90,2014-05-08,2014-05-20,2014-05-24,2014-05-01,2014-05-01,2014-05-01,2014-05-29,2014-05-29,2014-05-29,0.35584,0.38146,0.4277,0.34262,0.50457
twitchell,AG,1000,rising,gcc_90,2015-04-29,2015-05-06,2015-05-13,2015-04-28,2015-05-05,2015-05-11,2015-05-01,2015-05-08,2015-05-14,0.35108,0.37435,0.42144,0.33742,0.4946
twitchell,AG,1000,rising,gcc_90,2016-05-23,2016-05-30,2016-06-08,2016-05-22,2016-05-29,2016-06-07,2016-05-24,2016-05-31,2016-06-09,0.35238,0.37442,0.41117,0.34008,0.4808
twitchell,AG,1000,rising,gcc_75,2012-06-24,2012-07-01,2012-07-08,2012-06-23,2012-06-30,2012-07-07,2012-06-25,2012-07-02,2012-07-09,0.3471,0.36878,0.40768,0.33412,0.47907
twitchell,AG,1000,rising,gcc_75,2013-04-27,2013-04-30,2013-05-04,2013-04-25,2013-04-29,2013-05-03,2013-04-29,2013-05-02,2013-05-05,0.35529,0.37234,0.43913,0.3365,0.53157
twitchell,AG,1000,rising,gcc_75,2014-05-07,2014-05-09,2014-05-22,2014-05-01,2014-05-01,2014-05-01,2014-05-29,2014-05-29,2014-05-29,0.353,0.36704,0.41121,0.34213,0.48015
twitchell,AG,1000,rising,gcc_75,2015-04-29,2015-05-06,2015-05-12,2015-04-28,2015-05-05,2015-05-11,2015-05-01,2015-05-07,2015-05-13,0.34836,0.3714,0.40947,0.3367,0.48218
twitchell,AG,1000,rising,gcc_75,2016-05-24,2016-05-31,2016-06-10,2016-05-23,2016-05-30,2016-06-09,2016-05-25,2016-06-01,2016-06-11,0.35172,0.36978,0.40755,0.3403,0.46876
twitchell,AG,1000,rising,gcc_50,2012-06-25,2012-07-03,2012-07-10,2012-06-24,2012-07-02,2012-07-09,2012-06-26,2012-07-05,2012-07-11,0.34836,0.36715,0.40448,0.3381,0.46704
twitchell,AG,1000,rising,gcc_50,2013-04-26,2013-04-30,2013-05-03,2013-04-25,2013-04-29,2013-05-02,2013-04-29,2013-05-02,2013-05-04,0.34938,0.36914,0.42305,0.33498,0.49716
twitchell,AG,1000,rising,gcc_50,2014-05-07,2014-05-20,2014-05-22,2014-05-01,2014-05-01,2014-05-01,2014-05-29,2014-05-29,2014-05-29,0.35011,0.37081,0.40997,0.34005,0.46333
twitchell,AG,1000,rising,gcc_50,2015-04-30,2015-05-06,2015-05-12,2015-04-29,2015-05-05,2015-05-10,2015-05-02,2015-05-07,2015-05-13,0.34664,0.36481,0.40358,0.3353,0.46087
twitchell,AG,1000,rising,gcc_50,2016-05-25,2016-06-01,2016-06-11,2016-05-22,2016-05-31,2016-06-10,2016-05-26,2016-06-02,2016-06-12,0.34901,0.36576,0.39814,0.33789,0.45086
twitchell,AG,1000,rising,gcc_mean,2012-06-25,2012-07-03,2012-07-10,2012-06-24,2012-07-02,2012-07-08,2012-06-26,2012-07-04,2012-07-11,0.34723,0.36908,0.40926,0.33792,0.46888
twitchell,AG,1000,rising,gcc_mean,2013-04-26,2013-04-30,2013-05-05,2013-04-25,2013-04-29,2013-05-04,2013-04-29,2013-05-02,2013-05-06,0.35065,0.36843,0.43239,0.33527,0.5138
twitchell,AG,1000,rising,gcc_mean,2014-05-08,2014-05-20,2014-05-23,2014-05-01,2014-05-01,2014-05-01,2014-05-29,2014-05-29,2014-05-29,0.35347,0.37148,0.40852,0.34062,0.46945
twitchell,AG,1000,rising,gcc_mean,2015-04-29,2015-05-06,2015-05-12,2015-04-28,2015-05-05,2015-05-10,2015-05-02,2015-05-07,2015-05-13,0.34556,0.36568,0.40405,0.33557,0.46175
twitchell,AG,1000,rising,gcc_mean,2016-05-25,2016-05-31,2016-06-10,2016-05-23,2016-05-30,2016-06-09,2016-05-26,2016-06-01,2016-06-11,0.34985,0.36524,0.39761,0.33843,0.45311
twitchell,AG,1000,falling,gcc_90,2016-11-06,2016-10-18,2016-09-29,2016-11-14,2016-11-01,2016-09-30,2016-11-04,2016-10-10,2016-09-09,0.35117,0.3729,0.40777,0.33963,0.47582
twitchell,AG,1000,falling,gcc_90,2015-09-26,2015-09-23,2015-08-27,2015-09-27,2015-09-24,2015-08-30,2015-09-24,2015-09-21,2015-08-26,0.34921,0.36555,0.40811,0.3379,0.47581
twitchell,AG,1000,falling,gcc_90,2014-10-07,2014-09-25,2014-09-08,2014-10-09,2014-10-09,2014-09-10,2014-09-23,2014-09-23,2014-09-06,0.35074,0.37884,0.4288,0.33858,0.51361
twitchell,AG,1000,falling,gcc_90,2013-09-27,2013-09-23,2013-08-24,2013-09-28,2013-09-24,2013-08-29,2013-09-25,2013-09-21,2013-08-23,0.35285,0.3842,0.4499,0.3366,0.55866
twitchell,AG,1000,falling,gcc_90,2012-11-23,2012-11-22,2012-10-11,2012-12-06,2012-12-06,2012-10-15,2012-11-16,2012-11-16,2012-10-09,0.34811,0.3626,0.41247,0.33392,0.48984
twitchell,AG,1000,falling,gcc_75,2016-10-21,2016-10-10,2016-09-30,2016-11-05,2016-10-20,2016-10-02,2016-10-20,2016-10-08,2016-09-07,0.3606,0.37736,0.40545,0.35,0.46028
