#
# ROI color statistics timeseries for twitchellalfalfa2
#
# Site: twitchellalfalfa2
# Veg Type: AG
# ROI ID Number: 1000
# Lat: 38.11542167
# Lon: -121.64666623
# Elev: -9
# UTC Offset: -8
# Resize Flag: False
# Version: 1
# Creation Date: 2018-08-03
# Creation Time: 19:49:04
# Update Date: 2019-01-14
# Update Time: 05:17:26
#
date,local_std_time,doy,filename,solar_elev,exposure,mask_index,gcc,rcc,r_mean,r_std,r_5_qtl,r_10_qtl,r_25_qtl,r_50_qtl,r_75_qtl,r_90_qtl,r_95_qtl,g_mean,g_std,g_5_qtl,g_10_qtl,g_25_qtl,g_50_qtl,g_75_qtl,g_90_qtl,g_95_qtl,b_mean,b_std,b_5_qtl,b_10_qtl,b_25_qtl,b_50_qtl,b_75_qtl,b_90_qtl,b_95_qtl,r_g_correl,g_b_correl,b_r_correl
2016-12-01,11:46:08,336,twitchellalfalfa2_2016_12_01_114608.jpg,29.91315,NA,1,0.41351,0.37426,61.25155,22.63529,21,31,48,63,76,87,96,67.67602,23.27319,26,37,54,70,83,94,102,34.73428,19.59546,0,7,21,35,47,58,66,0.99411,0.96193,0.96598
2016-12-01,12:16:07,336,twitchellalfalfa2_2016_12_01_121607.jpg,29.76686,NA,1,0.41600,0.37440,59.94696,22.17231,21,31,47,61,74,85,94,66.60637,22.76418,26,37,53,68,81,92,101,33.56000,19.27831,0,6,20,34,46,57,65,0.99346,0.96065,0.96388
2016-12-01,12:46:06,336,twitchellalfalfa2_2016_12_01_124606.jpg,28.80685,NA,1,0.41635,0.37602,59.84032,21.83975,21,31,47,61,73,85,93,66.25829,22.38517,27,37,53,68,80,92,100,33.04255,18.89191,0,7,20,34,45,56,63,0.99362,0.95793,0.96119
2016-12-01,13:16:07,336,twitchellalfalfa2_2016_12_01_131607.jpg,27.06893,NA,1,0.41662,0.37719,59.60248,21.84772,21,31,47,61,73,85,93,65.83260,22.34106,26,36,53,67,80,91,99,32.58037,18.77616,0,6,20,33,44,55,63,0.99440,0.95564,0.95927
2016-12-01,13:46:07,336,twitchellalfalfa2_2016_12_01_134607.jpg,24.61897,NA,1,0.40892,0.37502,59.22132,19.56248,25,34,47,60,72,82,89,64.57548,20.08510,29,38,52,66,77,88,95,34.11857,17.02774,5,11,23,35,45,54,61,0.99531,0.95245,0.95928
2016-12-01,14:16:07,336,twitchellalfalfa2_2016_12_01_141607.jpg,21.53541,NA,1,0.40878,0.37841,59.48384,19.82587,25,33,47,61,73,83,90,64.25838,20.40870,29,37,51,65,78,88,95,33.45250,16.98261,4,11,22,34,44,54,60,0.99595,0.94765,0.95603
2016-12-01,14:46:07,336,twitchellalfalfa2_2016_12_01_144607.jpg,17.90362,NA,1,0.41135,0.38234,58.04968,20.63943,22,30,45,59,72,83,90,62.45402,21.24276,26,34,49,64,77,88,95,31.32318,17.26964,2,8,19,32,43,52,59,0.99521,0.94249,0.95120
2016-12-01,15:16:07,336,twitchellalfalfa2_2016_12_01_151607.jpg,13.80747,NA,1,0.40097,0.38390,57.58173,17.74759,28,34,46,58,70,79,85,60.14277,18.19944,29,36,48,61,73,83,88,32.26799,14.96798,7,13,22,32,42,51,56,0.99152,0.93957,0.94606
2016-12-01,15:46:07,336,twitchellalfalfa2_2016_12_01_154607.jpg,9.33208,NA,1,0.38406,0.40300,57.29785,16.60942,31,36,45,56,69,80,86,54.60460,16.07150,29,34,43,54,66,76,82,30.27619,12.69583,10,14,21,30,39,47,52,0.99048,0.93888,0.93280
2016-12-01,16:16:06,336,twitchellalfalfa2_2016_12_01_161606.jpg,4.58236,NA,1,0.37840,0.41283,55.49206,16.89068,30,35,43,54,67,79,86,50.86375,15.91151,27,31,39,50,62,73,79,28.06345,12.15022,10,13,19,27,36,45,50,0.98966,0.94453,0.93619
