#
# Transition date estimate for twitchellalfalfa
#
# Site: twitchellalfalfa
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2013
# Year max: 2016
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:08:09
# Spline RMSE gcc_mean: 0.00404
# Spline RMSE gcc_50: 0.00434
# Spline RMSE gcc_75: 0.00493
# Spline RMSE gcc_90: 0.0056
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
twitchellalfalfa,AG,1000,rising,gcc_90,2014-02-05,2014-02-09,2014-02-12,2014-02-04,2014-02-07,2014-02-07,2014-02-10,2014-02-25,2014-02-25,0.36705,0.38701,0.42801,0.35664,0.48318
twitchellalfalfa,AG,1000,rising,gcc_90,2015-01-17,2015-01-23,2015-02-04,2015-01-12,2015-01-20,2015-02-01,2015-01-21,2015-01-27,2015-02-05,0.39916,0.41192,0.44076,0.38977,0.4842
twitchellalfalfa,AG,1000,rising,gcc_90,2015-08-01,2015-08-02,2015-08-05,2015-07-31,2015-08-01,2015-08-04,2015-08-02,2015-08-04,2015-08-06,0.38712,0.39486,0.41368,0.38077,0.44469
twitchellalfalfa,AG,1000,rising,gcc_90,2016-01-13,2016-01-21,2016-02-03,2016-01-04,2016-01-14,2016-01-24,2016-01-23,2016-01-28,2016-02-06,0.37611,0.39156,0.42148,0.36533,0.47741
twitchellalfalfa,AG,1000,rising,gcc_75,2014-02-05,2014-02-09,2014-02-12,2014-02-04,2014-02-07,2014-02-07,2014-02-10,2014-02-25,2014-02-25,0.36521,0.38341,0.42118,0.35628,0.4712
twitchellalfalfa,AG,1000,rising,gcc_75,2015-01-19,2015-01-25,2015-02-04,2015-01-15,2015-01-23,2015-02-02,2015-01-23,2015-01-30,2015-02-05,0.39804,0.40967,0.43378,0.39041,0.47343
twitchellalfalfa,AG,1000,rising,gcc_75,2015-07-31,2015-08-02,2015-08-05,2015-07-30,2015-08-01,2015-08-04,2015-08-02,2015-08-04,2015-08-06,0.37627,0.39111,0.40796,0.3774,0.43535
twitchellalfalfa,AG,1000,rising,gcc_75,2016-01-12,2016-01-21,2016-02-03,2016-01-04,2016-01-14,2016-01-23,2016-01-23,2016-01-28,2016-02-06,0.37306,0.38799,0.41698,0.36274,0.46867
twitchellalfalfa,AG,1000,rising,gcc_50,2014-02-05,2014-02-09,2014-02-12,2014-02-04,2014-02-07,2014-02-07,2014-02-10,2014-02-25,2014-02-25,0.36084,0.37688,0.41,0.35115,0.46366
twitchellalfalfa,AG,1000,rising,gcc_50,2015-01-15,2015-01-22,2015-02-03,2015-01-11,2015-01-19,2015-02-01,2015-01-19,2015-01-26,2015-02-04,0.3868,0.39939,0.42303,0.37881,0.46359
twitchellalfalfa,AG,1000,rising,gcc_50,2015-08-01,2015-08-03,2015-08-06,2015-07-31,2015-08-02,2015-08-05,2015-08-03,2015-08-05,2015-08-07,0.37512,0.38673,0.40355,0.37556,0.42924
twitchellalfalfa,AG,1000,rising,gcc_50,2016-01-08,2016-01-20,2016-01-31,2016-01-04,2016-01-14,2016-01-22,2016-01-22,2016-01-27,2016-02-06,0.36797,0.38094,0.4086,0.35854,0.45779
twitchellalfalfa,AG,1000,rising,gcc_mean,2014-02-05,2014-02-09,2014-02-12,2014-02-04,2014-02-07,2014-02-07,2014-02-10,2014-02-25,2014-02-25,0.36158,0.378,0.41086,0.35116,0.46128
twitchellalfalfa,AG,1000,rising,gcc_mean,2015-01-18,2015-01-24,2015-02-04,2015-01-15,2015-01-22,2015-02-02,2015-01-22,2015-01-28,2015-02-05,0.38739,0.39988,0.42513,0.38046,0.46196
twitchellalfalfa,AG,1000,rising,gcc_mean,2015-08-01,2015-08-03,2015-08-06,2015-07-31,2015-08-02,2015-08-05,2015-08-03,2015-08-05,2015-08-07,0.37586,0.38757,0.40373,0.37586,0.42692
twitchellalfalfa,AG,1000,rising,gcc_mean,2016-01-09,2016-01-20,2016-01-31,2016-01-04,2016-01-14,2016-01-22,2016-01-22,2016-01-27,2016-02-06,0.36844,0.38279,0.4079,0.35898,0.45601
twitchellalfalfa,AG,1000,falling,gcc_90,2015-11-17,2015-11-15,2015-11-11,2015-11-20,2015-11-16,2015-11-13,2015-11-15,2015-11-13,2015-11-10,0.37113,0.38041,0.40899,0.36324,0.4449
twitchellalfalfa,AG,1000,falling,gcc_90,2015-07-02,2015-06-29,2015-06-24,2015-07-09,2015-06-30,2015-06-25,2015-06-27,2015-06-25,2015-06-23,0.39776,0.41071,0.445,0.39059,0.48846
twitchellalfalfa,AG,1000,falling,gcc_90,2014-12-19,2014-12-15,2014-12-09,2014-12-20,2014-12-16,2014-12-10,2014-12-13,2014-12-11,2014-12-08,0.37521,0.39401,0.42392,0.36852,0.47071
twitchellalfalfa,AG,1000,falling,gcc_90,2013-12-07,2013-11-17,2013-11-12,2013-12-09,2013-11-18,2013-11-13,2013-12-02,2013-11-14,2013-11-11,0.36262,0.38202,0.40999,0.35601,0.46088
